Project Request,Scientific Name,Point of Contact for Submission,Email,Common Name,Survey Type
DisMap Eastern Bering Sea ,Neptunea ventricosa,Krista Nichols,krista.nichols@noaa.gov ,Fat whelk,Encountered
DisMap Eastern Bering Sea ,Occella dodecaedron,Krista Nichols,krista.nichols@noaa.gov ,Bering poacher,Encountered
DisMap Eastern Bering Sea ,Oregonia gracilis,Krista Nichols,krista.nichols@noaa.gov ,Graceful decorator crab,Encountered
DisMap Eastern Bering Sea ,Pandalus eous,Krista Nichols,krista.nichols@noaa.gov ,Northern shrimp,Encountered
DisMap Eastern Bering Sea ,Paralithodes camtschaticus,Krista Nichols,krista.nichols@noaa.gov ,Red king crab,Encountered
DisMap Eastern Bering Sea ,Paralithodes platypus,Krista Nichols,krista.nichols@noaa.gov ,Blue king crab,Encountered
DisMap Eastern Bering Sea ,Platichthys stellatus,Krista Nichols,krista.nichols@noaa.gov ,Starry flounder,Encountered
DisMap Eastern Bering Sea ,Pleuronectes quadrituberculatus,Krista Nichols,krista.nichols@noaa.gov ,Alaska plaice,Encountered
DisMap Eastern Bering Sea ,Plicifusus kroyeri,Krista Nichols,krista.nichols@noaa.gov ,Arctic whelk,Encountered
DisMap Eastern Bering Sea ,Podothecus accipenserinus,Krista Nichols,krista.nichols@noaa.gov ,Sturgeon poacher,Encountered
DisMap Eastern Bering Sea ,Pteraster obscurus,Krista Nichols,krista.nichols@noaa.gov ,Obscure cushion star,Encountered
DisMap Eastern Bering Sea ,Reinhardtius hippoglossoides,Krista Nichols,krista.nichols@noaa.gov ,Greenland halibut,Encountered
DisMap Eastern Bering Sea ,Sarritor frenatus,Krista Nichols,krista.nichols@noaa.gov ,Sawback poacher,Encountered
DisMap Eastern Bering Sea ,Strongylocentrotus droebachiensis,Krista Nichols,krista.nichols@noaa.gov ,Green sea urchin,Encountered
DisMap Eastern Bering Sea ,Styela rustica,Krista Nichols,krista.nichols@noaa.gov ,Sea potato,Encountered
DisMap Eastern Bering Sea ,Telmessus cheiragonus,Krista Nichols,krista.nichols@noaa.gov ,Helmet crab,Encountered
DisMap Eastern Bering Sea ,Thaleichthys pacificus,Krista Nichols,krista.nichols@noaa.gov ,Eulachon,Encountered
