Project Request,Scientific Name,Point of Contact for Submission,Email,Common Name,Survey Type
DisMap Aleutian Islands ,Pleurogrammus monopterygius,Krista Nichols,krista.nichols@noaa.gov ,Atka mackerel,Encountered
DisMap Aleutian Islands ,Pododesmus macrochisma,Krista Nichols,krista.nichols@noaa.gov ,Green falsejingle,Encountered
DisMap Aleutian Islands ,Podothecus accipenserinus,Krista Nichols,krista.nichols@noaa.gov ,Sturgeon poacher,Encountered
DisMap Aleutian Islands ,Rossia pacifica,Krista Nichols,krista.nichols@noaa.gov ,Eastern pacific bobtail,Encountered
DisMap Aleutian Islands ,Sarritor frenatus,Krista Nichols,krista.nichols@noaa.gov ,Sawback poacher,Encountered
DisMap Aleutian Islands ,Sebastes alutus,Krista Nichols,krista.nichols@noaa.gov ,Pacific ocean perch,Encountered
DisMap Aleutian Islands ,Sebastes borealis,Krista Nichols,krista.nichols@noaa.gov ,Shortraker rockfish,Encountered
DisMap Aleutian Islands ,Sebastes polyspinis,Krista Nichols,krista.nichols@noaa.gov ,Northern rockfish,Encountered
DisMap Aleutian Islands ,Sebastolobus alascanus,Krista Nichols,krista.nichols@noaa.gov ,Shortspine thornyhead,Encountered
DisMap Aleutian Islands ,Triglops forficatus,Krista Nichols,krista.nichols@noaa.gov ,Scissortail sculpin,Encountered
DisMap Aleutian Islands ,Triglops scepticus,Krista Nichols,krista.nichols@noaa.gov ,Spectacled sculpin,Encountered
DisMap Aleutian Islands ,Zaprora silenus,Krista Nichols,krista.nichols@noaa.gov ,Prowfish,Encountered
