Project Request,Scientific Name,Point of Contact for Submission,Email,Common Name,Survey Type
DisMap Gulf of Alaska ,Oregonia gracilis,Krista Nichols,krista.nichols@noaa.gov ,Graceful decorator crab,Encountered
DisMap Gulf of Alaska ,Pagurus aleuticus,Krista Nichols,krista.nichols@noaa.gov ,Aleutian hermit,Encountered
DisMap Gulf of Alaska ,Pandalus dispar,Krista Nichols,krista.nichols@noaa.gov ,Sidestripe shrimp,Encountered
DisMap Gulf of Alaska ,Pandalus eous,Krista Nichols,krista.nichols@noaa.gov ,Northern shrimp,Encountered
DisMap Gulf of Alaska ,Pandalus jordani,Krista Nichols,krista.nichols@noaa.gov ,Ocean shrimp,Encountered
DisMap Gulf of Alaska ,Parophrys vetulus,Krista Nichols,krista.nichols@noaa.gov ,English sole,Encountered
DisMap Gulf of Alaska ,Pasiphaea pacifica,Krista Nichols,krista.nichols@noaa.gov ,Pacific glass shrimp,Encountered
DisMap Gulf of Alaska ,Platichthys stellatus,Krista Nichols,krista.nichols@noaa.gov ,Starry flounder,Encountered
DisMap Gulf of Alaska ,Pleurogrammus monopterygius,Krista Nichols,krista.nichols@noaa.gov ,Atka mackerel,Encountered
DisMap Gulf of Alaska ,Pseudarchaster parelii,Krista Nichols,krista.nichols@noaa.gov ,Northern scarlet star,Encountered
DisMap Gulf of Alaska ,Pycnopodia helianthoides,Krista Nichols,krista.nichols@noaa.gov ,Sunflower sea star,Encountered
DisMap Gulf of Alaska ,Sebastes alutus,Krista Nichols,krista.nichols@noaa.gov ,Pacific ocean perch,Encountered
DisMap Gulf of Alaska ,Sebastes babcocki,Krista Nichols,krista.nichols@noaa.gov ,Redbanded rockfish,Encountered
DisMap Gulf of Alaska ,Sebastes borealis,Krista Nichols,krista.nichols@noaa.gov ,Shortraker rockfish,Encountered
DisMap Gulf of Alaska ,Sebastes brevispinis,Krista Nichols,krista.nichols@noaa.gov ,Silvergray rockfish,Encountered
DisMap Gulf of Alaska ,Sebastes polyspinis,Krista Nichols,krista.nichols@noaa.gov ,Northern rockfish,Encountered
DisMap Gulf of Alaska ,Sebastes variegatus,Krista Nichols,krista.nichols@noaa.gov ,Harlequin rockfish,Encountered
DisMap Gulf of Alaska ,Sebastes zacentrus,Krista Nichols,krista.nichols@noaa.gov ,Sharpchin rockfish,Encountered
DisMap Gulf of Alaska ,Sebastolobus alascanus,Krista Nichols,krista.nichols@noaa.gov ,Shortspine thornyhead,Encountered
DisMap Gulf of Alaska ,Squalus suckleyi,Krista Nichols,krista.nichols@noaa.gov ,Pacific spiny dogfish,Encountered
DisMap Gulf of Alaska ,Stegophiura ponderosa,Krista Nichols,krista.nichols@noaa.gov ,,Encountered
DisMap Gulf of Alaska ,Strongylocentrotus fragilis,Krista Nichols,krista.nichols@noaa.gov ,Fragile sea urchin,Encountered
DisMap Gulf of Alaska ,Thaleichthys pacificus,Krista Nichols,krista.nichols@noaa.gov ,Eulachon,Encountered
