Project Request,Scientific Name,Point of Contact for Submission,Email,Common Name,Survey Type
DisMap Northern Bering Sea,Lethasterias nanimensis,Krista Nichols,krista.nichols@noaa.gov ,Black spined sea star,Encountered
DisMap Northern Bering Sea,Limanda aspera,Krista Nichols,krista.nichols@noaa.gov ,Yellowfin sole,Encountered
DisMap Northern Bering Sea,Limanda proboscidea,Krista Nichols,krista.nichols@noaa.gov ,Longhead dab,Encountered
DisMap Northern Bering Sea,Limanda sakhalinensis,Krista Nichols,krista.nichols@noaa.gov ,Sakhalin sole,Encountered
DisMap Northern Bering Sea,Liparis gibbus,Krista Nichols,krista.nichols@noaa.gov ,Variegated snailfish,Encountered
DisMap Northern Bering Sea,Lumpenus fabricii,Krista Nichols,krista.nichols@noaa.gov ,Slender eelblenny,Encountered
DisMap Northern Bering Sea,Lycodes palearis,Krista Nichols,krista.nichols@noaa.gov ,Wattled eelpout,Encountered
DisMap Northern Bering Sea,Lycodes turneri,Krista Nichols,krista.nichols@noaa.gov ,Polar eelpout,Encountered
DisMap Northern Bering Sea,Mallotus villosus,Krista Nichols,krista.nichols@noaa.gov ,Capelin,Encountered
DisMap Northern Bering Sea,Myoxocephalus jaok,Krista Nichols,krista.nichols@noaa.gov ,Plain sculpin,Encountered
DisMap Northern Bering Sea,Myoxocephalus polyacanthocephalus,Krista Nichols,krista.nichols@noaa.gov ,Great sculpin,Encountered
DisMap Northern Bering Sea,Myoxocephalus scorpius,Krista Nichols,krista.nichols@noaa.gov ,Shorthorn sculpin,Encountered
DisMap Northern Bering Sea,Neptunea borealis,Krista Nichols,krista.nichols@noaa.gov ,,Encountered
DisMap Northern Bering Sea,Neptunea heros,Krista Nichols,krista.nichols@noaa.gov ,Northern neptune whelk,Encountered
DisMap Northern Bering Sea,Neptunea ventricosa,Krista Nichols,krista.nichols@noaa.gov ,Fat whelk,Encountered
DisMap Northern Bering Sea,Occella dodecaedron,Krista Nichols,krista.nichols@noaa.gov ,Bering poacher,Encountered
DisMap Northern Bering Sea,Ophiura sarsii,Krista Nichols,krista.nichols@noaa.gov ,Notched brittle star,Encountered
DisMap Northern Bering Sea,Osmerus mordax,Krista Nichols,krista.nichols@noaa.gov ,Rainbow smelt,Encountered
DisMap Northern Bering Sea,Pagurus capillatus,Krista Nichols,krista.nichols@noaa.gov ,Hairy hermit crab,Encountered
DisMap Northern Bering Sea,Pagurus ochotensis,Krista Nichols,krista.nichols@noaa.gov ,Alaskan hermit crab,Encountered
DisMap Northern Bering Sea,Pagurus rathbuni,Krista Nichols,krista.nichols@noaa.gov ,Longfinger hermit,Encountered
DisMap Northern Bering Sea,Pagurus trigonocheirus,Krista Nichols,krista.nichols@noaa.gov ,Fuzzy hermit,Encountered
DisMap Northern Bering Sea,Pallasina barbata,Krista Nichols,krista.nichols@noaa.gov ,Tubenose poacher,Encountered
DisMap Northern Bering Sea,Pandalus goniurus,Krista Nichols,krista.nichols@noaa.gov ,Humpy shrimp,Encountered
DisMap Northern Bering Sea,Paralithodes camtschaticus,Krista Nichols,krista.nichols@noaa.gov ,Red king crab,Encountered
DisMap Northern Bering Sea,Paralithodes platypus,Krista Nichols,krista.nichols@noaa.gov ,Blue king crab,Encountered
DisMap Northern Bering Sea,Platichthys stellatus,Krista Nichols,krista.nichols@noaa.gov ,Starry flounder,Encountered
DisMap Northern Bering Sea,Pleuronectes quadrituberculatus,Krista Nichols,krista.nichols@noaa.gov ,Alaska plaice,Encountered
DisMap Northern Bering Sea,Podothecus accipenserinus,Krista Nichols,krista.nichols@noaa.gov ,Sturgeon poacher,Encountered
DisMap Northern Bering Sea,Podothecus veternus,Krista Nichols,krista.nichols@noaa.gov ,,Encountered
DisMap Northern Bering Sea,Sclerocrangon boreas,Krista Nichols,krista.nichols@noaa.gov ,Sculptured shrimp,Encountered
DisMap Northern Bering Sea,Serripes notabilis,Krista Nichols,krista.nichols@noaa.gov ,Oblique smoothcockle,Encountered
DisMap Northern Bering Sea,Strongylocentrotus droebachiensis,Krista Nichols,krista.nichols@noaa.gov ,Green sea urchin,Encountered
DisMap Northern Bering Sea,Styela rustica,Krista Nichols,krista.nichols@noaa.gov ,Sea potato,Encountered
DisMap Northern Bering Sea,Telmessus cheiragonus,Krista Nichols,krista.nichols@noaa.gov ,Helmet crab,Encountered
DisMap Northern Bering Sea,Triglops pingelii,Krista Nichols,krista.nichols@noaa.gov ,Ribbed sculpin,Encountered
