Project Request,Scientific Name,Point of Contact for Submission,Email,Common Name,Survey Type
DisMap West Coast Annual,Pleuronichthys decurrens,Krista Nichols,krista.nichols@noaa.gov ,Curlfin sole,Encountered
DisMap West Coast Annual,Porichthys notatus,Krista Nichols,krista.nichols@noaa.gov ,Plainfin midshipman,Encountered
DisMap West Coast Annual,Pseudostichopus mollis,Krista Nichols,krista.nichols@noaa.gov ,Sandy sea cucumber,Encountered
DisMap West Coast Annual,Rathbunaster californicus,Krista Nichols,krista.nichols@noaa.gov ,California sun star,Encountered
DisMap West Coast Annual,Rossia pacifica,Krista Nichols,krista.nichols@noaa.gov ,Eastern pacific bobtail,Encountered
DisMap West Coast Annual,Sagenaster evermanni,Krista Nichols,krista.nichols@noaa.gov ,Evermann's star,Encountered
DisMap West Coast Annual,Sebastes alutus,Krista Nichols,krista.nichols@noaa.gov ,Pacific ocean perch,Encountered
DisMap West Coast Annual,Sebastes aurora,Krista Nichols,krista.nichols@noaa.gov ,Aurora rockfish,Encountered
DisMap West Coast Annual,Sebastes babcocki,Krista Nichols,krista.nichols@noaa.gov ,Redbanded rockfish,Encountered
DisMap West Coast Annual,Sebastes chlorostictus,Krista Nichols,krista.nichols@noaa.gov ,Greenspotted rockfish,Encountered
DisMap West Coast Annual,Sebastes crameri,Krista Nichols,krista.nichols@noaa.gov ,Darkblotched rockfish,Encountered
DisMap West Coast Annual,Sebastes diploproa,Krista Nichols,krista.nichols@noaa.gov ,Splitnose rockfish,Encountered
DisMap West Coast Annual,Sebastes elongatus,Krista Nichols,krista.nichols@noaa.gov ,Greenstriped rockfish,Encountered
DisMap West Coast Annual,Sebastes flavidus,Krista Nichols,krista.nichols@noaa.gov ,Yellowtail rockfish,Encountered
DisMap West Coast Annual,Sebastes goodei,Krista Nichols,krista.nichols@noaa.gov ,Chilipepper rockfish,Encountered
DisMap West Coast Annual,Sebastes helvomaculatus,Krista Nichols,krista.nichols@noaa.gov ,Rosethorn rockfish,Encountered
DisMap West Coast Annual,Sebastes jordani,Krista Nichols,krista.nichols@noaa.gov ,Shortbelly rockfish,Encountered
DisMap West Coast Annual,Sebastes paucispinis,Krista Nichols,krista.nichols@noaa.gov ,Bocaccio,Encountered
DisMap West Coast Annual,Sebastes pinniger,Krista Nichols,krista.nichols@noaa.gov ,Canary rockfish,Encountered
DisMap West Coast Annual,Sebastes saxicola,Krista Nichols,krista.nichols@noaa.gov ,Stripetail rockfish,Encountered
DisMap West Coast Annual,Sebastes semicinctus,Krista Nichols,krista.nichols@noaa.gov ,Halfbanded rockfish,Encountered
DisMap West Coast Annual,Sebastes zacentrus,Krista Nichols,krista.nichols@noaa.gov ,Sharpchin rockfish,Encountered
DisMap West Coast Annual,Sebastolobus alascanus,Krista Nichols,krista.nichols@noaa.gov ,Shortspine thornyhead,Encountered
DisMap West Coast Annual,Sebastolobus altivelis,Krista Nichols,krista.nichols@noaa.gov ,Longspine thornyhead,Encountered
DisMap West Coast Annual,Squalus suckleyi,Krista Nichols,krista.nichols@noaa.gov ,Pacific spiny dogfish,Encountered
DisMap West Coast Annual,Stylasterias forreri,Krista Nichols,krista.nichols@noaa.gov ,Velcro star,Encountered
DisMap West Coast Annual,Talismania bifurcata,Krista Nichols,krista.nichols@noaa.gov ,Threadfin slickhead,Encountered
DisMap West Coast Annual,Thrissacanthias penicillatus,Krista Nichols,krista.nichols@noaa.gov ,,Encountered
DisMap West Coast Annual,Tritonia tetraquetra,Krista Nichols,krista.nichols@noaa.gov ,Large orange peel nudibranch,Encountered
DisMap West Coast Annual,Zalembius rosaceus,Krista Nichols,krista.nichols@noaa.gov ,Pink seaperch,Encountered
DisMap West Coast Annual,Zaniolepis latipinnis,Krista Nichols,krista.nichols@noaa.gov ,Longspine combfish,Encountered
