Project Request,Scientific Name,Point of Contact for Submission,Email,Common Name,Survey Type
DisMap Eastern and Northern Bering Sea ,Osmerus mordax,Krista Nichols,krista.nichols@noaa.gov ,Rainbow smelt,Encountered
DisMap Eastern and Northern Bering Sea ,Pagurus aleuticus,Krista Nichols,krista.nichols@noaa.gov ,Aleutian hermit,Encountered
DisMap Eastern and Northern Bering Sea ,Pagurus capillatus,Krista Nichols,krista.nichols@noaa.gov ,Hairy hermit crab,Encountered
DisMap Eastern and Northern Bering Sea ,Pagurus ochotensis,Krista Nichols,krista.nichols@noaa.gov ,Alaskan hermit crab,Encountered
DisMap Eastern and Northern Bering Sea ,Pagurus rathbuni,Krista Nichols,krista.nichols@noaa.gov ,Longfinger hermit,Encountered
DisMap Eastern and Northern Bering Sea ,Pagurus trigonocheirus,Krista Nichols,krista.nichols@noaa.gov ,Fuzzy hermit,Encountered
DisMap Eastern and Northern Bering Sea ,Pallasina barbata,Krista Nichols,krista.nichols@noaa.gov ,Tubenose poacher,Encountered
DisMap Eastern and Northern Bering Sea ,Pandalus eous,Krista Nichols,krista.nichols@noaa.gov ,Northern shrimp,Encountered
DisMap Eastern and Northern Bering Sea ,Pandalus goniurus,Krista Nichols,krista.nichols@noaa.gov ,Humpy shrimp,Encountered
DisMap Eastern and Northern Bering Sea ,Paralithodes camtschaticus,Krista Nichols,krista.nichols@noaa.gov ,Red king crab,Encountered
DisMap Eastern and Northern Bering Sea ,Paralithodes platypus,Krista Nichols,krista.nichols@noaa.gov ,Blue king crab,Encountered
DisMap Eastern and Northern Bering Sea ,Platichthys stellatus,Krista Nichols,krista.nichols@noaa.gov ,Starry flounder,Encountered
DisMap Eastern and Northern Bering Sea ,Pleuronectes quadrituberculatus,Krista Nichols,krista.nichols@noaa.gov ,Alaska plaice,Encountered
DisMap Eastern and Northern Bering Sea ,Plicifusus kroyeri,Krista Nichols,krista.nichols@noaa.gov ,Arctic whelk,Encountered
DisMap Eastern and Northern Bering Sea ,Podothecus accipenserinus,Krista Nichols,krista.nichols@noaa.gov ,Sturgeon poacher,Encountered
DisMap Eastern and Northern Bering Sea ,Podothecus veternus,Krista Nichols,krista.nichols@noaa.gov ,,Encountered
DisMap Eastern and Northern Bering Sea ,Pteraster obscurus,Krista Nichols,krista.nichols@noaa.gov ,Obscure cushion star,Encountered
DisMap Eastern and Northern Bering Sea ,Reinhardtius hippoglossoides,Krista Nichols,krista.nichols@noaa.gov ,Greenland halibut,Encountered
DisMap Eastern and Northern Bering Sea ,Sarritor frenatus,Krista Nichols,krista.nichols@noaa.gov ,Sawback poacher,Encountered
DisMap Eastern and Northern Bering Sea ,Sclerocrangon boreas,Krista Nichols,krista.nichols@noaa.gov ,Sculptured shrimp,Encountered
DisMap Eastern and Northern Bering Sea ,Serripes notabilis,Krista Nichols,krista.nichols@noaa.gov ,Oblique smoothcockle,Encountered
DisMap Eastern and Northern Bering Sea ,Strongylocentrotus droebachiensis,Krista Nichols,krista.nichols@noaa.gov ,Green sea urchin,Encountered
DisMap Eastern and Northern Bering Sea ,Styela rustica,Krista Nichols,krista.nichols@noaa.gov ,Sea potato,Encountered
DisMap Eastern and Northern Bering Sea ,Telmessus cheiragonus,Krista Nichols,krista.nichols@noaa.gov ,Helmet crab,Encountered
DisMap Eastern and Northern Bering Sea ,Thaleichthys pacificus,Krista Nichols,krista.nichols@noaa.gov ,Eulachon,Encountered
DisMap Eastern and Northern Bering Sea ,Triglops pingelii,Krista Nichols,krista.nichols@noaa.gov ,Ribbed sculpin,Encountered
