"Taxonomic Group","Name"
"Crustaceans-Crabs","Rhithropanopeus harrisii"
"Crustaceans-Crayfish","Faxonius virilis"
"Crustaceans-Crayfish","Pacifastacus leniusculus"
"Crustaceans-Crayfish","Procambarus clarkii"
"Crustaceans-Cumaceans","Nippoleucon hinumensis"
"Crustaceans-Isopods","Asellus hilgendorfii"
"Crustaceans-Isopods","Caecidotea racovitzai"
"Crustaceans-Isopods","Caecijaera horvathi"
"Crustaceans-Isopods","Dynoides dentisinus"
"Crustaceans-Isopods","Eurylana arcuata"
"Crustaceans-Isopods","Gnorimosphaeroma rayi"
"Crustaceans-Isopods","Gnorimosphaeroma sp.*"
"Crustaceans-Isopods","Iais californica"
"Crustaceans-Isopods","Ianiropsis serricaudis"
"Crustaceans-Isopods","Limnoria quadripunctata"
"Crustaceans-Isopods","Limnoria tripunctata"
"Crustaceans-Isopods","Niambia capensis"
"Crustaceans-Isopods","Orthione griffenis"
"Crustaceans-Isopods","Paranthura japonica"
"Crustaceans-Isopods","Pseudosphaeroma sp. A"
"Crustaceans-Isopods","Sphaeroma quoianum"
"Crustaceans-Isopods","Sphaeroma walkeri"
"Crustaceans-Isopods","Synidotea laticauda"
"Crustaceans-Isopods","Uromunna sp. A"
"Crustaceans-Leptostacans","Nebalia sp  A.*"
"Crustaceans-Lobsters","Homarus americanus"
"Crustaceans-Mysids","Deltamysis holmquistae"
"Crustaceans-Mysids","Hyperacanthomysis longirostris"
"Crustaceans-Mysids","Neomysis japonica"
"Crustaceans-Mysids","Orientomysis aspera"
"Crustaceans-Mysids","Orientomysis hwanhaiensis"
"Crustaceans-Ostracods","Aspidoconcha limnoriae"
"Crustaceans-Ostracods","Eusarsiella zostericola"
"Crustaceans-Ostracods","Redekea californica"
"Crustaceans-Ostracods","Spinileberis quadriaculeata"
"Crustaceans-Shrimp","Palaemon carinicauda"
"Crustaceans-Shrimp","Palaemon kadiakensis"
"Crustaceans-Shrimp","Palaemon macrodactylus"
"Crustaceans-Shrimp","Palaemon modestus"
"Crustaceans-Shrimp","Upogebia affinis"
"Crustaceans-Shrimp","Upogebia major"
"Crustaceans-Tanaids","Sinelobus cf. stanfordi"
"Ctenophores","Vallicula multiformis*"
"Entoprocts","Barentsia benedeni"
"Entoprocts","Urnatella gracilis"
"Fishes","Acanthogobius flavimanus"
"Fishes","Alosa sapidissima"
"Fishes","Ambloplites rupestris*"
"Fishes","Ameiurus catus"
"Fishes","Ameiurus melas"
"Fishes","Ameiurus natalis"
"Fishes","Ameiurus nebulosus"
"Fishes","Anguilla anguilla*"
"Fishes","Anguilla rostrata*"
"Fishes","Carassius auratus"
"Fishes","Chanos chanos*"
"Fishes","Coptodon zillii*"
"Fishes","Cyprinella lutrensis"
"Fishes","Cyprinus carpio"
"Fishes","Dorosoma petenense"
"Fishes","Esox masquinongy*"
"Fishes","Gambusia affinis"
"Fishes","Gila orcuttii"
"Fishes","Hypomesus nipponensis"
"Fishes","Ictalurus furcatus"
"Fishes","Ictalurus punctatus"
"Fishes","Lepomis cyanellus"
"Fishes","Lepomis gibbosus"
"Fishes","Lepomis gulosus"
"Fishes","Lepomis macrochirus"
"Fishes","Lepomis microlophus"
"Fishes","Lucania goodei"
"Fishes","Lucania parva"
"Fishes","Menidia audens"
"Fishes","Micropterus coosae"
"Fishes","Micropterus dolomieu"
"Fishes","Micropterus punctulatus"
"Fishes","Micropterus salmoides"
"Fishes","Morone saxatilis"
"Fishes","Notemigonus crysoleucas"
"Fishes","Oplegnathus fasciatus*"
"Fishes","Oreochromis mossambicus"
"Fishes","Oreochromis urolepis*"
"Fishes","Perca flavescens"
"Fishes","Percina macrolepida"
"Fishes","Pimephales promelas"
"Fishes","Plecoglossus altivelis*"
"Fishes","Poecilia latipinna"
"Fishes","Pomoxis annularis"
"Fishes","Pomoxis nigromaculatus"
"Fishes","Ptychocheilus grandis"
"Fishes","Salmo salar*"
"Fishes","Salmo trutta*"
"Fishes","Sander vitreus*"
"Fishes","Tautoga onitis*"
"Fishes","Tridentiger barbatus"
"Fishes","Tridentiger bifasciatus"
"Fishes","Tridentiger trigonocephalus"
"Fungi","Claviceps purpurea var. spartinae*"
"Horseshoe Crab","Limulus polyphemus"
"Mammals","Myocastor coypus*"
"Mammals","Ondatra zibethicus*"
"Mollusks-Bivalves","Anadara ovalis"
"Mollusks-Bivalves","Anadara transversa"
"Mollusks-Bivalves","Anomia simplex"
"Mollusks-Bivalves","Arctica islandica"
"Mollusks-Bivalves","Arcuatula senhousia"
"Mollusks-Bivalves","Argopecten irradians"
"Mollusks-Bivalves","Bankia carinata"
"Mollusks-Bivalves","Corbicula fluminea"
"Mollusks-Bivalves","Crassostrea virginica"
"Mollusks-Bivalves","Gemma gemma"
"Mollusks-Bivalves","Geukensia demissa"
"Mollusks-Bivalves","Ischadium recurvum"
"Mollusks-Bivalves","Laternula gracilis"
"Mollusks-Bivalves","Leiosolenus aristatus"
"Mollusks-Bivalves","Limecola petalum"
"Mollusks-Bivalves","Limnoperna fortunei*"
"Mollusks-Bivalves","Lyrodus pedicellatus"
"Mollusks-Bivalves","Magallana gigas"
"Mollusks-Bivalves","Magallana sikamea"
"Mollusks-Bivalves","Mercenaria mercenaria"
"Mollusks-Bivalves","Meretrix lusoria"
"Mollusks-Bivalves","Mya arenaria"
"Mollusks-Bivalves","Mytilus galloprovincialis"
"Mollusks-Bivalves","Nuttallia obscurata"
"Mollusks-Bivalves","Ostrea angasi"
"Mollusks-Bivalves","Ostrea edulis"
"Mollusks-Bivalves","Petricolaria pholadiformis"
"Mollusks-Bivalves","Potamocorbula amurensis"
"Mollusks-Bivalves","Ruditapes philippinarum"
"Mollusks-Bivalves","Teredo bartschi"
"Mollusks-Bivalves","Teredo furcifera"
"Mollusks-Bivalves","Teredo navalis"
"Mollusks-Bivalves","Theora lubrica"
"Mollusks-Bivalves","Xenostrobus securis*"
"Mollusks-Gastropods","Batillaria attramentaria"
"Mollusks-Gastropods","Boonea bisuturalis"
"Mollusks-Gastropods","Bullia rhodostoma"
"Mollusks-Gastropods","Busycotypus canaliculatus"
"Mollusks-Gastropods","Catriona rickettsi"
"Mollusks-Gastropods","Cipangopaludina chinensis"
"Mollusks-Gastropods","Crepidula convexa"
"Mollusks-Gastropods","Crepidula fornicata"
"Mollusks-Gastropods","Crepidula plana"
"Mollusks-Gastropods","Cuthona perca"
"Mollusks-Gastropods","Dendronotus orientalis"
"Mollusks-Gastropods","Guildfordia yoka"
"Mollusks-Gastropods","Haloa japonica"
"Mollusks-Gastropods","Heterogen japonica"
"Mollusks-Gastropods","Ilyanassa obsoleta"
"Mollusks-Gastropods","Leostyletus misakiensis"
"Mollusks-Gastropods","Littoridinops monroensis"
"Mollusks-Gastropods","Littorina littorea"
"Mollusks-Gastropods","Littorina saxatilis"
"Mollusks-Gastropods","Melanochlamys ezoensis"
"Mollusks-Gastropods","Melanoides tuberculata"
"Mollusks-Gastropods","Myosotella myosotis"
"Mollusks-Gastropods","Ocinebrellus inornatus"
"Mollusks-Gastropods","Okenia plana"
"Mollusks-Gastropods","Philine auriformis"
"Mollusks-Gastropods","Philine orientalis"
"Mollusks-Gastropods","Pomacea canaliculata"
"Mollusks-Gastropods","Potamopyrgus antipodarum"
"Mollusks-Gastropods","Sakuraeolis enosimensis"
"Mollusks-Gastropods","Spurwinkia salsa"
"Mollusks-Gastropods","Tenellia adspersa"
"Mollusks-Gastropods","Urosalpinx cinerea"
"Nematodes","Capillaria catenata*"
"Nematodes","Hysterothylacium brachyurum*"
"Nematodes","Philometroides sanguineus*"
"Nemerteans","Cephalothrix cf. simula*"
"Plants","Alternanthera philoxeroides*"
"Plants","Avicennia marina*"
"Plants","Bassia hyssopifolia*"
"Plants","Cabomba caroliniana*"
"Plants","Cakile edentula*"
"Plants","Cakile maritima*"
"Plants","Chenopodium macrospermum*"
"Plants","Cotula coronopifolia*"
"Plants","Cyperus difformis*"
"Plants","Egeria densa*"
"Plants","Iris pseudacorus*"
"Plants","Juncus gerardii*"
"Plants","Lepidium latifolium*"
"Plants","Limnobium laevigatum*"
"Plants","Limosella australis*"
"Plants","Ludwigia peploides*"
"Plants","Ludwigia spp.*"
"Plants","Lythrum salicaria*"
"Plants","Myriophyllum aquaticum*"
"Plants","Myriophyllum spicatum*"
"Plants","Nasturtium officinale*"
"Plants","Parapholis incurva*"
"Plants","Phragmites australis*"
"Plants","Polypogon imberbis*"
"Plants","Pontederia crassipes*"
"Plants","Potamogeton crispus*"
"Plants","Puccinellia maritima*"
"Plants","Salsola soda*"
"Plants","Spartina alterniflora*"
"Plants","Spartina anglica*"
"Plants","Spartina densiflora*"
"Plants","Spartina patens*"
"Plants","Spergularia media*"
"Plants","Typha angustifolia*"
"Plants","Vallisneria australis*"
"Plants","Zostera japonica*"
"Platyhelminthes","Alloglossidium corti*"
"Platyhelminthes","Atractolytocestus huronensis*"
"Platyhelminthes","Austrobilharzia variglandis*"
"Platyhelminthes","Bothriocephalus cuspidatus*"
"Platyhelminthes","Cercaria batillariae*"
"Platyhelminthes","Corallobothrium fimbriatum*"
"Platyhelminthes","Dactylogyrus extensus*"
"Platyhelminthes","Gigantobilharzia sp.*"
"Platyhelminthes","Himasthla quissetensis*"
"Platyhelminthes","Khawia japonensis*"
"Platyhelminthes","Lepocreadium setiferoides*"
"Platyhelminthes","Leptoplana limnoriae*"
"Platyhelminthes","Ligictaluridus pricei*"
"Platyhelminthes","Maritrema arenaria*"
"Platyhelminthes","Megathylacoides giganteum*"
"Platyhelminthes","Microphallus similis*"
"Platyhelminthes","Pisciamphistoma stunkardi*"
"Platyhelminthes","Stephanostomum tenue*"
"Platyhelminthes","Zoogonus lasius*"
"Protozoans","Bonamia ostreae*"
"Protozoans","Boveria teredinidi*"
"Protozoans","Conidophrys pilisuctor*"
"Protozoans","Cothurnia limnoriae*"
"Protozoans","Haplosporidium nelsoni*"
"Protozoans","Lagenophrys cochinensis*"
"Protozoans","Lankesteria ascidiae*"
"Protozoans","Lobochona prorates*"
"Protozoans","Mirofolliculina limnoriae*"
"Protozoans","Rhizodomus tagatzi*"
"Protozoans","Trochammina hadai*"
"Reptiles-Turtles","Trachemys scripta*"
"Reptiles-Turtles","Trachemys scripta elegans*"
"Sponges","Chalinula loosanoffi*"
"Sponges","Clathria prolifera*"
"Sponges","Halichondria bowerbanki*"
"Sponges","Hymeniacidon perlevis*"
"Sponges","Prosuberites sp.*"
"Tunicates","Aplidium accarense*"
"Tunicates","Ascidia cf. virginea*"
"Tunicates","Ascidia sp. A"
"Tunicates","Ascidia zara"
"Tunicates","Ascidiella aspersa"
"Tunicates","Bostrichobranchus pilularis"
"Tunicates","Botrylloides diegensis"
"Tunicates","Botrylloides giganteus"
"Tunicates","Botrylloides violaceus"
"Tunicates","Botryllus schlosseri"
"Tunicates","Ciona robusta"
"Tunicates","Ciona savignyi"
"Tunicates","Corella inflata"
"Tunicates","Didemnum vexillum"
"Tunicates","Diplosoma listerianum"
"Tunicates","Microcosmus squamiger"
"Tunicates","Molgula citrina"
"Tunicates","Molgula ficus"
"Tunicates","Molgula manhattensis"
"Tunicates","Perophora japonica"
"Tunicates","Polyandrocarpa zorritensis"
"Tunicates","Polyclinum constellatum"
"Tunicates","Styela canopus"
"Tunicates","Styela clava"
"Tunicates","Styela plicata"
"Tunicates","Symplegma reptans"
