Project Requested,scientific_name,Point of Contact for Submission,Email,Common Name,Survey Type,CHAPTER NAME,GENUS,SPECIES,FAMILY,ORDER,CLASS,DEPTH RANGE (CM),HABITAT TYPE,HABITAT DESCRIPTION,LIVES IN INTERTIDAL ZONE,LIVES IN SUBTIDAL ZONE,ADDITIONAL NOTES,RAND,Source,Notes
Light and Smith Manual,Americorophium brevis,Chris Meyer,MeyerC@si.edu,*Short corophium,Inventory,Amphipoda: Gammaridea,Americorophium,brevis,Corophiidae,*Amphipoda,*Malacostraca,0-3500,Various substrates,"Previously ranging from Prince William Sound to San Francisco Bay (extinct in San Francisco Bay, its type locality; next nearest population is Humboldt Bay); predominantly in marine fouling communities, but also soft benthos of estuaries",Yes,Yes,Corophiidae build U-shaped tubes in soft sediments or on hard surfaces. Size: 6 mm.,0.306653064,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Americorophium salmonis,Chris Meyer,MeyerC@si.edu,*Salmon corophium,Inventory,Amphipoda: Gammaridea,Americorophium,salmonis,Corophiidae,*Amphipoda,*Malacostraca,0-1000,Muddy bottoms,"Southern Alaska to Humboldt Bay, high salinity estuary to freshwater on muddy bottoms; probably introduced far up Columbia River; critical prey of juvenile salmon",Yes,Yes,Size: 7 mm.,0.51544071,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Americorophium spinicorne,Chris Meyer,MeyerC@si.edu,*Spine-horned corophium,Inventory,Amphipoda: Gammaridea,Americorophium,spinicorne,Corophiidae,*Amphipoda,*Malacostraca,0-2000,Hard surfaces,"Vancouver Island to San Louis Obispo, estuarine and freshwater. Introduced to upper Putah Creek, California, and upper Columbia River. Status and taxonomy of southern populations unclear. Tubes almost exclusively attached to hard surfaces",Yes,Yes,Size: 7 mm.,0.668165195,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Americorophium stimpsoni,Chris Meyer,MeyerC@si.edu,*Stimpson's corophium,Inventory,Amphipoda: Gammaridea,Americorophium,stimpsoni,Corophiidae,*Amphipoda,*Malacostraca,0-1000,Soft benthos,"Historically from Mendocino County south to Santa Cruz Island, estuarine and freshwater, exclusively in soft benthos. A potentially threatened species not found in recent decades outside of the San Francisco Bay Delta east of Carquinez Strait",Yes,Yes,Size: 6 mm.,0.87146977,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampelisca abdita,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Ampelisca,abdita,Ampeliscidae,*Amphipoda,*Malacostraca,0-1500,Estuarine sediment,"""An estuarine species native to and characteristic of the North American Atlantic coast, and introduced to central California (San Francisco and Tomales Bays)""",Yes,Yes,"""Whole body illustration shown in plate 256L; 8 mm; intertidal to 15 m.""",0.065096573,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampelisca agassizi,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Ampelisca,agassizi,Ampeliscidae,*Amphipoda,*Malacostraca,50-45000,*Soft sediment,"""Western Atlantic and Eastern Pacific, cold temperate to tropical, and probably more than one species""",No,Yes,"""7.5 mm; 5 m-450 m.""",0.260284344,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampelisca brachycladus,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Ampelisca,brachycladus,Ampeliscidae,*Amphipoda,*Malacostraca,1000-5000,*Soft sediment,"""Southern, not reported in the region of this book, but likely to be confused with A. agassizi""",No,Yes,"""10 m-50 m.""",0.868408447,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampelisca brevisimulata,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Ampelisca,brevisimulata,Ampeliscidae,*Amphipoda,*Malacostraca,400-45600,*Soft sediment,Not specified in text,No,Yes,"""9 mm; 4 m-456 m.""",0.693354376,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampelisca careyi,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Ampelisca,careyi,Ampeliscidae,*Amphipoda,*Malacostraca,0-20000,*Soft sediment,"""A possible variant of A. unsocalae""",Yes,Yes,"""12 mm; intertidal—200 m.""",0.445373358,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampelisca cristata,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Ampelisca,cristata,Ampeliscidae,*Amphipoda,*Malacostraca,0-15200,Coarse sand,"""In coarse sand""",Yes,Yes,"""14 mm; intertidal—152 m.""",0.788953563,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampelisca fageri,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Ampelisca,fageri,Ampeliscidae,*Amphipoda,*Malacostraca,0-4000,Mixed bottom,"""Mixed bottom areas of sand and boulders""",Yes,Yes,"""8 mm; intertidal—40 m.""",0.516601301,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampelisca hancocki,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Ampelisca,hancocki,Ampeliscidae,*Amphipoda,*Malacostraca,900-20000,Fine sand and silt,"""Fine sand and silt""",No,Yes,"""6.5 mm; 9 m-200 m.""",0.429029357,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampelisca indentata,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Ampelisca,indentata,Ampeliscidae,*Amphipoda,*Malacostraca,3300-9800,*Soft sediment,"""Point Conception and south; not clearly within the region but could be confused with small A. pugetica""",No,Yes,"""5 mm; 33 m-98 m.""",0.393190072,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampelisca lobata,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Ampelisca,lobata,Ampeliscidae,*Amphipoda,*Malacostraca,0-59100,*Soft sediment,"""Shallow subtidal to 591 m""",Yes,Yes,"""7 mm, shallow subtidal to 591 m.""",0.896951909,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampelisca macrocephala,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Ampelisca,macrocephala,Ampeliscidae,*Amphipoda,*Malacostraca,1000-28000,Mud benthos,"""Boreal""",No,Yes,"""9 mm; 10 m-280 m.""",0.068631475,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampelisca milleri,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Ampelisca,milleri,Ampeliscidae,*Amphipoda,*Malacostraca,0-18700,Marine and estuary,"""Central California (Gulf of the Farallones) to Ecuador, and the Galapagos Islands, a native marine species earlier confused with the estuarine A. abdita in San Francisco Bay""",Yes,Yes,"""6 mm; intertidal—187 m.""",0.105488844,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampelisca pacifica,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Ampelisca,pacifica,Ampeliscidae,*Amphipoda,*Malacostraca,500-182100,*Soft sediment,"""Monterey Bay and south""",No,Yes,"""12 mm; 5 m-1,821 m.""",0.677073659,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampelisca pugetica,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Ampelisca,pugetica,Ampeliscidae,*Amphipoda,*Malacostraca,0-25500,*Soft sediment,Not specified in text,Yes,Yes,"""8.5 mm; intertidal—255 m.""",0.432081765,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampelisca romigi,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Ampelisca,romigi,Ampeliscidae,*Amphipoda,*Malacostraca,300-50800,Coarse sand and gravel,"""Monterey Bay and south; in coarse sand and gravel""",No,Yes,"""10 mm; 3 m-508 m in coarse sand and gravel.""",0.495627897,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampelisca schellenbergi,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Ampelisca,schellenbergi,Ampeliscidae,*Amphipoda,*Malacostraca,0-4600,*Soft sediment,"""A species recorded by this name from tropical and boreal seas. Records in our region are probably A. fageri variants""",Yes,Yes,"""7.6 mm; intertidal—46 m.""",0.131177015,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampelisca unsocalae,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Ampelisca,unsocalae,Ampeliscidae,*Amphipoda,*Malacostraca,5000-170000,*Soft sediment,Not specified in text,No,Yes,"""9 mm; 50 m-1,700 m.""",0.082094052,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampelisca venetiensis,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Ampelisca,venetiensis,Ampeliscidae,*Amphipoda,*Malacostraca,0-8400,*Soft sediment,"""Venice, California and south, but distribution poorly resolved""",Yes,Yes,"""18 mm; intertidal—84 m.""",0.611901731,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampithoe aptos,Chris Meyer,MeyerC@si.edu,*Aptos ampithoe,Inventory,Amphipoda: Gammaridea,Ampithoe,aptos,Ampithoidae,*Amphipoda,*Malacostraca,0-100,Algal covered bottoms,Algal covered bottoms where it is scarce,Yes,No,Ampithoidae are herbivores that build nests of algae or burrow into kelp stipes and commonly attain the same color as the algae they inhabit. Size: 7 mm.,0.315183214,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampithoe dalli,Chris Meyer,MeyerC@si.edu,*Dall's ampithoe,Inventory,Amphipoda: Gammaridea,Ampithoe,dalli,Ampithoidae,*Amphipoda,*Malacostraca,0-1000,Exposed/protected beaches,"Boreal, south to Cape Arago on exposed and protected beaches, in tide pools, under rocks and log fouling organisms, in 10-34‰ salinity",Yes,Yes,Females ovigerous March to August. Size: 20 mm.,0.389957948,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampithoe lacertosa,Chris Meyer,MeyerC@si.edu,*Lizard-like ampithoe,Inventory,Amphipoda: Gammaridea,Ampithoe,lacertosa,Ampithoidae,*Amphipoda,*Malacostraca,0-1100,Various substrates,"Among algae, gravel, or woody debris and on pilings and floats of estuaries; also protected open coasts; heavily speckled with diffuse spots",Yes,Yes,Size: 24 mm.,0.798812932,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampithoe plumulosa,Chris Meyer,MeyerC@si.edu,*Feathery ampithoe,Inventory,Amphipoda: Gammaridea,Ampithoe,plumulosa,Ampithoidae,*Amphipoda,*Malacostraca,0-1500,Various substrates,"Eastern Pacific and western Atlantic; common on algae and Mytilus beds; origins unclear, a likely introduction or misidentified elsewhere in the world",Yes,Yes,Size: 16 mm.,0.255000191,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampithoe sectimanus,Chris Meyer,MeyerC@si.edu,*Cut-handed ampithoe,Inventory,Amphipoda: Gammaridea,Ampithoe,sectimanus,Ampithoidae,*Amphipoda,*Malacostraca,0-100,Rocky coasts,"High salinity exposed rocky coasts among algae, females ovigerous May to August",Yes,No,Size: 12.5 mm.,0.86030255,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampithoe simulans,Chris Meyer,MeyerC@si.edu,*Mimicking ampithoe,Inventory,Amphipoda: Gammaridea,Ampithoe,simulans,Ampithoidae,*Amphipoda,*Malacostraca,0-400,Various substrates,"Among algae and Phyllospadix of open and semiprotected coasts, occasionally in brackish water",Yes,Yes,Size: 30 mm.,0.561903771,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ampithoe valida,Chris Meyer,MeyerC@si.edu,*Strong ampithoe,Inventory,Amphipoda: Gammaridea,Ampithoe,valida,Ampithoidae,*Amphipoda,*Malacostraca,0-3000,Various substrates,"Abundant among green algae and in fouling communities of pilings floats, docks, and on mudflats of estuaries in Europe, eastern and western United States, Japan, Argentina; a likely Atlantic species introduced to the Pacific coast",Yes,Yes,Size: 12.5 mm.,0.631781065,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Anisogammarus pugettensis,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Anisogammarus,pugettensis,Anisogammaridae,*Amphipoda,*Malacostraca,0-100,Marshes and low-salinity estuaries,"""Marshes and low-salinity estuaries; high tolerance of low oxygen""",Yes,Yes,"""17 mm; subtidal to intertidal.""",0.687914946,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Anomalosymtes coxalis,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Anomalosymtes,coxalis,Pleustidae,*Amphipoda,*Malacostraca,0-2500,*Marine,"""Natural history and ecology unknown. Lack of a ventral antenna 2 sinus in common with Pleustidae, but the lower lip lacks pillow-shaped inner lobes and resembles Eusiroidea. Mandibular palp present and molar triturative""",Yes,Yes,"""3 mm; shallow subtidal—25 m.""",0.667103104,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Anonyx cf. lilljeborgi,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Anonyx,cf. lilljeborgi,Uristidae,*Amphipoda,*Malacostraca,0-101500,Soft sediments,"""Soft sediments; another boreal species assumed to occur from the Gulf of Alaska to Mexico on our coast (southern populations should be reexamined), and from Nova Scotia to Delaware in the Atlantic, but perhaps representing a species complex""",Yes,Yes,"""11 mm; intertidal—1,015 m.""",0.047098967,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Anonyx cf. nugax,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Anonyx,cf. nugax,Uristidae,*Amphipoda,*Malacostraca,400-118400,*Soft sediment,"""Panboreal, south to California, perhaps representing a species complex but also perhaps misreported""",No,Yes,"""up to 42 mm; 4 m-1,184 m.""",0.727297699,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Aoroides columbiae,Chris Meyer,MeyerC@si.edu,*Columbian aorid,Inventory,Amphipoda: Gammaridea,Aoroides,columbiae,Aoridae,*Amphipoda,*Malacostraca,0-10000+,Fouling communities,"Abundant in subtidal fouling communities of rocks, pilings and floats",Yes,Yes,"Tube-building suspension feeders and occur over a wide range of depths in marine and estuarine rocky, fouling, and soft benthic communities. Size: 6 mm.",0.269672854,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Aoroides exilis,Chris Meyer,MeyerC@si.edu,*Slender aorid,Inventory,Amphipoda: Gammaridea,Aoroides,exilis,Aoridae,*Amphipoda,*Malacostraca,0-5000,Various substrates,Among algae and sponges under stones and on sand and gravel beaches of open coasts and protected waters,Yes,Yes,Size: 6 mm.,0.480632528,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Aoroides inermis,Chris Meyer,MeyerC@si.edu,*Smooth aorid,Inventory,Amphipoda: Gammaridea,Aoroides,inermis,Aoridae,*Amphipoda,*Malacostraca,0-14800,Various substrates,High-salinity sand and rock surfaces of exposed and protected waters,Yes,Yes,Size: 6.5 mm.,0.159704978,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Aoroides intermedia,Chris Meyer,MeyerC@si.edu,*Intermediate aorid,Inventory,Amphipoda: Gammaridea,Aoroides,intermedia,Aoridae,*Amphipoda,*Malacostraca,0-6300,Various substrates,Various substrates,Yes,Yes,Size: 6 mm.,0.457432459,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Aoroides secundus,Chris Meyer,MeyerC@si.edu,*Asian aorid,Inventory,Amphipoda: Gammaridea,Aoroides,secundus,Aoridae,*Amphipoda,*Malacostraca,0-200,Floats and docks,An Asian species introduced probably by ships to the Pacific coast where it occurs on floats and docks of central San Francisco Bay and southern California harbors,Yes,Yes,Size: 3.5 mm.,0.210521156,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Aoroides spinosus,Chris Meyer,MeyerC@si.edu,*Spiny aorid,Inventory,Amphipoda: Gammaridea,Aoroides,spinosus,Aoridae,*Amphipoda,*Malacostraca,0-4500,Various substrates,"Low intertidal and subtidal; on various substrata, but especially with algae and among debris; not known south of Coos Bay",Yes,Yes,Size: 7 mm.,0.866244415,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Apohyale anceps,Chris Meyer,MeyerC@si.edu,*Double-headed hyale,Inventory,Amphipoda: Gammaridea,Apohyale,anceps,Hyalidae,*Amphipoda,*Malacostraca,0-100,Wave-dashed surfaces,Abundant on wave-dashed turf platforms and under cobbles and in Silvetia of the rocky open coast,Yes,No,Hyalidae are intertidal marine and estuarine herbivores with entirely cleft fleshy telsons and greatly reduced urosomite 2. Size: 12-18 mm.,0.557528278,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Apohyale californica,Chris Meyer,MeyerC@si.edu,*California hyale,Inventory,Amphipoda: Gammaridea,Apohyale,californica,Hyalidae,*Amphipoda,*Malacostraca,0-100,Wave-dashed surfaces,Abundant on wave-dashed turf platforms and under cobbles and in Silvetia of the rocky open coast. Whether A. californica and A. pugettensis are different species or size-related morphologies of a single species is unclear,Yes,No,Size: 6-12 mm.,0.202276113,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Apohyale pugettensis,Chris Meyer,MeyerC@si.edu,*Puget Sound hyale,Inventory,Amphipoda: Gammaridea,Apohyale,pugettensis,Hyalidae,*Amphipoda,*Malacostraca,0-100,Spray pools,Frequent in nearly freshwater open coast spray pools and above high-water level along bedrock shores,Yes,No,Size: 18 mm.,0.904971793,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Apolochus barnardi,Chris Meyer,MeyerC@si.edu,*Barnard's apolochus,Inventory,Amphipoda: Gammaridea,Apolochus,barnardi,Amphilochidae,*Amphipoda,*Malacostraca,0-600,Various substrates,In Phyllospadix and Egregia root masses and among coralline algae,Yes,Yes,"Amphilochidae are small colorful leucothoideanlike amphipods commensal with sea fans, hydroids, and other sessile marine invertebrates. Size: 2.5 mm.",0.740548176,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
