AphiaID	url	scientificname	authority	status	unacceptreason	taxonRankID	rank	valid_AphiaID	valid_name	valid_authority	parentNameUsageID	kingdom	phylum	class	order	family	genus	citation	lsid	isMarine	isBrackish	isFreshwater	isTerrestrial	isExtinct	match_type	modified
372234	https://www.marinespecies.org/aphia.php?p=taxdetails&id=372234	Ahnfeltiopsis linearis	(C.Agardh) P.C.Silva & DeCew, 1992	accepted	NA	220	Species	372234	Ahnfeltiopsis linearis	(C.Agardh) P.C.Silva & DeCew, 1992	144164	Plantae	Rhodophyta	Florideophyceae	Gigartinales	Phyllophoraceae	Ahnfeltiopsis	Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ahnfeltiopsis linearis (C.Agardh) P.C.Silva & DeCew, 1992. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=372234 on 2024-11-05	urn:lsid:marinespecies.org:taxname:372234	1	NA	NA	NA	NA	exact	2015-06-26T12:00:51.270Z
158938	https://www.marinespecies.org/aphia.php?p=taxdetails&id=158938	Aix sponsa	(Linnaeus, 1758)	accepted	NA	220	Species	158938	Aix sponsa	(Linnaeus, 1758)	158937	Animalia	Chordata	Aves	Anseriformes	Anatidae	Aix	WoRMS (2024). Aix sponsa (Linnaeus, 1758). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=158938 on 2024-11-05	urn:lsid:marinespecies.org:taxname:158938	0	NA	1	1	NA	exact	2011-04-27T09:01:37.467Z
371791	https://www.marinespecies.org/aphia.php?p=taxdetails&id=371791	Alaria marginata	Postels & Ruprecht, 1840	accepted	NA	220	Species	371791	Alaria marginata	Postels & Ruprecht, 1840	144194	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Alariaceae	Alaria	Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Alaria marginata Postels & Ruprecht, 1840. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=371791 on 2024-11-05	urn:lsid:marinespecies.org:taxname:371791	1	NA	NA	NA	NA	exact	2015-06-26T12:00:51.270Z
231873	https://www.marinespecies.org/aphia.php?p=taxdetails&id=231873	Alexandrium catenella	(Whedon & Kofoid) Balech, 1985	accepted	NA	220	Species	231873	Alexandrium catenella	(Whedon & Kofoid) Balech, 1985	109470	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Alexandrium catenella (Whedon & Kofoid) Balech, 1985. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=231873 on 2024-11-05	urn:lsid:marinespecies.org:taxname:231873	1	0	0	0	NA	exact	2017-03-02T13:51:38.827Z
258164	https://www.marinespecies.org/aphia.php?p=taxdetails&id=258164	Alloniscus mirabilis	(Stuxberg, 1875)	accepted	NA	220	Species	258164	Alloniscus mirabilis	(Stuxberg, 1875)	203831	Animalia	Arthropoda	Malacostraca	Isopoda	Alloniscidae	Alloniscus	Boyko, C.B.; Bruce, N.L.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B.; Taiti, S. (Eds) (2024). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Alloniscus mirabilis (Stuxberg, 1875). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=258164 on 2024-11-05	urn:lsid:marinespecies.org:taxname:258164	0	0	0	1	0	exact	2016-08-03T07:56:06.043Z
258170	https://www.marinespecies.org/aphia.php?p=taxdetails&id=258170	Alloniscus perconvexus	Dana, 1854	accepted	NA	220	Species	258170	Alloniscus perconvexus	Dana, 1854	203831	Animalia	Arthropoda	Malacostraca	Isopoda	Alloniscidae	Alloniscus	Boyko, C.B.; Bruce, N.L.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B.; Taiti, S. (Eds) (2024). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Alloniscus perconvexus Dana, 1854. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=258170 on 2024-11-05	urn:lsid:marinespecies.org:taxname:258170	0	0	0	1	0	exact	2021-12-15T14:06:55.707Z
1716476	https://www.marinespecies.org/aphia.php?p=taxdetails&id=1716476	Amphichaeta leydigi	Tauber, 1879	misspelling - incorrect subsequent spelling	NA	220	Species	593128	Amphichaeta leydigii	Tauber, 1879	137355	Animalia	Annelida	Clitellata	Tubificida	Naididae	Amphichaeta	WoRMS (2024). Amphichaeta leydigi Tauber, 1879. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1716476 on 2024-11-05	urn:lsid:marinespecies.org:taxname:1716476	NA	NA	1	NA	0	exact	2023-11-02T08:27:56.120Z
145097	https://www.marinespecies.org/aphia.php?p=taxdetails&id=145097	Amphiroa beauvoisii	J.V.Lamouroux, 1816	accepted	NA	220	Species	145097	Amphiroa beauvoisii	J.V.Lamouroux, 1816	144003	Plantae	Rhodophyta	Florideophyceae	Corallinales	Lithophyllaceae	Amphiroa	Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Amphiroa beauvoisii J.V.Lamouroux, 1816. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=145097 on 2024-11-05	urn:lsid:marinespecies.org:taxname:145097	1	NA	NA	NA	NA	exact	2015-06-26T12:00:51.270Z
146490	https://www.marinespecies.org/aphia.php?p=taxdetails&id=146490	Anadara diluvii	(Lamarck, 1805)	accepted	NA	220	Species	146490	Anadara diluvii	(Lamarck, 1805)	137669	Animalia	Mollusca	Bivalvia	Arcida	Arcidae	Anadara	MolluscaBase eds. (2024). MolluscaBase. Anadara diluvii (Lamarck, 1805)&nbsp;&#8224;. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=146490 on 2024-11-05	urn:lsid:marinespecies.org:taxname:146490	1	0	0	0	1	exact	2023-05-07T09:06:33.963Z
371891	https://www.marinespecies.org/aphia.php?p=taxdetails&id=371891	Analipus japonicus	(Harvey) M.J.Wynne, 1971	accepted	NA	220	Species	371891	Analipus japonicus	(Harvey) M.J.Wynne, 1971	369340	Chromista	Ochrophyta	Phaeophyceae	Ralfsiales	Ralfsiaceae	Analipus	Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Analipus japonicus (Harvey) M.J.Wynne, 1971. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=371891 on 2024-11-05	urn:lsid:marinespecies.org:taxname:371891	1	NA	NA	NA	NA	exact	2015-06-26T12:00:51.270Z
158939	https://www.marinespecies.org/aphia.php?p=taxdetails&id=158939	Anas acuta	Linnaeus, 1758	accepted	NA	220	Species	158939	Anas acuta	Linnaeus, 1758	148788	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas	WoRMS (2024). Anas acuta Linnaeus, 1758. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=158939 on 2024-11-05	urn:lsid:marinespecies.org:taxname:158939	0	NA	1	1	NA	exact	2011-04-08T06:18:06.150Z
159168	https://www.marinespecies.org/aphia.php?p=taxdetails&id=159168	Anas penelope	Linnaeus, 1758	unaccepted	NA	220	Species	1464521	Mareca penelope	(Linnaeus, 1758)	148788	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas	WoRMS (2024). Anas penelope Linnaeus, 1758. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159168 on 2024-11-05	urn:lsid:marinespecies.org:taxname:159168	0	NA	1	1	NA	exact	2020-11-03T11:58:50.387Z
373900	https://www.marinespecies.org/aphia.php?p=taxdetails&id=373900	Anisocladella pacifica	Kylin, 1941	accepted	NA	220	Species	373900	Anisocladella pacifica	Kylin, 1941	369346	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Delesseriaceae	Anisocladella	Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Anisocladella pacifica Kylin, 1941. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=373900 on 2024-11-05	urn:lsid:marinespecies.org:taxname:373900	1	NA	NA	NA	NA	exact	2015-06-26T12:00:51.270Z
1609307	https://www.marinespecies.org/aphia.php?p=taxdetails&id=1609307	Anodontia fragilis	(R. A. Philippi, 1836)	superseded combination	NA	220	Species	718970	Loripinus fragilis	(R. A. Philippi, 1836)	138143	Animalia	Mollusca	Bivalvia	Lucinida	Lucinidae	Anodontia	MolluscaBase eds. (2024). MolluscaBase. Anodontia fragilis (R. A. Philippi, 1836)&nbsp;&#8224;. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1609307 on 2024-11-05	urn:lsid:marinespecies.org:taxname:1609307	1	0	0	0	1	exact	2023-05-11T08:51:09.513Z
159159	https://www.marinespecies.org/aphia.php?p=taxdetails&id=159159	Anser albifrons	(Scopoli, 1769)	accepted	NA	220	Species	159159	Anser albifrons	(Scopoli, 1769)	159158	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anser	WoRMS (2024). Anser albifrons (Scopoli, 1769). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159159 on 2024-11-05	urn:lsid:marinespecies.org:taxname:159159	0	NA	1	1	NA	exact	2011-04-27T09:01:37.467Z
1034711	https://www.marinespecies.org/aphia.php?p=taxdetails&id=1034711	Anser caerulescens	Brisson, 1760	accepted	NA	220	Species	1034711	Anser caerulescens	Brisson, 1760	159158	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anser	WoRMS (2024). Anser caerulescens Brisson, 1760. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1034711 on 2024-11-05	urn:lsid:marinespecies.org:taxname:1034711	NA	NA	1	1	NA	exact	2017-09-08T07:48:33.673Z
1488265	https://www.marinespecies.org/aphia.php?p=taxdetails&id=1488265	Anser rossii	Cassin, 1861	accepted	NA	220	Species	1488265	Anser rossii	Cassin, 1861	159158	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anser	WoRMS (2024). Anser rossii Cassin, 1861. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1488265 on 2024-11-05	urn:lsid:marinespecies.org:taxname:1488265	NA	NA	NA	1	NA	exact	2021-03-08T12:01:03Z
495958	https://www.marinespecies.org/aphia.php?p=taxdetails&id=495958	Antithamnionella pacifica	(Harvey) E.M.Wollaston, 1972	accepted	NA	220	Species	495958	Antithamnionella pacifica	(Harvey) E.M.Wollaston, 1972	143828	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Ceramiaceae	Antithamnionella	Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Antithamnionella pacifica (Harvey) E.M.Wollaston, 1972. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=495958 on 2024-11-05	urn:lsid:marinespecies.org:taxname:495958	1	NA	NA	NA	NA	exact	2019-07-09T06:27:58.863Z
159381	https://www.marinespecies.org/aphia.php?p=taxdetails&id=159381	Ardea alba	Linnaeus, 1758	accepted	NA	220	Species	159381	Ardea alba	Linnaeus, 1758	159380	Animalia	Chordata	Aves	Ciconiiformes	Ardeidae	Ardea	WoRMS (2024). Ardea alba Linnaeus, 1758. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159381 on 2024-11-05	urn:lsid:marinespecies.org:taxname:159381	0	0	1	1	NA	exact	2011-04-08T06:18:06.150Z
707540	https://www.marinespecies.org/aphia.php?p=taxdetails&id=707540	Ardenna	Reichenbach, 1853	accepted	NA	180	Genus	707540	Ardenna	Reichenbach, 1853	136998	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Ardenna	WoRMS (2024). Ardenna Reichenbach, 1853. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=707540 on 2024-11-05	urn:lsid:marinespecies.org:taxname:707540	NA	NA	NA	1	NA	exact	2023-08-24T08:30:13.200Z
707541	https://www.marinespecies.org/aphia.php?p=taxdetails&id=707541	Ardenna bulleri	(Salvin, 1888)	unaccepted	NA	220	Species	225986	Puffinus bulleri	Salvin, 1888	707540	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Ardenna	WoRMS (2024). Ardenna bulleri (Salvin, 1888). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=707541 on 2024-11-05	urn:lsid:marinespecies.org:taxname:707541	NA	NA	NA	1	NA	exact	2012-10-04T09:19:24.530Z
707542	https://www.marinespecies.org/aphia.php?p=taxdetails&id=707542	Ardenna grisea	(Gmelin, 1789)	unaccepted	NA	220	Species	137202	Puffinus griseus	(Gmelin, 1789)	707540	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Ardenna	WoRMS (2024). Ardenna grisea (Gmelin, 1789). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=707542 on 2024-11-05	urn:lsid:marinespecies.org:taxname:707542	NA	NA	NA	1	NA	exact	2012-10-04T09:19:24.530Z
707543	https://www.marinespecies.org/aphia.php?p=taxdetails&id=707543	Ardenna pacifica	(Gmelin, 1789)	unaccepted	NA	220	Species	212634	Puffinus pacificus	(Gmelin, 1789)	707540	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Ardenna	WoRMS (2024). Ardenna pacifica (Gmelin, 1789). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=707543 on 2024-11-05	urn:lsid:marinespecies.org:taxname:707543	NA	NA	NA	1	NA	exact	2012-10-04T09:19:24.530Z
707544	https://www.marinespecies.org/aphia.php?p=taxdetails&id=707544	Ardenna tenuirostris	(Temminck, 1835)	unaccepted	NA	220	Species	225770	Puffinus tenuirostris	(Temminck, 1835)	707540	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Ardenna	WoRMS (2024). Ardenna tenuirostris (Temminck, 1835). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=707544 on 2024-11-05	urn:lsid:marinespecies.org:taxname:707544	NA	NA	NA	1	NA	exact	2012-10-04T09:19:24.530Z
257832	https://www.marinespecies.org/aphia.php?p=taxdetails&id=257832	Armadillidium vulgare	(Latreille, 1804)	accepted	NA	220	Species	257832	Armadillidium vulgare	(Latreille, 1804)	148672	Animalia	Arthropoda	Malacostraca	Isopoda	Armadillidiidae	Armadillidium	Boyko, C.B.; Bruce, N.L.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B.; Taiti, S. (Eds) (2024). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Armadillidium vulgare (Latreille, 1804). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=257832 on 2024-11-05	urn:lsid:marinespecies.org:taxname:257832	0	0	0	1	0	exact	2019-07-22T19:06:47.557Z
257485	https://www.marinespecies.org/aphia.php?p=taxdetails&id=257485	Armadilloniscus coronacapitalis	Menzies, 1950	accepted	NA	220	Species	257485	Armadilloniscus coronacapitalis	Menzies, 1950	146507	Animalia	Arthropoda	Malacostraca	Isopoda	Detonidae	Armadilloniscus	Boyko, C.B.; Bruce, N.L.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B.; Taiti, S. (Eds) (2024). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Armadilloniscus coronacapitalis Menzies, 1950. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=257485 on 2024-11-05	urn:lsid:marinespecies.org:taxname:257485	0	0	0	1	0	exact	2016-08-12T15:53:19.157Z
257488	https://www.marinespecies.org/aphia.php?p=taxdetails&id=257488	Armadilloniscus holmesi	Arcangeli, 1933	accepted	NA	220	Species	257488	Armadilloniscus holmesi	Arcangeli, 1933	146507	Animalia	Arthropoda	Malacostraca	Isopoda	Detonidae	Armadilloniscus	Boyko, C.B.; Bruce, N.L.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B.; Taiti, S. (Eds) (2024). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Armadilloniscus holmesi Arcangeli, 1933. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=257488 on 2024-11-05	urn:lsid:marinespecies.org:taxname:257488	0	0	0	1	0	exact	2016-08-12T15:53:19.157Z
257496	https://www.marinespecies.org/aphia.php?p=taxdetails&id=257496	Armadilloniscus lindahli	(Richardson, 1905)	accepted	NA	220	Species	257496	Armadilloniscus lindahli	(Richardson, 1905)	146507	Animalia	Arthropoda	Malacostraca	Isopoda	Detonidae	Armadilloniscus	Boyko, C.B.; Bruce, N.L.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B.; Taiti, S. (Eds) (2024). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Armadilloniscus lindahli (Richardson, 1905). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=257496 on 2024-11-05	urn:lsid:marinespecies.org:taxname:257496	0	0	0	1	0	exact	2016-08-12T20:06:29.803Z
740630	https://www.marinespecies.org/aphia.php?p=taxdetails&id=740630	Artemia monica	Verrill, 1869	accepted	NA	220	Species	740630	Artemia monica	Verrill, 1869	480245	Animalia	Arthropoda	Branchiopoda	Anostraca	Artemiidae	Artemia	WoRMS (2024). Artemia monica Verrill, 1869. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=740630 on 2024-11-05	urn:lsid:marinespecies.org:taxname:740630	NA	NA	1	NA	NA	exact	2013-09-12T12:19:57.537Z
993623	https://www.marinespecies.org/aphia.php?p=taxdetails&id=993623	Artiodactyla	NA	accepted	NA	100	Order	993623	Artiodactyla	NA	380416	Animalia	Chordata	Mammalia	Artiodactyla	NA	NA	WoRMS (2024). Artiodactyla. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=993623 on 2024-11-05	urn:lsid:marinespecies.org:taxname:993623	0	0	0	1	NA	exact	2017-05-30T13:14:47.327Z
872183	https://www.marinespecies.org/aphia.php?p=taxdetails&id=872183	Aspalima panamensis	(Dall, 1902)	accepted	NA	220	Species	872183	Aspalima panamensis	(Dall, 1902)	761899	Animalia	Mollusca	Bivalvia	Arcida	Limopsidae	Aspalima	MolluscaBase eds. (2024). MolluscaBase. Aspalima panamensis (Dall, 1902). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=872183 on 2024-11-05	urn:lsid:marinespecies.org:taxname:872183	1	NA	NA	NA	NA	exact	2024-08-19T11:44:53.677Z
144439	https://www.marinespecies.org/aphia.php?p=taxdetails&id=144439	Asparagopsis taxiformis	(Delile) Trevisan de Saint-Léon, 1845	accepted	NA	220	Species	144439	Asparagopsis taxiformis	(Delile) Trevisan de Saint-Léon, 1845	143809	Plantae	Rhodophyta	Florideophyceae	Bonnemaisoniales	Bonnemaisoniaceae	Asparagopsis	Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Asparagopsis taxiformis (Delile) Trevisan de Saint-Léon, 1845. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=144439 on 2024-11-05	urn:lsid:marinespecies.org:taxname:144439	1	NA	NA	NA	NA	exact	2015-06-26T12:00:51.270Z
