Scientific.Name	row_ids	AphiaID	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	namePublishedInID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	modified	bibliographicCitation	references	license	rightsHolder	datasetName	institutionCode	datasetID.x	identifier	title	format	datasetID.y	subject	Accepted_AphiaID	parent_AphiaID	speciesNOsubgenus	parent_NCBI	accepted_NCBI
ABIETINARIA FILLICULA	R17715	117871	urn:lsid:marinespecies.org:taxname:117871	urn:lsid:marinespecies.org:taxname:117871	urn:lsid:marinespecies.org:taxname:117871	urn:lsid:marinespecies.org:taxname:117225	NA	Abietinaria filicula	Abietinaria filicula	Abietinaria	NA	NA	Animalia	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Abietinaria	NA	filicula	NA	Species	(Ellis & Solander, 1786)	ICZN	accepted	NA	2004-12-21	Schuchert, P. (2024). World Hydrozoa Database. Abietinaria filicula (Ellis & Solander, 1786). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=117871	https://www.marinespecies.org/aphia.php?p=taxdetails&id=117871	NA	NA	NA	NA	NA	NCBI:txid308600	To GenBank (6 nucleotides; 0 proteins)	NA	ncbi	NA	117871	117225	Abietinaria filicula	NCBI:txid308598	NCBI:txid308600
ABIETINARIA GREENEI	R17716	285366	urn:lsid:marinespecies.org:taxname:285366	urn:lsid:marinespecies.org:taxname:285366	urn:lsid:marinespecies.org:taxname:1358362	urn:lsid:marinespecies.org:taxname:117225	NA	Abietinaria greenei	Amphisbetia greenei	Abietinaria	NA	NA	Animalia	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Abietinaria	NA	greenei	NA	Species	(Murray, 1860)	ICZN	unaccepted	NA	2019-07-12	Schuchert, P. (2024). World Hydrozoa Database. Abietinaria greenei (Murray, 1860). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=285366	https://www.marinespecies.org/aphia.php?p=taxdetails&id=285366	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1358362	117225	Abietinaria greenei	NCBI:txid308598	NA
ABIETINARIA INCONSTANS	R17717	285368	urn:lsid:marinespecies.org:taxname:285368	urn:lsid:marinespecies.org:taxname:285368	urn:lsid:marinespecies.org:taxname:285368	urn:lsid:marinespecies.org:taxname:117225	NA	Abietinaria inconstans	Abietinaria inconstans	Abietinaria	NA	NA	Animalia	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Abietinaria	NA	inconstans	NA	Species	(Clark, 1877)	ICZN	accepted	NA	2019-07-12	Schuchert, P. (2024). World Hydrozoa Database. Abietinaria inconstans (Clark, 1877). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=285368	https://www.marinespecies.org/aphia.php?p=taxdetails&id=285368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	285368	117225	Abietinaria inconstans	NCBI:txid308598	NA
ABLABESMYIA	R03204	987209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABLENNES HIANS	R07504	159246	urn:lsid:marinespecies.org:taxname:159246	urn:lsid:marinespecies.org:taxname:159246	urn:lsid:marinespecies.org:taxname:159246	urn:lsid:marinespecies.org:taxname:159244	NA	Ablennes hians	Ablennes hians	Ablennes	NA	NA	Animalia	Chordata	Teleostei	Beloniformes	Belonidae	Ablennes	NA	hians	NA	Species	(Valenciennes, 1846)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Ablennes hians (Valenciennes, 1846). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159246	https://www.marinespecies.org/aphia.php?p=taxdetails&id=159246	NA	NA	NA	NA	NA	NCBI:txid129035	To GenBank (72 nucleotides; 110 proteins)	NA	ncbi	NA	159246	159244	Ablennes hians	NCBI:txid129034	NCBI:txid129035
ABLUDOMELITA ACULEATA	R03208	102786	urn:lsid:marinespecies.org:taxname:102786	urn:lsid:marinespecies.org:taxname:102786	urn:lsid:marinespecies.org:taxname:102786	urn:lsid:marinespecies.org:taxname:101665	NA	Abludomelita aculeata	Abludomelita aculeata	Abludomelita	NA	NA	Animalia	Arthropoda	Malacostraca	Amphipoda	Melitidae	Abludomelita	NA	aculeata	NA	Species	(Chevreux, 1911)	ICZN	accepted	NA	2020-10-08	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilas-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2024). World Amphipoda Database. Abludomelita aculeata (Chevreux, 1911). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=102786	https://www.marinespecies.org/aphia.php?p=taxdetails&id=102786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	102786	101665	Abludomelita aculeata	NCBI:txid1920390	NA
ABLUDOMELITA GLADIOSA	R03209	102787	urn:lsid:marinespecies.org:taxname:102787	urn:lsid:marinespecies.org:taxname:102787	urn:lsid:marinespecies.org:taxname:102787	urn:lsid:marinespecies.org:taxname:101665	NA	Abludomelita gladiosa	Abludomelita gladiosa	Abludomelita	NA	NA	Animalia	Arthropoda	Malacostraca	Amphipoda	Melitidae	Abludomelita	NA	gladiosa	NA	Species	(Spence Bate & Westwood, 1862)	ICZN	accepted	NA	2023-11-12	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilas-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2024). World Amphipoda Database. Abludomelita gladiosa (Spence Bate & Westwood, 1862). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=102787	https://www.marinespecies.org/aphia.php?p=taxdetails&id=102787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	102787	101665	Abludomelita gladiosa	NCBI:txid1920390	NA
ABLUDOMELITA OBTUSATA	R03210	102788	urn:lsid:marinespecies.org:taxname:102788	urn:lsid:marinespecies.org:taxname:102788	urn:lsid:marinespecies.org:taxname:102788	urn:lsid:marinespecies.org:taxname:101665	NA	Abludomelita obtusata	Abludomelita obtusata	Abludomelita	NA	NA	Animalia	Arthropoda	Malacostraca	Amphipoda	Melitidae	Abludomelita	NA	obtusata	NA	Species	(Montagu, 1813)	ICZN	accepted	NA	2004-12-21	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilas-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2024). World Amphipoda Database. Abludomelita obtusata (Montagu, 1813). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=102788	https://www.marinespecies.org/aphia.php?p=taxdetails&id=102788	NA	NA	NA	NA	NA	NCBI:txid1920391	To GenBank (13 nucleotides; 12 proteins)	NA	ncbi	NA	102788	101665	Abludomelita obtusata	NCBI:txid1920390	NCBI:txid1920391
ABRA	R03211	138474	urn:lsid:marinespecies.org:taxname:138474	urn:lsid:marinespecies.org:taxname:138474	urn:lsid:marinespecies.org:taxname:138474	urn:lsid:marinespecies.org:taxname:1781	https://doi.org/10.5962/bhl.title.40014	Abra	Abra	Semelidae	Lamarck, J.B. (1818). [volume 5 of] Histoire naturelle des Animaux sans Vertèbres, préséntant les caractères généraux et particuliers de ces animaux, leur distribution, leurs classes, leurs familles, leurs genres, et la citation des principales espèces qui s'y rapportent; precedes d'une Introduction offrant la determination des caracteres essentiels de l'Animal, sa distinction du vegetal et desautres corps naturels, enfin, l'Exposition des Principes fondamentaux de la Zoologie. <em>Paris, Deterville.</em> vol 5: 612 pp.	1818	Animalia	Mollusca	Bivalvia	Cardiida	Semelidae	Abra	NA	NA	NA	Genus	Lamarck, 1818	ICZN	accepted	NA	2024-01-11	MolluscaBase eds. (2024). MolluscaBase. Abra Lamarck, 1818. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138474	https://www.marinespecies.org/aphia.php?p=taxdetails&id=138474	NA	NA	NA	NA	NA	NCBI:txid121180	To Genbank	NA	ncbi	NA	138474	1781	NA	NCBI:txid121179	NCBI:txid121180
ABRA AEQUALIS	R03212	293683	urn:lsid:marinespecies.org:taxname:293683	urn:lsid:marinespecies.org:taxname:293683	urn:lsid:marinespecies.org:taxname:293683	urn:lsid:marinespecies.org:taxname:138474	NA	Abra aequalis	Abra aequalis	Abra	NA	NA	Animalia	Mollusca	Bivalvia	Cardiida	Semelidae	Abra	NA	aequalis	NA	Species	(Say, 1822)	ICZN	accepted	NA	2011-12-22	MolluscaBase eds. (2024). MolluscaBase. Abra aequalis (Say, 1822). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=293683	https://www.marinespecies.org/aphia.php?p=taxdetails&id=293683	NA	NA	NA	NA	NA	NCBI:txid2175524	To GenBank (6 nucleotides; 6 proteins)	NA	ncbi	NA	293683	138474	Abra aequalis	NCBI:txid121180	NCBI:txid2175524
ABRA ALBA	R03213	141433	urn:lsid:marinespecies.org:taxname:141433	urn:lsid:marinespecies.org:taxname:141433	urn:lsid:marinespecies.org:taxname:141433	urn:lsid:marinespecies.org:taxname:138474	NA	Abra alba	Abra alba	Abra	NA	NA	Animalia	Mollusca	Bivalvia	Cardiida	Semelidae	Abra	NA	alba	NA	Species	(W. Wood, 1802)	ICZN	accepted	NA	2010-09-23	MolluscaBase eds. (2024). MolluscaBase. Abra alba (W. Wood, 1802). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=141433	https://www.marinespecies.org/aphia.php?p=taxdetails&id=141433	NA	NA	NA	NA	NA	NCBI:txid399303	To GenBank (18 nucleotides; 7 proteins)	NA	ncbi	NA	141433	138474	Abra alba	NCBI:txid121180	NCBI:txid399303
ABRA LONGICALLUS	R03214	141434	urn:lsid:marinespecies.org:taxname:141434	urn:lsid:marinespecies.org:taxname:141434	urn:lsid:marinespecies.org:taxname:141434	urn:lsid:marinespecies.org:taxname:138474	NA	Abra longicallus	Abra longicallus	Abra	NA	NA	Animalia	Mollusca	Bivalvia	Cardiida	Semelidae	Abra	NA	longicallus	NA	Species	(Scacchi, 1835)	ICZN	accepted	NA	2010-09-23	MolluscaBase eds. (2024). MolluscaBase. Abra longicallus (Scacchi, 1835). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=141434	https://www.marinespecies.org/aphia.php?p=taxdetails&id=141434	NA	NA	NA	NA	NA	NCBI:txid989232	To GenBank (13 nucleotides; 6 proteins)	NA	ncbi	NA	141434	138474	Abra longicallus	NCBI:txid121180	NCBI:txid989232
ABRA NITIDA	R03215	141435	urn:lsid:marinespecies.org:taxname:141435	urn:lsid:marinespecies.org:taxname:141435	urn:lsid:marinespecies.org:taxname:141435	urn:lsid:marinespecies.org:taxname:138474	NA	Abra nitida	Abra nitida	Abra	NA	NA	Animalia	Mollusca	Bivalvia	Cardiida	Semelidae	Abra	NA	nitida	NA	Species	(O. F. Müller, 1776)	ICZN	accepted	NA	2024-05-18	MolluscaBase eds. (2024). MolluscaBase. Abra nitida (O. F. Müller, 1776). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=141435	https://www.marinespecies.org/aphia.php?p=taxdetails&id=141435	NA	NA	NA	NA	NA	NCBI:txid358434	To GenBank (9 nucleotides; 7 proteins)	NA	ncbi	NA	141435	138474	Abra nitida	NCBI:txid121180	NCBI:txid358434
ABRA PRISMATICA	R03217	141436	urn:lsid:marinespecies.org:taxname:141436	urn:lsid:marinespecies.org:taxname:141436	urn:lsid:marinespecies.org:taxname:141436	urn:lsid:marinespecies.org:taxname:138474	NA	Abra prismatica	Abra prismatica	Abra	NA	NA	Animalia	Mollusca	Bivalvia	Cardiida	Semelidae	Abra	NA	prismatica	NA	Species	(Montagu, 1808)	ICZN	accepted	NA	2004-12-21	MolluscaBase eds. (2024). MolluscaBase. Abra prismatica (Montagu, 1808). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=141436	https://www.marinespecies.org/aphia.php?p=taxdetails&id=141436	NA	NA	NA	NA	NA	NCBI:txid183592	To GenBank (6 nucleotides; 4 proteins)	NA	ncbi	NA	141436	138474	Abra prismatica	NCBI:txid121180	NCBI:txid183592
ABRA SEGMENTUM	R03216	141438	urn:lsid:marinespecies.org:taxname:141438	urn:lsid:marinespecies.org:taxname:141438	urn:lsid:marinespecies.org:taxname:141438	urn:lsid:marinespecies.org:taxname:138474	NA	Abra segmentum	Abra segmentum	Abra	NA	NA	Animalia	Mollusca	Bivalvia	Cardiida	Semelidae	Abra	NA	segmentum	NA	Species	(Récluz, 1843)	ICZN	accepted	NA	2022-12-17	MolluscaBase eds. (2024). MolluscaBase. Abra segmentum (Récluz, 1843). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=141438	https://www.marinespecies.org/aphia.php?p=taxdetails&id=141438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	141438	138474	Abra segmentum	NCBI:txid121180	NA
ABRA TENUIS	R03218	141439	urn:lsid:marinespecies.org:taxname:141439	urn:lsid:marinespecies.org:taxname:141439	urn:lsid:marinespecies.org:taxname:141439	urn:lsid:marinespecies.org:taxname:138474	NA	Abra tenuis	Abra tenuis	Abra	NA	NA	Animalia	Mollusca	Bivalvia	Cardiida	Semelidae	Abra	NA	tenuis	NA	Species	(Montagu, 1803)	ICZN	accepted	NA	2004-12-21	MolluscaBase eds. (2024). MolluscaBase. Abra tenuis (Montagu, 1803). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=141439	https://www.marinespecies.org/aphia.php?p=taxdetails&id=141439	NA	NA	NA	NA	NA	NCBI:txid2590760	To GenBank (2 nucleotides; 0 proteins)	NA	ncbi	NA	141439	138474	Abra tenuis	NCBI:txid121180	NCBI:txid2590760
ABRALIA	R07505	137930	urn:lsid:marinespecies.org:taxname:137930	urn:lsid:marinespecies.org:taxname:137930	urn:lsid:marinespecies.org:taxname:137930	urn:lsid:marinespecies.org:taxname:11740	NA	Abralia	Abralia	Enoploteuthidae	Gray, J. E. (1849). <i>Catalogue of the Mollusca in the collection of the British Museum I: Cephalopoda antepedia</i>.  London: British Museum. 164 pp,. 	1849	Animalia	Mollusca	Cephalopoda	Oegopsida	Enoploteuthidae	Abralia	NA	NA	NA	Genus	J. E. Gray, 1849	ICZN	accepted	NA	2023-12-22	MolluscaBase eds. (2024). MolluscaBase. Abralia J. E. Gray, 1849. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137930	https://www.marinespecies.org/aphia.php?p=taxdetails&id=137930	NA	NA	NA	NA	NA	NCBI:txid34549	To Genbank	NA	ncbi	NA	137930	11740	NA	NCBI:txid6623	NCBI:txid34549
ABRALIOPSIS	R00438;R09768	137931	urn:lsid:marinespecies.org:taxname:137931	urn:lsid:marinespecies.org:taxname:137931	urn:lsid:marinespecies.org:taxname:137931	urn:lsid:marinespecies.org:taxname:11740	NA	Abraliopsis	Abraliopsis	Enoploteuthidae	Joubin, L. (1896). Observations sur divers Céphalopodes. Première note: <i>Abraliopsis Pfefferi</i> (nov. gen. et spec.). <em>Bulletin de la Société Scientifique et Médicale de l'Ouest.</em> 5: 19-35.	1896	Animalia	Mollusca	Cephalopoda	Oegopsida	Enoploteuthidae	Abraliopsis	NA	NA	NA	Genus	Joubin, 1896	ICZN	accepted	NA	2016-06-08	MolluscaBase eds. (2024). MolluscaBase. Abraliopsis Joubin, 1896. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137931	https://www.marinespecies.org/aphia.php?p=taxdetails&id=137931	NA	NA	NA	NA	NA	NCBI:txid34547	To Genbank	NA	ncbi	NA	137931	11740	NA	NCBI:txid6623	NCBI:txid34547
