Project Request,Scientific Name,Native,Point of Contact for Submission,Email,Common Name,Survey Type,raw
Kathy Ann UC Berkelely Current and former names for California seaweeds,Boreolithothamnion giganteum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Boreolithothamnion giganteum (L.R. Mason) P.W. Gabrielson, Maneveldt, J.R. Hughey & V. Peña"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Boreolithothamnion phymatodeum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Boreolithothamnion phymatodeum (Foslie) P.W. Gabrielson, Maneveldt, J.R. Hughey & V. Peña"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Bornetia californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Bornetia californica I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Bossiella californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Bossiella californica (Decaisne) P.C. Silva
Kathy Ann UC Berkelely Current and former names for California seaweeds,Bossiella chiloensis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Bossiella chiloensis (Decaisne) H.W. Johansen
Kathy Ann UC Berkelely Current and former names for California seaweeds,Bossiella dichotoma,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Bossiella dichotoma (Manza) P.C. Silva
Kathy Ann UC Berkelely Current and former names for California seaweeds,Bossiella exarticulata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Bossiella exarticulata K.R. Hind, P.T. Martone, C.P. Jensen, & P.W. Gabrielson"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Bossiella frondescens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Bossiella frondescens (Postels & Ruprecht) E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Bossiella frondifera,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Bossiella frondifera Manza
Kathy Ann UC Berkelely Current and former names for California seaweeds,Bossiella heteroforma,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Bossiella heteroforma K.R. Hind, P.W. Gabrielson & G.W. Saunders"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Bossiella mayae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Bossiella mayae P.W. Gabrielson, K.R. Hind, P.T. Martone, & C.P. Jensen"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Bossiella orbigniana,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Bossiella orbigniana (Decaisne) P.C. Silva
Kathy Ann UC Berkelely Current and former names for California seaweeds,Bossiella plumosa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Bossiella plumosa (Manza) P.C. Silva
Kathy Ann UC Berkelely Current and former names for California seaweeds,Bossiella schmittii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Bossiella schmittii (Manza) H.W. Johansen
Kathy Ann UC Berkelely Current and former names for California seaweeds,Botryocladia neushulii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Botryocladia neushulii E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Botryocladia pseudodichotoma,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Botryocladia pseudodichotoma (Farlow) Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Botrytella pacifica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Botrytella pacifica (G.J. Hollenberg) G.I. Hansen
Kathy Ann UC Berkelely Current and former names for California seaweeds,Branchioglossum bipinnatifidum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Branchioglossum bipinnatifidum (Montagne) M.J. Wynne
Kathy Ann UC Berkelely Current and former names for California seaweeds,Branchioglossum undulatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Branchioglossum undulatum E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Bryopsis corticulans,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Bryopsis corticulans Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Bryopsis hypnoides,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Bryopsis hypnoides Lamouroux
Kathy Ann UC Berkelely Current and former names for California seaweeds,Bryopsis pennata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Bryopsis pennata var. minor J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Bryopsis spp.,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Bryopsis spp.
Kathy Ann UC Berkelely Current and former names for California seaweeds,Calliarthron cheilosporioides,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Calliarthron cheilosporioides Manza
Kathy Ann UC Berkelely Current and former names for California seaweeds,Calliarthron tuberculosum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Calliarthron tuberculosum (Postels & Ruprecht) E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Callilithophytum parcum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Callilithophytum parcum (Setchell & Foslie) P.W. Gabrielson, W.H. Adey, G.P. Johnson & J.J. Hernandez-Kantun"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Callithamnion acutum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Callithamnion acutum Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Callithamnion biseriatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Callithamnion biseriatum Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Callithamnion catalinense,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Callithamnion catalinense E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Callithamnion paschale,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Callithamnion paschale Borgesen
Kathy Ann UC Berkelely Current and former names for California seaweeds,Callithamnion pikeanum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Callithamnion pikeanum Harvey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Callithamnion ramosissimum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Callithamnion ramosissimum N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Callithamnion rupicola,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Callithamnion rupicola C.L. Anderson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Callocolax fungiformis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Callocolax fungiformis Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Callophyllis crenulata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Callophyllis crenulata Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Callophyllis dissecta,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Callophyllis dissecta Setchell & Swezy
Kathy Ann UC Berkelely Current and former names for California seaweeds,Callophyllis edentata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Callophyllis edentata Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Callophyllis flabellulata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Callophyllis flabellulata Harvey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Callophyllis heanophylla,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Callophyllis heanophylla Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Callophyllis linearis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Callophyllis linearis (Kylin) I.A. Abbott & R.E. Norris
Kathy Ann UC Berkelely Current and former names for California seaweeds,Callophyllis obtusifolia,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Callophyllis obtusifolia J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Callophyllis odonthalioides,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Callophyllis odonthalioides Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Callophyllis pinnata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Callophyllis pinnata Setchell & Swezy
Kathy Ann UC Berkelely Current and former names for California seaweeds,Callophyllis schneideri,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Callophyllis schneideri B.E. Clarkston & G.W. Saunders
Kathy Ann UC Berkelely Current and former names for California seaweeds,Callophyllis thompsonii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Callophyllis thompsonii Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Callophyllis variegata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Callophyllis variegata (Bory de Saint-Vincent) Kützing
Kathy Ann UC Berkelely Current and former names for California seaweeds,Callophyllis violacea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Callophyllis violacea J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Campylaephora californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Campylaephora californica (Farlow) T.O. Cho
Kathy Ann UC Berkelely Current and former names for California seaweeds,Campylaephora gardneri,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Campylaephora gardneri (Kylin) Barros-Barreto & Maggs
Kathy Ann UC Berkelely Current and former names for California seaweeds,Campylaephora kondoi,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Campylaephora kondoi (Yendo) Barros-Barreto & Maggs
Kathy Ann UC Berkelely Current and former names for California seaweeds,Campylaephora sungminbooi,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Campylaephora sungminbooi (J.R. Hughey & G. H.Boo) Barros-Barreto & Maggs
Kathy Ann UC Berkelely Current and former names for California seaweeds,Capsosiphon fulvescens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Capsosiphon fulvescens (C. Agardh) Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Carpopeltis bushiae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Carpopeltis bushiae (Farlow) Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Carradoriella denudata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Carradoriella denudata (Dillwyn) A.M. Savoie & G.W. Saunders
Kathy Ann UC Berkelely Current and former names for California seaweeds,Caulerpa prolifera,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Caulerpa prolifera (Forssk&aring;l) Lamouroux
Kathy Ann UC Berkelely Current and former names for California seaweeds,Caulerpa taxifolia,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Caulerpa taxifolia (Vahl) C. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Centroceras clavulatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Centroceras clavulatum (C. Agardh) Montagne
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ceramium avalonae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ceramium avalonae E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ceramium californicum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ceramium californicum J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ceramium camouii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ceramium camouii E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ceramium caudatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ceramium caudatum Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ceramium equisetoides,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ceramium equisetoides E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ceramium procumbens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ceramium procumbens Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ceramium serpens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ceramium serpens Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ceramium viscainoense,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ceramium viscainoense E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ceramium zacae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ceramium zacae Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ceramothamnion codicola,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ceramothamnion codicola (J. Agardh) M.J. Wynne & C.W. Schneider
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ceramothamnion coulteri,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ceramothamnion coulteri (Harvey) M.J. Wynne & C.W. Schneider
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ceramothamnion interruptum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ceramothamnion interruptum (J. Agardh) M.J. Wynne & C.W. Schneider
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ceramothamnion pacificum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ceramothamnion pacificum (Collins) M.J. Wynne & C.W. Schneider
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ceramothamnion sinicola,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ceramothamnion sinicola (Setchell & N.L. Gardner) M.J. Wynne & C.W. Schneider
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chaetomorpha aerea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Chaetomorpha aerea (Dillwyn) Kützing
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chaetomorpha antennina,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Chaetomorpha antennina (Bory) Kützing
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chaetomorpha californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Chaetomorpha californica Collins
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chaetomorpha linum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Chaetomorpha linum (O.F. Müller) Kützing
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chaetomorpha spiralis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Chaetomorpha spiralis Okamura
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chamberlainium decipiens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Chamberlainium decipiens (Foslie) Caragnano, Foetisch, Maneveldt & Payri"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chamberlainium tumidum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Chamberlainium tumidum (Foslie) Caragnano, Foetisch, Maneveldt & Payri"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Champia parvula,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Champia parvula (C. Agardh) Harvey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chiharaea americana,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Chiharaea americana (E.Y. Dawson & R.L. Steele) P.T. Martone, S.C. Lindstrom, K.A. Miller & P.W. Gabrielson"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chiharaea bodegensis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Chiharaea bodegensis H.W. Johansen
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chiharaea rhododactyla,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Chiharaea rhododactyla K.R. Hind & G.W. Saunders
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chiharaea silvae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Chiharaea silvae (H.W. Johansen) P.T. Martone, S.C. Lindstrom, K.A. Miller & P.W. Gabrielson"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chlorocystis moorei,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Chlorocystis moorei (N.L. Gardner) T. Darienko, C. Rad-Menéndez, C.N. Campbell & T. Pröschold"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chondracanthus bajacalifornicus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Chondracanthus bajacalifornicus J.R. Hughey & M.H. Hommersand
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chondracanthus canaliculatus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Chondracanthus canaliculatus (Harvey) M. Guiry
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chondracanthus corymbiferus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Chondracanthus corymbiferus (Kützing) M. Guiry
