Project Request,Scientific name,Point of Contact for Submission,Email,Common Name,Survey Type
EcoFOCI Zooplankton,Atrophia spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Atylus spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Atylus tridens,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Augaptilus glacialis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Augaptilus spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Beroe cucumis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Bivalvia,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Bolinopsis infundibulum,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Boroecia borealis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Boroecia maxima,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Boroecia,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Botrynema brucei,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Botrynema ellinorae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Bougainvillia superciliaris,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Brachyura,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Calanus glacialis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Calanus hyperboreus,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Calanus marshallae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Calanus pacificus,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Caligidae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Calocalanus spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Calycopsis nematophora,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Cancridae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Brachyura,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Candacia Columbiae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Candacia spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Caprellidae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Caridea,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Catablema vesicarium,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Centropages abdominalis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Centropages hamatus,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Centropages spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Chaetognatha,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Chiridiella abyssalis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Chiridiella spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Chiridius gracilis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Chiridius obtusifrons,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Chiridius polaris,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Chiridius spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Chrysaora melanaster,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Chrysaora spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Cirripedia,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Clausocalanus spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Clione limacina,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Clytia gregaria,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Phialidium gregarium,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Cnidarian medusae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Conchoecia spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Corophium,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Corycaeus spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Crangon alaskensis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Crangon communis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Crangon dalli,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Crangon spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Crangonidae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Crossota norvegica,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Ctenocalanus spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Ctenophora,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Cumacea,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Cumella spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Cuspidella mertensi,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Cyclocaris guilelmi,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Cyclopoida,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Cymbasoma spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Cyphocaris challengeri,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Decapoda,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Decapodiformes larvae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Squid larvae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Diastylis alaskensis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Diastylis spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Dimophyes arctica,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Diphyidae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Discanthomysis dybowskii,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Disco spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Disco triangularis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Discoconchoecia elegans,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Echinodermata,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Eirene indicans,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Epilabidocera longipedata,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Eualus fabricii,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Eualus gaimardii belcheri,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Eualus gaimardii gaimardii,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Eualus macilentus,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Eualus pusiolus,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Eualus spp. ,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Eualus suckleyi,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Euaugaptilus hyperboreus,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Euaugaptilus spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Eucalanus bungii,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Euchaetidae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Euchirella rostrata,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Euchirella spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Eudorellopsis deformis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Eudorellopsis spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Eukrohnia hamata,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Euphausia pacifica,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Euphausiacea,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Euphysa flammea,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Eurytemora herdmanni,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Eurytemora pacifica,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Eurytemora spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Eusirogenes arctica,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Eusirus holmi,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Eusirus spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Evadne nordmanni,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Evadne spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Exacanthomysis alaskensis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Fritillaria borealis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Fritillaria polaris,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Fritillaria spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Gaetanus brevispinus,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Gaetanus minutus,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Gaetanus simplex,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Gaetanus spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Gaetanus tenuispinus,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Galatheidae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Anomura,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Gammaridea,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Gastropoda,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Polychaete,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Gastropoda,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Grapsidae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Brachyura,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Haloptilus acutifrons,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Haloptilus oxycephalus,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Haloptilus spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Harpacticoida,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Heterokrohniain volucrum,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Heterorhabdus norvegicus,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Heterorhabdus spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Heterorhabdus tanneri,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Heterostylites major,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Heterostylites spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Hippolytidae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Caridea,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Holothuroidea,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Homeognathia spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Homoeonema platygonon,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Hyalopontius spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Hydromedusae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Hymenodora glacialis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Hyperia medusarum,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Hyperia spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Hyperiidea,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Hyperoche medusarum,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Hyperoche spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Jaschnovia spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Jaschnovia tolli,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Lamprops spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Lanceola clausii,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Larvacea,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Leptostylis spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Leptothecata,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Leptomedusae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Leucon spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Leuconidae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Limacina helicina,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Limnomedusae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Lithodidae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Anomura,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Lubbockia spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Lubbockia squillimana,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Lucicutia anomala,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Lucicutia favicornis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Lucicutia ovalis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Lucicutia polaris,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Lucicutia pseudopolaris,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Lucicutia spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Lysianassidae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Majidae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Margelopsis hartlaubi,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Marrus orthocanna,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Melicertum campanula,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Melicertum octocostatum,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Melphidippa spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Mertensia ovum,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Mesocalanus lighti,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Mesocalanus spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Mesocalanus tenuicornis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Meterythrops micropthalmus,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Meterythrops robustus,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Metridia longa,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Metridia okotensis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Metridia pacifica,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Metridia lucens,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Metridia spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Microcalanus pygmaeus,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Microcalanus spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Microsetella norvegica,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Microsetella rosea,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Microsetella spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Mimocalanus crassus,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Mimocalanus damkaeri,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Mimocalanus spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Mimonectes sphaericus,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Minuspio,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Monoculodes spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Monstrilla spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Muggiaea bargmannae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Myctophidae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Mysida,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Mysis litoralis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Mysis oculata,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Mysis polaris,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Mysis relicta,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Mysis spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Nannocalanus minor,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Nannocalanus spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Narcomedusae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Narcomedusae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Nebalia spp. ,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Neocalanus cristatus,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Neocalanus plumchrus,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Neocalanus flemingeri,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Neocalanus spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Neomormonilla minor,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Neomormonilla spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Neomysis czerniavskii,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Neomysis rayii,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Obelia longissima,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Obelia spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Octopodiformes,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Oikopleura gorsky,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Oikopleura spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Oikopleura vanhoeffeni,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Oithona nana,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Oithona setigera,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Oithona spinirostris,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Oithona similis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Oithona spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Oncaea spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Oncaeidae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Onisimus glacialis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Ophiuroidea,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Oregoniidae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Brachyura,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Ostracoda,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Pacifacanthomysis nephrophthalma,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Anomura,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Paguridae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Pagurus beringanus,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Pagurus hirsutiusculus,David Kimmel,david.kimmel@noaa.gov,,Encountered
