Project Requested,scientific_name,Point of Contact for Submission,Email,Common Name,Survey Type,locality
GOM Species List,Araeolaimus texianus,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Haliplectus dorsalis,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Haliplectus floridanus,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Halalaimus brimi,,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Neurella simplex,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Onchium ocellatum,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Turbanella ocellata,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Turbanella bocqueti,,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Macrodasys blysocytalis,,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Zeuxo coralensis,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Thysanopoda tricuspida,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Thysanopoda tricuspida,,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Thysanopoda cristata,,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Zeuxo coralensis,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Hexapleomera robusta,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Loxodes rostrum,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Euphausia mutica,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Thysanopoda aequalis,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Thysanopoda cristata,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Brasilomysis castroi,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Euphausia mutica,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Argulus laticauda,,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Unidentified genus sp. B,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Euphausia mutica,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Thysanopoda aequalis,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Anchialina typica,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Stylocheiron maximum,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Anchialina typica,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Euphausia brevis,,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Euphausia brevis,,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Stylocheiron robustum,,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Brasilomysis castroi,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Brasilomysis castroi,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Brasilomysis castroi,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Stylocheiron longicorne,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Thysanopoda aequalis,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Euphausia brevis,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Thysanopoda aequalis,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Stylocheiron maximum,,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Euphausia brevis,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Stylocheiron maximum,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Euphausia brevis,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Stylocheiron maximum,,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Brasilomysis castroi,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Americamysis bahia,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Stylocheiron longicorne,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Nematoscelis microps,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Thysanopoda aequalis,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Thysanopoda aequalis,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Nematoscelis tenella,,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Thysanopoda aequalis,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Americamysis bahia,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Americamysis bahia,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Euphausia brevis,,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Stylocheiron elongatum,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Stylocheiron elongatum,,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Thysanopoda orientalis,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Thysanopoda pectinata,,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Euphausia gibboides,,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Stylocheiron elongatum,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Stylocheiron elongatum,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Euphausia gibboides,,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Euphausia gibboides,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Nematoscelis microps,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Euphausia gibboides,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Stylocheiron longicorne,,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Thysanopoda obtusifrons,,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Euphausia americana,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Nematoscelis atlantica,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Euphausia gibboides,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Nematoscelis atlantica,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Nematoscelis atlantica,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Americamysis almyra,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Euphausia gibboides,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Heteromysis mariani,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Cumella vicina,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Euphausia gibboides,,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Thysanopoda obtusifrons,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Euphausia hemigibba,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Euphausia gibboides,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Euphausia gibboides,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Euphausia hemigibba,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Heteromysis guitarti,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Euphausia hemigibba,,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Heteromysis guitarti,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Pseudomma heardi,,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Pseudomma heardi,,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Euphausia tenera,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Pseudomma heardi,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Heteromysis actinae,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Euphausia tenera,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Thysanoessa gregaria,,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Euphausia tenera,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Euchaetomera tenuis,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Stylocheiron suhmi,,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Stylocheiron elongatum,,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Cumella gomoiui,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Stylocheiron suhmi,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Euphausia tenera,,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Euphausia tenera,,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Cubanocuma gutzui,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Cubanocuma gutzui,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Stylocheiron suhmi,,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Stylocheiron suhmi,,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Stylocheiron suhmi,,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Stylocheiron suhmi,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Stylocheiron suhmi,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Stylocheiron suhmi,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Araphura spinithenari,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Euphausia hemigibba,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Thysanopoda tricuspida,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Euphausia pseudogibba,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Euphausia hemigibba,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Euphausia hemigibba,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Leucon americanus,,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Almyracuma bacescui,,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Stylocheiron carinatum,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Cyclaspis granulata,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Thysanopoda egregia,,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Stylocheiron carinatum,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Grampus griseus,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Stylocheiron affine,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Stylocheiron carinatum,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Thysanopoda tricuspida,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Stylocheiron affine,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Stylocheiron carinatum,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Stylocheiron carinatum,,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Stylocheiron carinatum,,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Stylocheiron affine,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Euphausia pseudogibba,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Thysanopoda tricuspida,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Stylocheiron carinatum,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Stylocheiron affine,,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Stylocheiron carinatum,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Euphausia mutica,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Thysanopoda tricuspida,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Stylocheiron carinatum,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Thysanopoda tricuspida,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Thysanopoda egregia,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Thysanopoda egregia,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Euphausia mutica,,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Stylocheiron affine,,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Thysanopoda monacantha,,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Euphausia tenera,,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Thysanopoda tricuspida,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Livoneca redmanii,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Cerapus tubularis,,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Peponocephala electra,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Megabalanus tintinnabulum,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Megabalanus coccopoma,,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Megabalanus tintinnabulum,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Conchoecia convexa,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Ceratoconcha floridana,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Conchoecia convexa,,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Malacobdella grossa,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Megabalanus tintinnabulum,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Argulus yucatanus,,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Megabalanus tintinnabulum,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Argulus yucatanus,,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Ceratoconcha floridana,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Ceratoconcha floridana,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Ceratoconcha floridana,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Ceratoconcha domingensis,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Megabalanus tintinnabulum,,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Balanus trigonus,,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Ceratoconcha domingensis,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Megabalanus stultus,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Megabalanus coccopoma,,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Alacia valdiviae,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Rutiderma gyre,,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Argulus bicolor,,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Tetrastemma candidum,,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
