Project Requested,scientific_name,Point of Contact for Submission,Email,Common Name,Survey Type,locality
GOM Species List,Sundanella sibogae,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Monoposthia baxteri,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Globicephala macrorhynchus,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Gonionchus intermedius,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Rhynchonema hirsutum,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Desmoscolex americanus,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Aeverrillia armata,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Amathia convoluta,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Diaperoecia floridana,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Aeverrillia setigera,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Monoposthioides mayri,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Globicephala macrorhynchus,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Monoposthioides mayri,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Amathia distans,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Amathia distans,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Amathia distans,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Monoposthia hexalata,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Monoposthia baxteri,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Daptonema tortum,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Globicephala macrorhynchus,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Globicephala macrorhynchus,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Globicephala macrorhynchus,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Globicephala macrorhynchus,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Balanoglossus jamaicensis,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Ptychodera bahamensis,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Balanoglossus jamaicensis,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Globicephala macrorhynchus,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Amathia alternata,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Stephanollona serrata,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Alcyonidium polyoum,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Ixionema powelli,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Grampus griseus,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Microlaimus texianus,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Cheironchus vorax,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Cheironchus vorax,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Cheironchus vorax,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Cheironchus vorax,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Cheironchus vorax,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Elzalia federici,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Grampus griseus,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Schizocardium braziliense,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Crisia ramosa,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Grampus griseus,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Elzalia federici,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Nolella stipata,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Crisia ramosa,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Pareurystomina bissonettei,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Elzalia kimae,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Tubiluchus corallicola,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Araeolaimus elegans,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Araeolaimus texianus,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Haliplectus dorsalis,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Haliplectus floridanus,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Halalaimus brimi,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Neurella simplex,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Onchium ocellatum,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Turbanella ocellata,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Turbanella bocqueti,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Macrodasys blysocytalis,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Zeuxo coralensis,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Thysanopoda tricuspida,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Thysanopoda tricuspida,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Thysanopoda cristata,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Zeuxo coralensis,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Hexapleomera robusta,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Loxodes rostrum,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Euphausia mutica,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Thysanopoda aequalis,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Thysanopoda cristata,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Brasilomysis castroi,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Euphausia mutica,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Argulus laticauda,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Unidentified genus sp. B,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Euphausia mutica,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Thysanopoda aequalis,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Anchialina typica,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Stylocheiron maximum,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Anchialina typica,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Euphausia brevis,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Euphausia brevis,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Stylocheiron robustum,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Brasilomysis castroi,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Brasilomysis castroi,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Brasilomysis castroi,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Stylocheiron longicorne,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Thysanopoda aequalis,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Euphausia brevis,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Thysanopoda aequalis,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Stylocheiron maximum,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Euphausia brevis,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Stylocheiron maximum,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Euphausia brevis,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Stylocheiron maximum,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Brasilomysis castroi,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Americamysis bahia,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Stylocheiron longicorne,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Nematoscelis microps,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Thysanopoda aequalis,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Thysanopoda aequalis,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Nematoscelis tenella,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Thysanopoda aequalis,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Americamysis bahia,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Americamysis bahia,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Euphausia brevis,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Stylocheiron elongatum,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Stylocheiron elongatum,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Thysanopoda orientalis,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Thysanopoda pectinata,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Euphausia gibboides,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Stylocheiron elongatum,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Stylocheiron elongatum,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Euphausia gibboides,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Euphausia gibboides,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Nematoscelis microps,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Euphausia gibboides,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Stylocheiron longicorne,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Thysanopoda obtusifrons,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Euphausia americana,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Nematoscelis atlantica,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Euphausia gibboides,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Nematoscelis atlantica,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Nematoscelis atlantica,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Americamysis almyra,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Euphausia gibboides,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Heteromysis mariani,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Cumella vicina,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Euphausia gibboides,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Thysanopoda obtusifrons,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Euphausia hemigibba,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Euphausia gibboides,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Euphausia gibboides,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Euphausia hemigibba,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Heteromysis guitarti,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Euphausia hemigibba,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Heteromysis guitarti,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Pseudomma heardi,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Pseudomma heardi,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Euphausia tenera,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Pseudomma heardi,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Heteromysis actinae,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Euphausia tenera,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Thysanoessa gregaria,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Euphausia tenera,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Euchaetomera tenuis,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Stylocheiron suhmi,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Stylocheiron elongatum,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Cumella gomoiui,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Stylocheiron suhmi,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Euphausia tenera,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Euphausia tenera,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Cubanocuma gutzui,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Cubanocuma gutzui,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Stylocheiron suhmi,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Stylocheiron suhmi,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Stylocheiron suhmi,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Stylocheiron suhmi,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Stylocheiron suhmi,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Stylocheiron suhmi,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Araphura spinithenari,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Euphausia hemigibba,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Thysanopoda tricuspida,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Euphausia pseudogibba,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Euphausia hemigibba,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Euphausia hemigibba,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Leucon americanus,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Almyracuma bacescui,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Stylocheiron carinatum,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Cyclaspis granulata,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Thysanopoda egregia,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Stylocheiron carinatum,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Grampus griseus,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Stylocheiron affine,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Stylocheiron carinatum,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Thysanopoda tricuspida,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Stylocheiron affine,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Stylocheiron carinatum,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Stylocheiron carinatum,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Stylocheiron carinatum,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Stylocheiron affine,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Euphausia pseudogibba,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Thysanopoda tricuspida,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Stylocheiron carinatum,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Stylocheiron affine,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Stylocheiron carinatum,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Euphausia mutica,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
