Scientific.Name	row_ids	AphiaID	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	namePublishedInID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	modified	bibliographicCitation	references	license	rightsHolder	datasetName	institutionCode	datasetID.x	identifier	title	format	datasetID.y	subject	Accepted_AphiaID	parent_AphiaID	speciesNOsubgenus	parent_NCBI	accepted_NCBI
Acipenser transmontanus	R000011	238345	urn:lsid:marinespecies.org:taxname:238345	urn:lsid:marinespecies.org:taxname:238345	urn:lsid:marinespecies.org:taxname:238345	urn:lsid:marinespecies.org:taxname:125618	NA	Acipenser transmontanus	Acipenser transmontanus	Acipenser	Richardson, J. (1836). The Fish. In: Fauna Boreali-Americana; or the zoology of the northern parts of British America: containing descriptions of the objects of natural history collected on the late northern land expeditions, under the command of Sir John Franklin, R.N. <em>J. Bentley, London.</em> Part 3: i-xv + 1-327, Pls. 74-97. [Reference was incorrectly given as 1837; correct date is 1836 (WNE June 12, 2015).].	1836	Animalia	Chordata	Chondrostei	Acipenseriformes	Acipenseridae	Acipenser	NA	transmontanus	NA	Species	Richardson, 1836	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Acipenser transmontanus Richardson, 1836. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=238345	https://www.marinespecies.org/aphia.php?p=taxdetails&id=238345	NA	NA	NA	NA	NA	NCBI:txid7904	To GenBank (2923 nucleotides; 174 proteins)	NA	ncbi	NA	238345	125618	Acipenser transmontanus	NCBI:txid7901	NCBI:txid7904
Agonomalus mozinoi	R000012	279517	urn:lsid:marinespecies.org:taxname:279517	urn:lsid:marinespecies.org:taxname:279517	urn:lsid:marinespecies.org:taxname:279517	urn:lsid:marinespecies.org:taxname:268236	NA	Agonomalus mozinoi	Agonomalus mozinoi	Agonomalus	Wilimovsky, N. J.; Wilson, D. E. (1979). A new species of Agonidae, Agonomalus mozinoi, from the west coast of North America. <em>Syesis.</em> 11: 73-79. [Although for 1978, back cover of volume reads "Released May, 1 1979".].	1979	Animalia	Chordata	Teleostei	Perciformes	Agonidae	Agonomalus	NA	mozinoi	NA	Species	Wilimovsky & Wilson, 1979	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Agonomalus mozinoi Wilimovsky & Wilson, 1979. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279517	https://www.marinespecies.org/aphia.php?p=taxdetails&id=279517	NA	NA	NA	NA	NA	NCBI:txid2838345	To GenBank (1 nucleotides; 0 proteins)	NA	ncbi	NA	279517	268236	Agonomalus mozinoi	NCBI:txid1633496	NCBI:txid2838345
Agonopsis sterletus	R000013	279521	urn:lsid:marinespecies.org:taxname:279521	urn:lsid:marinespecies.org:taxname:279521	urn:lsid:marinespecies.org:taxname:279521	urn:lsid:marinespecies.org:taxname:268237	NA	Agonopsis sterletus	Agonopsis sterletus	Agonopsis	NA	NA	Animalia	Chordata	Teleostei	Perciformes	Agonidae	Agonopsis	NA	sterletus	NA	Species	(Gilbert, 1898)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Agonopsis sterletus (Gilbert, 1898). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279521	https://www.marinespecies.org/aphia.php?p=taxdetails&id=279521	NA	NA	NA	NA	NA	NCBI:txid740689	To GenBank (2 nucleotides; 1 proteins)	NA	ncbi	NA	279521	268237	Agonopsis sterletus	NCBI:txid428026	NCBI:txid740689
Agonopsis vulsa	R000014	279522	urn:lsid:marinespecies.org:taxname:279522	urn:lsid:marinespecies.org:taxname:279522	urn:lsid:marinespecies.org:taxname:279522	urn:lsid:marinespecies.org:taxname:268237	NA	Agonopsis vulsa	Agonopsis vulsa	Agonopsis	NA	NA	Animalia	Chordata	Teleostei	Perciformes	Agonidae	Agonopsis	NA	vulsa	NA	Species	(Jordan & Gilbert, 1880)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Agonopsis vulsa (Jordan & Gilbert, 1880). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279522	https://www.marinespecies.org/aphia.php?p=taxdetails&id=279522	NA	NA	NA	NA	NA	NCBI:txid428027	To GenBank (24 nucleotides; 12 proteins)	NA	ncbi	NA	279522	268237	Agonopsis vulsa	NCBI:txid428026	NCBI:txid428027
Ahliesaurus brevis	R000015	272078	urn:lsid:marinespecies.org:taxname:272078	urn:lsid:marinespecies.org:taxname:272078	urn:lsid:marinespecies.org:taxname:272078	urn:lsid:marinespecies.org:taxname:125671	NA	Ahliesaurus brevis	Ahliesaurus brevis	Ahliesaurus	Bertelsen, E.; Krefft, G.; Marshall, N. B. (1976). The fishes of the family Notosudidae. <em>Dana Report.</em> No. 86: 1-114, Pl. 1.	1976	Animalia	Chordata	Teleostei	Aulopiformes	Notosudidae	Ahliesaurus	NA	brevis	NA	Species	Bertelsen, Krefft & Marshall, 1976	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Ahliesaurus brevis Bertelsen, Krefft & Marshall, 1976. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=272078	https://www.marinespecies.org/aphia.php?p=taxdetails&id=272078	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	272078	125671	Ahliesaurus brevis	NCBI:txid509770	NA
Albatrossia pectoralis	R000016	236135	urn:lsid:marinespecies.org:taxname:236135	urn:lsid:marinespecies.org:taxname:236135	urn:lsid:marinespecies.org:taxname:236135	urn:lsid:marinespecies.org:taxname:236134	NA	Albatrossia pectoralis	Albatrossia pectoralis	Albatrossia	NA	NA	Animalia	Chordata	Teleostei	Gadiformes	Macrouridae	Albatrossia	NA	pectoralis	NA	Species	(Gilbert, 1892)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Albatrossia pectoralis (Gilbert, 1892). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=236135	https://www.marinespecies.org/aphia.php?p=taxdetails&id=236135	NA	NA	NA	NA	NA	NCBI:txid83392	To GenBank (42 nucleotides; 38 proteins)	NA	ncbi	NA	236135	236134	Albatrossia pectoralis	NA	NCBI:txid83392
Albula gilberti	R000017	712409	urn:lsid:marinespecies.org:taxname:712409	urn:lsid:marinespecies.org:taxname:712409	urn:lsid:marinespecies.org:taxname:712409	urn:lsid:marinespecies.org:taxname:157878	NA	Albula gilberti	Albula gilberti	Albula	Pfeiler, E.; Van Der Heiden, A.M.; Ruboyianes, R.S.; Watts, T. (2011). Albula gilberti, a new species of bonefish (Albuliformes: Albulidae) from the eastern Pacific, and a description of adults of the parapatric A. esuncula. Zootaxa, 3088: 1-14. 	2011	Animalia	Chordata	Teleostei	Albuliformes	Albulidae	Albula	NA	gilberti	NA	Species	Pfeiler & van der Heiden, 2011	ICZN	accepted	NA	2012-12-21	Froese, R. and D. Pauly. Editors. (2024). FishBase. Albula gilberti Pfeiler & van der Heiden, 2011. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=712409	https://www.marinespecies.org/aphia.php?p=taxdetails&id=712409	NA	NA	NA	NA	NA	NCBI:txid1036540	To GenBank (81 nucleotides; 77 proteins)	NA	ncbi	NA	712409	157878	Albula gilberti	NA	NCBI:txid1036540
Albula pacificus	R000018	1014668	urn:lsid:marinespecies.org:taxname:1014668	urn:lsid:marinespecies.org:taxname:1014668	urn:lsid:marinespecies.org:taxname:1014668	urn:lsid:marinespecies.org:taxname:157878	NA	Albula pacifica	Albula pacifica	Albula	NA	NA	Animalia	Chordata	Teleostei	Albuliformes	Albulidae	Albula	NA	pacifica	NA	Species	(Beebe, 1942)	ICZN	accepted	NA	2022-03-02	Froese, R. and D. Pauly. Editors. (2024). FishBase. Albula pacifica (Beebe, 1942). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1014668	https://www.marinespecies.org/aphia.php?p=taxdetails&id=1014668	NA	NA	NA	NA	NA	NCBI:txid1038686	To GenBank (4 nucleotides; 3 proteins)	NA	ncbi	NA	1014668	157878	Albula pacifica	NA	NCBI:txid1038686
Aldrovandia oleosa	R000019	157881	urn:lsid:marinespecies.org:taxname:157881	urn:lsid:marinespecies.org:taxname:157881	urn:lsid:marinespecies.org:taxname:157881	urn:lsid:marinespecies.org:taxname:125837	NA	Aldrovandia oleosa	Aldrovandia oleosa	Aldrovandia	Sulak, K. J. (1977). Aldrovandia oleosa, a new species of the Halosauridae, with observations on several other species of the family. <em>Copeia.</em> 1977 (1): 11-20.	1977	Animalia	Chordata	Teleostei	Notacanthiformes	Halosauridae	Aldrovandia	NA	oleosa	NA	Species	Sulak, 1977	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Aldrovandia oleosa Sulak, 1977. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=157881	https://www.marinespecies.org/aphia.php?p=taxdetails&id=157881	NA	NA	NA	NA	NA	NCBI:txid1675535	To GenBank (29 nucleotides; 46 proteins)	NA	ncbi	NA	157881	125837	Aldrovandia oleosa	NA	NCBI:txid1675535
Alepisaurus ferox	R000020	126333	urn:lsid:marinespecies.org:taxname:126333	urn:lsid:marinespecies.org:taxname:126333	urn:lsid:marinespecies.org:taxname:126333	urn:lsid:marinespecies.org:taxname:125661	NA	Alepisaurus ferox	Alepisaurus ferox	Alepisaurus	Lowe, R.T. (1833). Description of <i>Alepisaurus</i>, a new genus of fishes. <em>Proc. Zool. Soc. Lond.</em> (pt 1): 104.	1833	Animalia	Chordata	Teleostei	Aulopiformes	Alepisauridae	Alepisaurus	NA	ferox	NA	Species	Lowe, 1833	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Alepisaurus ferox Lowe, 1833. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126333	https://www.marinespecies.org/aphia.php?p=taxdetails&id=126333	NA	NA	NA	NA	NA	NCBI:txid88653	To GenBank (66 nucleotides; 103 proteins)	NA	ncbi	NA	126333	125661	Alepisaurus ferox	NCBI:txid88652	NCBI:txid88653
Alepocephalus tenebrosus	R000021	272849	urn:lsid:marinespecies.org:taxname:272849	urn:lsid:marinespecies.org:taxname:272849	urn:lsid:marinespecies.org:taxname:272849	urn:lsid:marinespecies.org:taxname:125868	NA	Alepocephalus tenebrosus	Alepocephalus tenebrosus	Alepocephalus	Gilbert, C. H. (1892). Descriptions of thirty-four new species of fishes collected in 1888 and 1889, principally among the Santa Barbara Islands and in the Gulf of California. <em>In: Scientific results of explorations by the U. S. Fish Commission steamer Albatross. Proceedings of the United States National Museum.</em> v. 14 (no. 880): 539-566.	1892	Animalia	Chordata	Teleostei	Alepocephaliformes	Alepocephalidae	Alepocephalus	NA	tenebrosus	NA	Species	Gilbert, 1892	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Alepocephalus tenebrosus Gilbert, 1892. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=272849	https://www.marinespecies.org/aphia.php?p=taxdetails&id=272849	NA	NA	NA	NA	NA	NCBI:txid170189	To GenBank (58 nucleotides; 73 proteins)	NA	ncbi	NA	272849	125868	Alepocephalus tenebrosus	NCBI:txid134617	NCBI:txid170189
Alloclinus holderi	R000022	279560	urn:lsid:marinespecies.org:taxname:279560	urn:lsid:marinespecies.org:taxname:279560	urn:lsid:marinespecies.org:taxname:279560	urn:lsid:marinespecies.org:taxname:268261	NA	Alloclinus holderi	Alloclinus holderi	Alloclinus	NA	NA	Animalia	Chordata	Teleostei	Blenniiformes	Labrisomidae	Alloclinus	NA	holderi	NA	Species	(Lauderbach, 1907)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Alloclinus holderi (Lauderbach, 1907). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279560	https://www.marinespecies.org/aphia.php?p=taxdetails&id=279560	NA	NA	NA	NA	NA	NCBI:txid314245	To GenBank (15 nucleotides; 11 proteins)	NA	ncbi	NA	279560	268261	Alloclinus holderi	NCBI:txid314244	NCBI:txid314245
Allocyttus folletti	R000023	254555	urn:lsid:marinespecies.org:taxname:254555	urn:lsid:marinespecies.org:taxname:254555	urn:lsid:marinespecies.org:taxname:254555	urn:lsid:marinespecies.org:taxname:126246	NA	Allocyttus folletti	Allocyttus folletti	Allocyttus	Myers, G. S. (1960). A new Zeomorph fish of the family Oreosomatidae from the coast of California, with notes on the family. <em>Stanford Ichthyological Bulletin.</em> 7 (4): 89-98.	1960	Animalia	Chordata	Teleostei	Zeiformes	Oreosomatidae	Allocyttus	NA	folletti	NA	Species	Myers, 1960	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Allocyttus folletti Myers, 1960. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254555	https://www.marinespecies.org/aphia.php?p=taxdetails&id=254555	NA	NA	NA	NA	NA	NCBI:txid319752	To GenBank (23 nucleotides; 14 proteins)	NA	ncbi	NA	254555	126246	Allocyttus folletti	NCBI:txid181444	NCBI:txid319752
Allosmerus elongatus	R000024	279564	urn:lsid:marinespecies.org:taxname:279564	urn:lsid:marinespecies.org:taxname:279564	urn:lsid:marinespecies.org:taxname:279564	urn:lsid:marinespecies.org:taxname:268266	NA	Allosmerus elongatus	Allosmerus elongatus	Allosmerus	NA	NA	Animalia	Chordata	Teleostei	Osmeriformes	Osmeridae	Allosmerus	NA	elongatus	NA	Species	(Ayres, 1854)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Allosmerus elongatus (Ayres, 1854). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279564	https://www.marinespecies.org/aphia.php?p=taxdetails&id=279564	NA	NA	NA	NA	NA	NCBI:txid433393	To GenBank (37 nucleotides; 23 proteins)	NA	ncbi	NA	279564	268266	Allosmerus elongatus	NCBI:txid182232	NCBI:txid433393
Allothunnus fallai	R000025	219707	urn:lsid:marinespecies.org:taxname:219707	urn:lsid:marinespecies.org:taxname:219707	urn:lsid:marinespecies.org:taxname:219707	urn:lsid:marinespecies.org:taxname:206507	NA	Allothunnus fallai	Allothunnus fallai	Allothunnus	Serventy, D. L. (1948). Allothunnus fallai a new genus and species of tuna from New Zealand. <em>Records of the Canterbury Museum.</em> v. 5 (no. 3): 131-135, Pls. 28-29.	1948	Animalia	Chordata	Teleostei	Scombriformes	Scombridae	Allothunnus	NA	fallai	NA	Species	Serventy, 1948	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Allothunnus fallai Serventy, 1948. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=219707	https://www.marinespecies.org/aphia.php?p=taxdetails&id=219707	NA	NA	NA	NA	NA	NCBI:txid320457	To GenBank (15 nucleotides; 11 proteins)	NA	ncbi	NA	219707	206507	Allothunnus fallai	NCBI:txid320456	NCBI:txid320457
Alopias pelagicus	R000026	220019	urn:lsid:marinespecies.org:taxname:220019	urn:lsid:marinespecies.org:taxname:220019	urn:lsid:marinespecies.org:taxname:220019	urn:lsid:marinespecies.org:taxname:105740	NA	Alopias pelagicus	Alopias pelagicus	Alopias	Nakamura, H. (1935). On the two species of the thresher shark from Formosan waters. <em>Memoirs of the Faculty of Science and Agriculture, Taihoku Imperial University, Formosa.</em> v. 14 (no. 1) (Zoology no. 4): 1-6, Pls. 1-3.	1935	Animalia	Chordata	Elasmobranchii	Lamniformes	Alopiidae	Alopias	NA	pelagicus	NA	Species	Nakamura, 1935	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Alopias pelagicus Nakamura, 1935. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=220019	https://www.marinespecies.org/aphia.php?p=taxdetails&id=220019	NA	NA	NA	NA	NA	NCBI:txid57979	To GenBank (336 nucleotides; 343 proteins)	NA	ncbi	NA	220019	105740	Alopias pelagicus	NCBI:txid7851	NCBI:txid57979
