Scientific.Name	Source
Bathyraja kincaidii	Walker_Miller_Lea_Combo_20210216
Bathyraja microtrachys	Walker_Miller_Lea_Combo_20210216
Bathyraja minispinosa	Walker_Miller_Lea_Combo_20210216
Bathyraja spinosissima	Walker_Miller_Lea_Combo_20210216
Bathyraja trachura	Walker_Miller_Lea_Combo_20210216
Bathysaurus mollis	Walker_Miller_Lea_Combo_20210216
Bathysphyraenops simplex	Walker_Miller_Lea_Combo_20210216
Bathytroctes macrolepis	Walker_Miller_Lea_Combo_20210216
Bellator gymnostethus	Walker_Miller_Lea_Combo_20210216
Bellator xenisma	Walker_Miller_Lea_Combo_20210216
Benthalbella dentata	Walker_Miller_Lea_Combo_20210216
Benthalbella linguidens	Walker_Miller_Lea_Combo_20210216
Benthodesmus pacificus	Walker_Miller_Lea_Combo_20210216
Benthosema panamense	Walker_Miller_Lea_Combo_20210216
Benthosema suborbitale	Walker_Miller_Lea_Combo_20210216
Beringraja binoculata	Walker_Miller_Lea_Combo_20210216
Beringraja inornate	Walker_Miller_Lea_Combo_20210216
Beringraja rhina	Walker_Miller_Lea_Combo_20210216
Beringraja stellulata	Walker_Miller_Lea_Combo_20210216
Bertella idiomorpha	Walker_Miller_Lea_Combo_20210216
Blepsias bilobus	Walker_Miller_Lea_Combo_20210216
Blepsias cirrhosus	Walker_Miller_Lea_Combo_20210216
Bodianus diplotaenia	Walker_Miller_Lea_Combo_20210216
Bodianus pulcher	Walker_Miller_Lea_Combo_20210216
Bolinichthys longipes	Walker_Miller_Lea_Combo_20210216
Bollmannia stigmatura	Walker_Miller_Lea_Combo_20210216
Borophryne apogon	Walker_Miller_Lea_Combo_20210216
Borostomias panamensis	Walker_Miller_Lea_Combo_20210216
Bothragonus swanii	Walker_Miller_Lea_Combo_20210216
Bothrocara brunneum	Walker_Miller_Lea_Combo_20210216
Bothrocara molle	Walker_Miller_Lea_Combo_20210216
Bothrocara pusillum	Walker_Miller_Lea_Combo_20210216
Brachygenys californiensis	Walker_Miller_Lea_Combo_20210216
Brachyistius frenatus	Walker_Miller_Lea_Combo_20210216
Brama japonica	Walker_Miller_Lea_Combo_20210216
Brama orcini	Walker_Miller_Lea_Combo_20210216
Brosmophycis marginata	Walker_Miller_Lea_Combo_20210216
Brotula clarkae	Walker_Miller_Lea_Combo_20210216
Brotulataenia nielseni	Walker_Miller_Lea_Combo_20210216
Bryozoichthys marjorius	Walker_Miller_Lea_Combo_20210216
Calamus brachysomus	Walker_Miller_Lea_Combo_20210216
Caranx caballus	Walker_Miller_Lea_Combo_20210216
Caranx caninus	Walker_Miller_Lea_Combo_20210216
Caranx sexfasciatus	Walker_Miller_Lea_Combo_20210216
Caranx vinctus	Walker_Miller_Lea_Combo_20210216
Carcharhinus altimus	Walker_Miller_Lea_Combo_20210216
Carcharhinus brachyurus	Walker_Miller_Lea_Combo_20210216
Carcharhinus falciformis	Walker_Miller_Lea_Combo_20210216
Carcharhinus galapagensis	Walker_Miller_Lea_Combo_20210216
Carcharhinus leucas	Walker_Miller_Lea_Combo_20210216
Carcharhinus longimanus	Walker_Miller_Lea_Combo_20210216
Carcharhinus obscurus	Walker_Miller_Lea_Combo_20210216
Carcharodon carcharias	Walker_Miller_Lea_Combo_20210216
Careproctus ambustus	Walker_Miller_Lea_Combo_20210216
Careproctus colletti	Walker_Miller_Lea_Combo_20210216
Careproctus cypselurus	Walker_Miller_Lea_Combo_20210216
Careproctus filamentosus	Walker_Miller_Lea_Combo_20210216
Careproctus gilberti	Walker_Miller_Lea_Combo_20210216
Careproctus kamikawai	Walker_Miller_Lea_Combo_20210216
Careproctus longifilis	Walker_Miller_Lea_Combo_20210216
Careproctus melanurus	Walker_Miller_Lea_Combo_20210216
Careproctus microstomus	Walker_Miller_Lea_Combo_20210216
Careproctus oregonensis	Walker_Miller_Lea_Combo_20210216
Caristius macropus	Walker_Miller_Lea_Combo_20210216
Cataetyx rubrirostris	Walker_Miller_Lea_Combo_20210216
Cataetyx simus	Walker_Miller_Lea_Combo_20210216
Caulolatilus affinis	Walker_Miller_Lea_Combo_20210216
Caulolatilus princeps	Walker_Miller_Lea_Combo_20210216
Caulophryne jordani	Walker_Miller_Lea_Combo_20210216
Caulophryne pelagica	Walker_Miller_Lea_Combo_20210216
Caulophryne polynema	Walker_Miller_Lea_Combo_20210216
Cebidichthys violaceus	Walker_Miller_Lea_Combo_20210216
Centrobranchus nigroocellatus	Walker_Miller_Lea_Combo_20210216
Centroscyllium nigrum	Walker_Miller_Lea_Combo_20210216
Cephalopholis colonus	Walker_Miller_Lea_Combo_20210216
Cephaloscyllium ventriosum	Walker_Miller_Lea_Combo_20210216
Ceratias holboelli	Walker_Miller_Lea_Combo_20210216
Ceratoscopelus townsendi	Walker_Miller_Lea_Combo_20210216
Cetengraulis mysticetus	Walker_Miller_Lea_Combo_20210216
Cetichthys parini	Walker_Miller_Lea_Combo_20210216
Cetorhinus maximus	Walker_Miller_Lea_Combo_20210216
Cetostoma regani	Walker_Miller_Lea_Combo_20210216
Chaenophryne draco	Walker_Miller_Lea_Combo_20210216
Chaenophryne longiceps	Walker_Miller_Lea_Combo_20210216
Chaenophryne melanorhabdus	Walker_Miller_Lea_Combo_20210216
Chaenopsis alepidota	Walker_Miller_Lea_Combo_20210216
Chaetodipterus zonatus	Walker_Miller_Lea_Combo_20210216
Chaetodon humeralis	Walker_Miller_Lea_Combo_20210216
Chanos chanos	Walker_Miller_Lea_Combo_20210216
Chauliodus macouni	Walker_Miller_Lea_Combo_20210216
Chauliodus sloani	Walker_Miller_Lea_Combo_20210216
Chaunacops coloratus	Walker_Miller_Lea_Combo_20210216
Cheilopogon furcatus	Walker_Miller_Lea_Combo_20210216
Cheilopogon heterurus	Walker_Miller_Lea_Combo_20210216
Cheilopogon pinnatibarbatus	Walker_Miller_Lea_Combo_20210216
Cheilotrema saturnum	Walker_Miller_Lea_Combo_20210216
Cherublemma emmelas	Walker_Miller_Lea_Combo_20210216
Chesnonia verrucosa	Walker_Miller_Lea_Combo_20210216
Chiasmodon niger	Walker_Miller_Lea_Combo_20210216
Chiasmodon subniger	Walker_Miller_Lea_Combo_20210216
Chilara taylori	Walker_Miller_Lea_Combo_20210216
Chilomycterus reticulatus	Walker_Miller_Lea_Combo_20210216
Chirolophis decoratus	Walker_Miller_Lea_Combo_20210216
Chirolophis nugator	Walker_Miller_Lea_Combo_20210216
Chirolophis tarsodes	Walker_Miller_Lea_Combo_20210216
Chitonotus pugetensis	Walker_Miller_Lea_Combo_20210216
Chlamydoselachus anguineus	Walker_Miller_Lea_Combo_20210216
Chloroscombrus orqueta	Walker_Miller_Lea_Combo_20210216
Chromis alta	Walker_Miller_Lea_Combo_20210216
Chromis atrilobata	Walker_Miller_Lea_Combo_20210216
Chromis punctipinnis	Walker_Miller_Lea_Combo_20210216
Citharichthys fragilis	Walker_Miller_Lea_Combo_20210216
Citharichthys sordidus	Walker_Miller_Lea_Combo_20210216
Citharichthys stigmaeus	Walker_Miller_Lea_Combo_20210216
Citharichthys xanthostigma	Walker_Miller_Lea_Combo_20210216
Clevelandia ios	Walker_Miller_Lea_Combo_20210216
Clidoderma asperrimum	Walker_Miller_Lea_Combo_20210216
Clinocottus acuticeps	Walker_Miller_Lea_Combo_20210216
Clinocottus analis	Walker_Miller_Lea_Combo_20210216
Clinocottus embryum	Walker_Miller_Lea_Combo_20210216
Clinocottus globiceps	Walker_Miller_Lea_Combo_20210216
Clinocottus recalvus	Walker_Miller_Lea_Combo_20210216
Clupea pallasii	Walker_Miller_Lea_Combo_20210216
Coelorinchus scaphopsis	Walker_Miller_Lea_Combo_20210216
Cololabis adoceta	Walker_Miller_Lea_Combo_20210216
Cololabis saira	Walker_Miller_Lea_Combo_20210216
Congriscus megastomus	Walker_Miller_Lea_Combo_20210216
Conocara salmoneum	Walker_Miller_Lea_Combo_20210216
Conodon serrifer	Walker_Miller_Lea_Combo_20210216
Coptodon zillii	Walker_Miller_Lea_Combo_20210216
Coryphaena equiselis	Walker_Miller_Lea_Combo_20210216
Coryphaena hippurus	Walker_Miller_Lea_Combo_20210216
Coryphaenoides acrolepis	Walker_Miller_Lea_Combo_20210216
Coryphaenoides anguliceps	Walker_Miller_Lea_Combo_20210216
Coryphaenoides armatus	Walker_Miller_Lea_Combo_20210216
Coryphaenoides cinereus	Walker_Miller_Lea_Combo_20210216
Coryphaenoides filifer	Walker_Miller_Lea_Combo_20210216
Coryphaenoides leptolepis	Walker_Miller_Lea_Combo_20210216
Coryphaenoides pectoralis	Walker_Miller_Lea_Combo_20210216
Coryphaenoides yaquinae	Walker_Miller_Lea_Combo_20210216
Cosmocampus arctus	Walker_Miller_Lea_Combo_20210216
Cottus aleuticus	Walker_Miller_Lea_Combo_20210216
Cottus asper	Walker_Miller_Lea_Combo_20210216
Cryptacanthodes aleutensis	Walker_Miller_Lea_Combo_20210216
Cryptacanthodes giganteus	Walker_Miller_Lea_Combo_20210216
Cryptopsaras couesii	Walker_Miller_Lea_Combo_20210216
Cryptotrema corallinum	Walker_Miller_Lea_Combo_20210216
Ctenogobius sagittula	Walker_Miller_Lea_Combo_20210216
Cubiceps baxteri	Walker_Miller_Lea_Combo_20210216
Cubiceps capensis	Walker_Miller_Lea_Combo_20210216
Cubiceps paradoxus	Walker_Miller_Lea_Combo_20210216
Cyclothone acclinidens	Walker_Miller_Lea_Combo_20210216
Cyclothone atraria	Walker_Miller_Lea_Combo_20210216
Cyclothone braueri	Walker_Miller_Lea_Combo_20210216
Cyclothone microdon	Walker_Miller_Lea_Combo_20210216
Cyclothone pallida	Walker_Miller_Lea_Combo_20210216
Cyclothone pseudopallida	Walker_Miller_Lea_Combo_20210216
Cyclothone signata	Walker_Miller_Lea_Combo_20210216
Cyema atrum	Walker_Miller_Lea_Combo_20210216
Cymatogaster aggregata	Walker_Miller_Lea_Combo_20210216
Cynoscion parvipinnis	Walker_Miller_Lea_Combo_20210216
Cynoscion xanthulus	Walker_Miller_Lea_Combo_20210216
Dactylagnus mundus	Walker_Miller_Lea_Combo_20210216
Danaphos oculatus	Walker_Miller_Lea_Combo_20210216
Dasycottus setiger	Walker_Miller_Lea_Combo_20210216
Decapterus muroadsi	Walker_Miller_Lea_Combo_20210216
Deckertichthys aureolus	Walker_Miller_Lea_Combo_20210216
Decodon melasma	Walker_Miller_Lea_Combo_20210216
Derepodichthys alepidotus	Walker_Miller_Lea_Combo_20210216
Dermatolepis dermatolepis	Walker_Miller_Lea_Combo_20210216
Desmodema lorum	Walker_Miller_Lea_Combo_20210216
Diaphus anderseni	Walker_Miller_Lea_Combo_20210216
Diaphus theta	Walker_Miller_Lea_Combo_20210216
Dicrolene filamentosa	Walker_Miller_Lea_Combo_20210216
Diodon eydouxii	Walker_Miller_Lea_Combo_20210216
Diodon holocanthus	Walker_Miller_Lea_Combo_20210216
Diodon hystrix	Walker_Miller_Lea_Combo_20210216
Diogenichthys atlanticus	Walker_Miller_Lea_Combo_20210216
Diogenichthys laternatus	Walker_Miller_Lea_Combo_20210216
Diplectrum labarum	Walker_Miller_Lea_Combo_20210216
Diplectrum maximum	Walker_Miller_Lea_Combo_20210216
Diplophos proximus	Walker_Miller_Lea_Combo_20210216
Diplophos taenia	Walker_Miller_Lea_Combo_20210216
Diplospinus multistriatus	Walker_Miller_Lea_Combo_20210216
Diretmoides pauciradiatus	Walker_Miller_Lea_Combo_20210216
Diretmus argenteus	Walker_Miller_Lea_Combo_20210216
Ditropichthys storeri	Walker_Miller_Lea_Combo_20210216
Dolicholagus longirostris	Walker_Miller_Lea_Combo_20210216
Dolichopteryx longipes	Walker_Miller_Lea_Combo_20210216
Dolichopteryx parini	Walker_Miller_Lea_Combo_20210216
Dolichopteryx pseudolongipes	Walker_Miller_Lea_Combo_20210216
Dolopichthys longicornis	Walker_Miller_Lea_Combo_20210216
Dolopichthys pullatus	Walker_Miller_Lea_Combo_20210216
Dormitator latifrons	Walker_Miller_Lea_Combo_20210216
Dorosoma petenense	Walker_Miller_Lea_Combo_20210216
Dysalotus oligoscolus	Walker_Miller_Lea_Combo_20210216
Echeneis naucrates	Walker_Miller_Lea_Combo_20210216
Echinorhinus cookei	Walker_Miller_Lea_Combo_20210216
Elassodiscus caudatus	Walker_Miller_Lea_Combo_20210216
Electrona risso	Walker_Miller_Lea_Combo_20210216
Elops affinis	Walker_Miller_Lea_Combo_20210216
Embassichthys bathybius	Walker_Miller_Lea_Combo_20210216
Embiotoca caryi	Walker_Miller_Lea_Combo_20210216
Embiotoca jacksoni	Walker_Miller_Lea_Combo_20210216
Embiotoca lateralis	Walker_Miller_Lea_Combo_20210216
Engraulis mordax	Walker_Miller_Lea_Combo_20210216
Engyophrys sanctilaurentii	Walker_Miller_Lea_Combo_20210216
Enneanectes carminalis	Walker_Miller_Lea_Combo_20210216
Enneanectes reticulatus	Walker_Miller_Lea_Combo_20210216
Enophrys bison	Walker_Miller_Lea_Combo_20210216
Enophrys lucasi	Walker_Miller_Lea_Combo_20210216
Enophrys taurina	Walker_Miller_Lea_Combo_20210216
Entosphenus tridentatus	Walker_Miller_Lea_Combo_20210216
Eopsetta jordani	Walker_Miller_Lea_Combo_20210216
Epinephelus analogus	Walker_Miller_Lea_Combo_20210216
Epinephelus labriformis	Walker_Miller_Lea_Combo_20210216
Eptatretus deani	Walker_Miller_Lea_Combo_20210216
Eptatretus fritzi	Walker_Miller_Lea_Combo_20210216
Eptatretus mcconnaugheyi	Walker_Miller_Lea_Combo_20210216
Eptatretus stoutii	Walker_Miller_Lea_Combo_20210216
Erilepis zonifer	Walker_Miller_Lea_Combo_20210216
Ernogrammus walkeri	Walker_Miller_Lea_Combo_20210216
Esselenichthys carli	Walker_Miller_Lea_Combo_20210216
Esselenichthys laurae	Walker_Miller_Lea_Combo_20210216
Etmopterus benchleyi	Walker_Miller_Lea_Combo_20210216
Etropus crossotus	Walker_Miller_Lea_Combo_20210216
Etrumeus acuminatus	Walker_Miller_Lea_Combo_20210216
Etrumeus teres	Walker_Miller_Lea_Combo_20210216
Eucinostomus currani	Walker_Miller_Lea_Combo_20210216
Eucinostomus dowii	Walker_Miller_Lea_Combo_20210216
Eucinostomus gracilis	Walker_Miller_Lea_Combo_20210216
Eucryphycus californicus	Walker_Miller_Lea_Combo_20210216
Eucyclogobius kristinae	Walker_Miller_Lea_Combo_20210216
Eucyclogobius newberryi	Walker_Miller_Lea_Combo_20210216
Euleptorhamphus viridis	Walker_Miller_Lea_Combo_20210216
Eumicrotremus orbis	Walker_Miller_Lea_Combo_20210216
Euprotomicrus bispinatus	Walker_Miller_Lea_Combo_20210216
Eurypharynx pelecanoides	Walker_Miller_Lea_Combo_20210216
Eutaeniophorus festivus	Walker_Miller_Lea_Combo_20210216
Euthynnus affinis	Walker_Miller_Lea_Combo_20210216
Euthynnus lineatus	Walker_Miller_Lea_Combo_20210216
Evermannella ahlstromi	Walker_Miller_Lea_Combo_20210216
Facciolella equatorialis	Walker_Miller_Lea_Combo_20210216
Facciolella gilbertii	Walker_Miller_Lea_Combo_20210216
Fistularia commersonii	Walker_Miller_Lea_Combo_20210216
Fistularia corneta	Walker_Miller_Lea_Combo_20210216
Flagellostomias boureei	Walker_Miller_Lea_Combo_20210216
Fodiator acutus	Walker_Miller_Lea_Combo_20210216
Fowlerichthys avalonis	Walker_Miller_Lea_Combo_20210216
Fundulus parvipinnis	Walker_Miller_Lea_Combo_20210216
Gadus chalcogrammus	Walker_Miller_Lea_Combo_20210216
Gadus macrocephalus	Walker_Miller_Lea_Combo_20210216
Galeocerdo cuvier	Walker_Miller_Lea_Combo_20210216
Galeorhinus galeus	Walker_Miller_Lea_Combo_20210216
Gambusia affinis	Walker_Miller_Lea_Combo_20210216
Gasterosteus aculeatus	Walker_Miller_Lea_Combo_20210216
Gempylus serpens	Walker_Miller_Lea_Combo_20210216
Genioliparis ferox	Walker_Miller_Lea_Combo_20210216
Genyonemus lineatus	Walker_Miller_Lea_Combo_20210216
Gibbonsia elegans	Walker_Miller_Lea_Combo_20210216
Gibbonsia metzi	Walker_Miller_Lea_Combo_20210216
Gibbonsia montereyensis	Walker_Miller_Lea_Combo_20210216
Gigantactis gargantua	Walker_Miller_Lea_Combo_20210216
Gigantactis macronema	Walker_Miller_Lea_Combo_20210216
Gigantactis micordontis	Walker_Miller_Lea_Combo_20210216
Gigantactis savagei	Walker_Miller_Lea_Combo_20210216
Gigantactis vanhoeffeni	Walker_Miller_Lea_Combo_20210216
Gillellus semicinctus	Walker_Miller_Lea_Combo_20210216
Gillichthys mirabilis	Walker_Miller_Lea_Combo_20210216
Girella nigricans	Walker_Miller_Lea_Combo_20210216
Glyptocephalus zachirus	Walker_Miller_Lea_Combo_20210216
Gnathophis cinctus	Walker_Miller_Lea_Combo_20210216
Gobiesox eugrammus	Walker_Miller_Lea_Combo_20210216
Gobiesox maeandricus	Walker_Miller_Lea_Combo_20210216
Gobiesox papillifer	Walker_Miller_Lea_Combo_20210216
Gobiesox rhessodon	Walker_Miller_Lea_Combo_20210216
Gobulus crescentalis	Walker_Miller_Lea_Combo_20210216
Gonichthys tenuiculus	Walker_Miller_Lea_Combo_20210216
Gonostoma atlanticum	Walker_Miller_Lea_Combo_20210216
Grammonus diagrammus	Walker_Miller_Lea_Combo_20210216
Gymnocanthus galeatus	Walker_Miller_Lea_Combo_20210216
Gymnothorax castaneus	Walker_Miller_Lea_Combo_20210216
Gymnothorax dovii	Walker_Miller_Lea_Combo_20210216
Gymnothorax mordax	Walker_Miller_Lea_Combo_20210216
Gymnura marmorata	Walker_Miller_Lea_Combo_20210216
Haemulon flaviguttatum	Walker_Miller_Lea_Combo_20210216
Haemulon maculicauda	Walker_Miller_Lea_Combo_20210216
Haemulopsis axillaris	Walker_Miller_Lea_Combo_20210216
Halargyreus johnsonii	Walker_Miller_Lea_Combo_20210216
Halichoeres californica	Walker_Miller_Lea_Combo_20210216
Halichoeres dispilus	Walker_Miller_Lea_Combo_20210216
Halichoeres insularis	Walker_Miller_Lea_Combo_20210216
Halichoeres melanotis	Walker_Miller_Lea_Combo_20210216
Halichoeres nicholsii	Walker_Miller_Lea_Combo_20210216
Halichoeres notospilus	Walker_Miller_Lea_Combo_20210216
Halichoeres semicinctus	Walker_Miller_Lea_Combo_20210216
Harengula thrissina	Walker_Miller_Lea_Combo_20210216
Harriotta raleighana	Walker_Miller_Lea_Combo_20210216
Hemanthias signifer	Walker_Miller_Lea_Combo_20210216
Hemilepidotus hemilepidotus	Walker_Miller_Lea_Combo_20210216
Hemilepidotus spinosus	Walker_Miller_Lea_Combo_20210216
Hemiramphus saltator	Walker_Miller_Lea_Combo_20210216
Hemitripterus bolini	Walker_Miller_Lea_Combo_20210216
Heteroconger digueti	Walker_Miller_Lea_Combo_20210216
Heterodontus francisci	Walker_Miller_Lea_Combo_20210216
Heterodontus mexicanus	Walker_Miller_Lea_Combo_20210216
Heteropriacanthus carolinus	Walker_Miller_Lea_Combo_20210216
Heterostichus rostratus	Walker_Miller_Lea_Combo_20210216
Hexagrammos decagrammus	Walker_Miller_Lea_Combo_20210216
Hexagrammos lagocephalus	Walker_Miller_Lea_Combo_20210216
Hexagrammos octogrammus	Walker_Miller_Lea_Combo_20210216
Hexagrammos stelleri	Walker_Miller_Lea_Combo_20210216
Hexanchus griseus	Walker_Miller_Lea_Combo_20210216
Himantolophus nigricornis	Walker_Miller_Lea_Combo_20210216
Himantolophus sagamius	Walker_Miller_Lea_Combo_20210216
Hippocampus ingens	Walker_Miller_Lea_Combo_20210216
Hippoglossina stomata	Walker_Miller_Lea_Combo_20210216
Hippoglossina tetrophthalma	Walker_Miller_Lea_Combo_20210216
Hippoglossoides elassodon	Walker_Miller_Lea_Combo_20210216
Hippoglossus stenolepis	Walker_Miller_Lea_Combo_20210216
Hirundichthys albimaculatus	Walker_Miller_Lea_Combo_20210216
Hirundichthys marginatus	Walker_Miller_Lea_Combo_20210216
Hirundichthys rondeletii	Walker_Miller_Lea_Combo_20210216
Holacanthus clarionensis	Walker_Miller_Lea_Combo_20210216
Holacanthus passer	Walker_Miller_Lea_Combo_20210216
Holcomycteronus profundissimus	Walker_Miller_Lea_Combo_20210216
Holtbyrnia innesi	Walker_Miller_Lea_Combo_20210216
Holtbyrnia laticauda	Walker_Miller_Lea_Combo_20210216
Holtbyrnia latifrons	Walker_Miller_Lea_Combo_20210216
Howella brodiei	Walker_Miller_Lea_Combo_20210216
Howella sherborni	Walker_Miller_Lea_Combo_20210216
