EU552681.1	NA;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
FJ228696.1	NA;Chordata;Actinopteri;Mugiliformes;Mugilidae;Mugil;Mugil liza
OP034984.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Rubricatochromis;Rubricatochromis cf. paynei SK-2023
OP034986.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Rubricatochromis;Rubricatochromis guttatus
OP035004.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Rubricatochromis;Rubricatochromis guttatus
AY292298.1	NA;Chordata;Lepidosauria;Squamata;Teiidae;Pholidoscelis;Pholidoscelis chrysolaemus
AY292300.1	NA;Chordata;Lepidosauria;Squamata;Teiidae;Pholidoscelis;Pholidoscelis chrysolaemus
AY292302.1	NA;Chordata;Lepidosauria;Squamata;Teiidae;Pholidoscelis;Pholidoscelis chrysolaemus
AY292303.1	NA;Chordata;Lepidosauria;Squamata;Teiidae;Pholidoscelis;Pholidoscelis chrysolaemus
AY292304.1	NA;Chordata;Lepidosauria;Squamata;Teiidae;Pholidoscelis;Pholidoscelis chrysolaemus
AY292305.1	NA;Chordata;Lepidosauria;Squamata;Teiidae;Pholidoscelis;Pholidoscelis chrysolaemus
AY292306.1	NA;Chordata;Lepidosauria;Squamata;Teiidae;Pholidoscelis;Pholidoscelis chrysolaemus
AY292309.1	NA;Chordata;Lepidosauria;Squamata;Teiidae;Pholidoscelis;Pholidoscelis chrysolaemus
AY292310.1	NA;Chordata;Lepidosauria;Squamata;Teiidae;Pholidoscelis;Pholidoscelis chrysolaemus
AY292313.1	NA;Chordata;Lepidosauria;Squamata;Teiidae;Pholidoscelis;Pholidoscelis chrysolaemus
AY292314.1	NA;Chordata;Lepidosauria;Squamata;Teiidae;Pholidoscelis;Pholidoscelis chrysolaemus
AY292316.1	NA;Chordata;Lepidosauria;Squamata;Teiidae;Pholidoscelis;Pholidoscelis chrysolaemus
AY292317.1	NA;Chordata;Lepidosauria;Squamata;Teiidae;Pholidoscelis;Pholidoscelis chrysolaemus
AY292318.1	NA;Chordata;Lepidosauria;Squamata;Teiidae;Pholidoscelis;Pholidoscelis chrysolaemus
HQ615505.1	NA;Chordata;Actinopteri;Atheriniformes;Melanotaeniidae;Melanotaenia;Melanotaenia splendida
HQ615506.1	NA;Chordata;Actinopteri;Atheriniformes;Melanotaeniidae;Melanotaenia;Melanotaenia splendida
KJ774988.1	NA;Chordata;Actinopteri;Atheriniformes;Melanotaeniidae;Melanotaenia;Melanotaenia splendida
MH188364.1	NA;Chordata;Actinopteri;Cyprinodontiformes;Aphaniidae;Aphaniops;Aphaniops stoliczkanus
MH188376.1	NA;Chordata;Actinopteri;Cyprinodontiformes;Aphaniidae;Aphaniops;Aphaniops hormuzensis
AF451660.1	NA;Chordata;Actinopteri;Cyprinodontiformes;Aphaniidae;Anatolichthys;Anatolichthys sureyanus
AF451664.1	NA;Chordata;Actinopteri;Cyprinodontiformes;Aphaniidae;Anatolichthys;Anatolichthys anatoliae
AF451665.1	NA;Chordata;Actinopteri;Cyprinodontiformes;Aphaniidae;Anatolichthys;Anatolichthys anatoliae
AB636610.1	NA;Chordata;Amphibia;Anura;Dicroglossidae;Hoplobatrachus;Hoplobatrachus tigerinus
AB636611.1	NA;Chordata;Amphibia;Anura;Dicroglossidae;Hoplobatrachus;Hoplobatrachus tigerinus
AB636613.1	NA;Chordata;Amphibia;Anura;Dicroglossidae;Hoplobatrachus;Hoplobatrachus tigerinus x Hoplobatrachus rugulosus
EF564510.1	NA;Chordata;Amphibia;Anura;Rhacophoridae;Rhacophorus;Rhacophorus sp. JL-2012b
EF564511.1	NA;Chordata;Amphibia;Anura;Rhacophoridae;Rhacophorus;Rhacophorus sp. JL-2012a
EF564509.1	NA;Chordata;Amphibia;Anura;Rhacophoridae;Rhacophorus;Rhacophorus sp. JL-2012a
EF564513.1	NA;Chordata;Amphibia;Anura;Rhacophoridae;Rhacophorus;Rhacophorus sp. KIZ3331
JX989579.1	NA;Chordata;Amphibia;Anura;Dicroglossidae;Quasipaa;Quasipaa exilispinosa
JX989777.1	NA;Chordata;Amphibia;Anura;Dicroglossidae;Quasipaa;Quasipaa spinosa
KF209646.1	NA;Chordata;Actinopteri;Characiformes;Stevardiidae;Knodus;Knodus sp. MNRJ34750-1432
KF209647.1	NA;Chordata;Actinopteri;Characiformes;Stevardiidae;Knodus;Knodus sp. MNRJ34750-1433
KF209642.1	NA;Chordata;Actinopteri;Characiformes;Stevardiidae;Knodus;Knodus sp. MNRJ34712-2102
KF209643.1	NA;Chordata;Actinopteri;Characiformes;Stevardiidae;Knodus;Knodus sp. MNRJ34712-2103
KF209442.1	NA;Chordata;Actinopteri;Characiformes;Stevardiidae;Eretmobrycon;Eretmobrycon scleroparius
KF209448.1	NA;Chordata;Actinopteri;Characiformes;Stevardiidae;Bryconamericus;Bryconamericus sp. STRI9803
AB728020.1	NA;Chordata;Amphibia;Anura;Rhacophoridae;Polypedates;Polypedates cf. mutus MVZ 226412
AB728025.1	NA;Chordata;Amphibia;Anura;Rhacophoridae;Polypedates;Polypedates cf. mutus MVZ 226433
AB728023.1	NA;Chordata;Amphibia;Anura;Rhacophoridae;Polypedates;Polypedates cf. mutus MVZ 226419
AB728024.1	NA;Chordata;Amphibia;Anura;Rhacophoridae;Polypedates;Polypedates cf. mutus MVZ 226428
AB728026.1	NA;Chordata;Amphibia;Anura;Rhacophoridae;Polypedates;Polypedates cf. mutus MVZ 226434
AB728027.1	NA;Chordata;Amphibia;Anura;Rhacophoridae;Polypedates;Polypedates cf. mutus MVZ 226436
AB728180.1	NA;Chordata;Amphibia;Anura;Rhacophoridae;Polypedates;Polypedates sp. KUHE 52131
AB728181.1	NA;Chordata;Amphibia;Anura;Rhacophoridae;Polypedates;Polypedates sp. KUHE 52132
AB564278.1	NA;Chordata;Amphibia;Anura;Rhacophoridae;Polypedates;Polypedates megacephalus
AB727997.1	NA;Chordata;Amphibia;Anura;Rhacophoridae;Polypedates;Polypedates braueri
AB727998.1	NA;Chordata;Amphibia;Anura;Rhacophoridae;Polypedates;Polypedates braueri
FJ710915.1	NA;Chordata;Actinopteri;Centrarchiformes;Terapontidae;Bidyanus;Bidyanus bidyanus
FJ710916.1	NA;Chordata;Actinopteri;Centrarchiformes;Terapontidae;Bidyanus;Bidyanus bidyanus
HQ615466.1	NA;Chordata;Actinopteri;Centrarchiformes;Terapontidae;Bidyanus;Bidyanus welchi
HQ615495.1	NA;Chordata;Actinopteri;Centrarchiformes;Percichthyidae;Maccullochella;Maccullochella ikei
HQ615496.1	NA;Chordata;Actinopteri;Centrarchiformes;Percichthyidae;Maccullochella;Maccullochella mariensis
DQ854639.1	NA;Chordata;Actinopteri;Istiophoriformes;Istiophoridae;Tetrapturus;Tetrapturus pfluegeri
DQ854640.1	NA;Chordata;Actinopteri;Istiophoriformes;Istiophoridae;Tetrapturus;Tetrapturus belone
DQ854641.1	NA;Chordata;Actinopteri;Istiophoriformes;Istiophoridae;Tetrapturus;Tetrapturus belone
DQ854632.1	NA;Chordata;Actinopteri;Istiophoriformes;Istiophoridae;Kajikia;Kajikia albida
DQ854633.1	NA;Chordata;Actinopteri;Istiophoriformes;Istiophoridae;Kajikia;Kajikia albida
DQ854635.1	NA;Chordata;Actinopteri;Istiophoriformes;Istiophoridae;Kajikia;Kajikia audax
KF185000.1	NA;Chordata;Amphibia;Anura;Ranidae;Odorrana;Odorrana leporipes
KF185003.1	NA;Chordata;Amphibia;Anura;Ranidae;Odorrana;Odorrana graminea
FN810991.1	NA;Chordata;Amphibia;Anura;Brevicipitidae;Callulina;Callulina sp. KMH 26963
FN810992.1	NA;Chordata;Amphibia;Anura;Brevicipitidae;Callulina;Callulina sp. KMH 26969
GQ285683.1	NA;Chordata;Amphibia;Anura;Rhacophoridae;Chiromantis;Chiromantis doriae
KC465788.1	NA;Chordata;Amphibia;Anura;Rhacophoridae;Chiromantis;Chiromantis nongkhorensis
FN810990.1	NA;Chordata;Amphibia;Anura;Brevicipitidae;Callulina;Callulina sp. MTSN 8205
FN810996.1	NA;Chordata;Amphibia;Anura;Brevicipitidae;Callulina;Callulina kanga
FN810982.1	NA;Chordata;Amphibia;Anura;Brevicipitidae;Callulina;Callulina sp. MW 3050
FN810984.1	NA;Chordata;Amphibia;Anura;Brevicipitidae;Callulina;Callulina sp. MW 3830
FN810986.1	NA;Chordata;Amphibia;Anura;Brevicipitidae;Callulina;Callulina sp. MTSN 8242
FN810998.1	NA;Chordata;Amphibia;Anura;Brevicipitidae;Callulina;Callulina sp. MW 7161
FN810999.1	NA;Chordata;Amphibia;Anura;Brevicipitidae;Callulina;Callulina sp. MW 7266
GQ204762.1	NA;Chordata;Amphibia;Anura;Rhacophoridae;Rhacophorus;Rhacophorus pardalis
GQ204766.1	NA;Chordata;Amphibia;Anura;Rhacophoridae;Zhangixalus;Zhangixalus dulitensis
DQ410779.1	NA;Chordata;Mammalia;Chiroptera;Vespertilionidae;Myotis;Myotis hasseltii
DQ410782.1	NA;Chordata;Mammalia;Chiroptera;Vespertilionidae;Myotis;Myotis horsfieldii
AY549360.1	NA;Chordata;Amphibia;Anura;Hylidae;Boana;Boana latistriata
MT823829.1	NA;Chordata;Amphibia;Anura;Hylidae;Boana;Boana polytaenia
MT823841.1	NA;Chordata;Amphibia;Anura;Hylidae;Boana;Boana polytaenia
MT823842.1	NA;Chordata;Amphibia;Anura;Hylidae;Boana;Boana polytaenia
MN836784.1	NA;Chordata;Amphibia;Anura;Alsodidae;Alsodes;Alsodes sp. FR2
MN836789.1	NA;Chordata;Amphibia;Anura;Alsodidae;Alsodes;Alsodes sp. FR17
PQ800378.1	NA;Chordata;Amphibia;Anura;Alsodidae;Alsodes;Alsodes igneus
MH516204.1	NA;Chordata;Amphibia;Anura;Strabomantidae;Pristimantis;Pristimantis altamazonicus
MH516211.1	NA;Chordata;Amphibia;Anura;Strabomantidae;Pristimantis;Pristimantis diadematus
MH516212.1	NA;Chordata;Amphibia;Anura;Strabomantidae;Pristimantis;Pristimantis diadematus
MH516213.1	NA;Chordata;Amphibia;Anura;Strabomantidae;Pristimantis;Pristimantis diadematus
KJ774794.1	NA;Chordata;Actinopteri;Atheriniformes;Atherinidae;Craterocephalus;Craterocephalus centralis
KJ774796.1	NA;Chordata;Actinopteri;Atheriniformes;Atherinidae;Craterocephalus;Craterocephalus eyresii
DQ678115.1	NA;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes carnatus
DQ678117.1	NA;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes chrysomelas
DQ678140.1	NA;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes lentiginosus
DQ678151.1	NA;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes notius
DQ678166.1	NA;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes umbrosus
DQ678203.1	NA;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes polyspinis
DQ678135.1	NA;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes fasciatus
DQ678143.1	NA;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes norvegicus
DQ678146.1	NA;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes mentella
DQ678168.1	NA;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes viviparus
DQ678134.1	NA;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes exsul
DQ678165.1	NA;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes spinorbis
DQ678111.1	NA;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes capensis
DQ678112.1	NA;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes oculatus
DQ678127.1	NA;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes constellatus
JF907454.1	NA;Chordata;Amphibia;Anura;Bufonidae;Osornophryne;Osornophryne bufoniformis
JF907457.1	NA;Chordata;Amphibia;Anura;Bufonidae;Osornophryne;Osornophryne bufoniformis
JF907458.1	NA;Chordata;Amphibia;Anura;Bufonidae;Osornophryne;Osornophryne angel
JF907459.1	NA;Chordata;Amphibia;Anura;Bufonidae;Osornophryne;Osornophryne angel
JF907462.1	NA;Chordata;Amphibia;Anura;Bufonidae;Osornophryne;Osornophryne sumacoensis
MN917634.1	NA;Chordata;Amphibia;Anura;Leptodactylidae;Scythrophrys;Scythrophrys sp. CFBH_9369
MN917635.1	NA;Chordata;Amphibia;Anura;Leptodactylidae;Scythrophrys;Scythrophrys sp. CFBH_9371
AB981413.1	NA;Chordata;Amphibia;Anura;Dicroglossidae;Limnonectes;Limnonectes khasianus
AB971130.1	NA;Chordata;Amphibia;Anura;Dicroglossidae;Limnonectes;Limnonectes hikidai
MZ747457.1	NA;Chordata;Amphibia;Anura;Dicroglossidae;Occidozyga;Occidozyga sp. NNU202103320
MZ747458.1	NA;Chordata;Amphibia;Anura;Dicroglossidae;Occidozyga;Occidozyga sp. NNU202103321
KF209687.1	NA;Chordata;Actinopteri;Characiformes;Stevardiidae;Scopaeocharax;Scopaeocharax sp. MNHG273134-1522
KF209688.1	NA;Chordata;Actinopteri;Characiformes;Stevardiidae;Scopaeocharax;Scopaeocharax sp. MNHG273134-1523
KF209689.1	NA;Chordata;Actinopteri;Characiformes;Stevardiidae;Scopaeocharax;Scopaeocharax sp. MNHG273134-1524
DQ118438.1	NA;Chordata;Amphibia;Anura;Dicroglossidae;Quasipaa;Quasipaa verrucospinosa
EU979745.1	NA;Chordata;Amphibia;Anura;Dicroglossidae;Quasipaa;Quasipaa verrucospinosa
EU979746.1	NA;Chordata;Amphibia;Anura;Dicroglossidae;Quasipaa;Quasipaa spinosa
EU979747.1	NA;Chordata;Amphibia;Anura;Dicroglossidae;Quasipaa;Quasipaa spinosa
EF646709.1	NA;Chordata;Amphibia;Anura;Hyperoliidae;Heterixalus;Heterixalus tricolor
EF646710.1	NA;Chordata;Amphibia;Anura;Hyperoliidae;Heterixalus;Heterixalus tricolor
EF646719.1	NA;Chordata;Amphibia;Anura;Hyperoliidae;Heterixalus;Heterixalus variabilis
EF646721.1	NA;Chordata;Amphibia;Anura;Hyperoliidae;Heterixalus;Heterixalus variabilis
EF646722.1	NA;Chordata;Amphibia;Anura;Hyperoliidae;Heterixalus;Heterixalus variabilis
EF646723.1	NA;Chordata;Amphibia;Anura;Hyperoliidae;Heterixalus;Heterixalus variabilis
AY843587.1	NA;Chordata;Amphibia;Anura;Alsodidae;Eupsophus;Eupsophus calcaratus
JX204217.1	NA;Chordata;Amphibia;Anura;Alsodidae;Eupsophus;Eupsophus roseus
AB686164.1	NA;Chordata;Amphibia;Gymnophiona;Ichthyophiidae;NA;Ichthyophiidae sp. DO255
AB686165.1	NA;Chordata;Amphibia;Gymnophiona;Ichthyophiidae;NA;Ichthyophiidae sp. DO256
AB686135.1	NA;Chordata;Amphibia;Gymnophiona;Ichthyophiidae;NA;Ichthyophiidae sp. KUHE 42468
AB686136.1	NA;Chordata;Amphibia;Gymnophiona;Ichthyophiidae;NA;Ichthyophiidae sp. KUHE 42469
AB686122.1	NA;Chordata;Amphibia;Gymnophiona;Ichthyophiidae;NA;Ichthyophiidae sp. KUHE 33640
AB686158.1	NA;Chordata;Amphibia;Gymnophiona;Ichthyophiidae;NA;Ichthyophiidae sp. BORN12927
AB686106.1	NA;Chordata;Amphibia;Gymnophiona;Ichthyophiidae;Caudacaecilia;Caudacaecilia sp. KUHE 17334
AB686160.1	NA;Chordata;Amphibia;Gymnophiona;Ichthyophiidae;Caudacaecilia;Caudacaecilia cf. asplenia BORN 23435
AY101210.1	NA;Chordata;Amphibia;Gymnophiona;Ichthyophiidae;Ichthyophis;Ichthyophis cf. beddomei DJG-285
AY101211.1	NA;Chordata;Amphibia;Gymnophiona;Ichthyophiidae;Ichthyophis;Ichthyophis cf. beddomei DJG-224
AB686111.1	NA;Chordata;Amphibia;Gymnophiona;Ichthyophiidae;NA;Ichthyophiidae sp. KUHE 20081126_24
AB686112.1	NA;Chordata;Amphibia;Gymnophiona;Ichthyophiidae;NA;Ichthyophiidae sp. KUHE 20081126_25
AB686113.1	NA;Chordata;Amphibia;Gymnophiona;Ichthyophiidae;NA;Ichthyophiidae sp. KUHE 20081126_26
AB686114.1	NA;Chordata;Amphibia;Gymnophiona;Ichthyophiidae;NA;Ichthyophiidae sp. KUHE 20081126_27
AB686115.1	NA;Chordata;Amphibia;Gymnophiona;Ichthyophiidae;NA;Ichthyophiidae sp. KUHE 20081127_1
AB686116.1	NA;Chordata;Amphibia;Gymnophiona;Ichthyophiidae;NA;Ichthyophiidae sp. KUHE 20081127_2
AB686145.1	NA;Chordata;Amphibia;Gymnophiona;Ichthyophiidae;Ichthyophis;Ichthyophis biangularis
AB728173.1	NA;Chordata;Amphibia;Anura;Rhacophoridae;Polypedates;Polypedates cf. mutus KUHE 40741
AB728174.1	NA;Chordata;Amphibia;Anura;Rhacophoridae;Polypedates;Polypedates cf. mutus KUHE 40698
AB728175.1	NA;Chordata;Amphibia;Anura;Rhacophoridae;Polypedates;Polypedates cf. mutus KUHE 40699
AB028800.1	NA;Chordata;Lepidosauria;Squamata;Scincidae;Eumeces;Eumeces schneiderii
EU278004.1	NA;Chordata;Lepidosauria;Squamata;Scincidae;Eumeces;Eumeces schneiderii
EF562327.1	NA;Chordata;Amphibia;Anura;Craugastoridae;Craugastor;Craugastor sp. FMNH 257561
EF562328.1	NA;Chordata;Amphibia;Anura;Craugastoridae;Craugastor;Craugastor sp. FMNH 257678
MN057419.1	NA;Chordata;Actinopteri;Anabantiformes;Channidae;Channa;Channa asiatica
MN057449.1	NA;Chordata;Actinopteri;Anabantiformes;Channidae;Channa;Channa nox
JF320867.1	NA;Chordata;Actinopteri;Blenniiformes;Clinidae;Clinus;Clinus sp. B131
JF320868.1	NA;Chordata;Actinopteri;Blenniiformes;Clinidae;Clinus;Clinus sp. B312
OM809072.1	NA;Chordata;Mammalia;Primates;Cebidae;Saguinus;Saguinus sp. SMIXSBB
OM809073.1	NA;Chordata;Mammalia;Primates;Cebidae;Saguinus;Saguinus sp. SBBXSMA711
OM809103.1	NA;Chordata;Mammalia;Primates;Cebidae;Saguinus;Saguinus bicolor
PP923481.1	NA;Chordata;Mammalia;Diprotodontia;Macropodidae;Thylogale;Thylogale billardierii
PP923483.1	NA;Chordata;Mammalia;Diprotodontia;Macropodidae;Thylogale;Thylogale billardierii
PP923505.1	NA;Chordata;Mammalia;Diprotodontia;Macropodidae;Notamacropus;Notamacropus rufogriseus
PP923507.1	NA;Chordata;Mammalia;Diprotodontia;Macropodidae;Thylogale;Thylogale billardierii
PP923509.1	NA;Chordata;Mammalia;Diprotodontia;Macropodidae;Thylogale;Thylogale billardierii
PP923510.1	NA;Chordata;Mammalia;Diprotodontia;Macropodidae;Thylogale;Thylogale billardierii
PP923511.1	NA;Chordata;Mammalia;Diprotodontia;Macropodidae;Thylogale;Thylogale billardierii
PP923514.1	NA;Chordata;Mammalia;Diprotodontia;Macropodidae;Thylogale;Thylogale billardierii
PP923517.1	NA;Chordata;Mammalia;Diprotodontia;Macropodidae;Thylogale;Thylogale billardierii
PP923518.1	NA;Chordata;Mammalia;Diprotodontia;Macropodidae;Thylogale;Thylogale billardierii
PP923521.1	NA;Chordata;Mammalia;Diprotodontia;Macropodidae;Thylogale;Thylogale billardierii
PP923524.1	NA;Chordata;Mammalia;Diprotodontia;Macropodidae;Thylogale;Thylogale billardierii
PP923525.1	NA;Chordata;Mammalia;Diprotodontia;Macropodidae;Thylogale;Thylogale billardierii
PP923526.1	NA;Chordata;Mammalia;Diprotodontia;Macropodidae;Thylogale;Thylogale billardierii
PP923527.1	NA;Chordata;Mammalia;Diprotodontia;Macropodidae;Thylogale;Thylogale billardierii
PP923529.1	NA;Chordata;Mammalia;Diprotodontia;Macropodidae;Thylogale;Thylogale billardierii
PP923531.1	NA;Chordata;Mammalia;Diprotodontia;Macropodidae;Thylogale;Thylogale billardierii
PP923563.1	NA;Chordata;Mammalia;Diprotodontia;Macropodidae;Notamacropus;Notamacropus rufogriseus
AF271690.1	NA;Chordata;Mammalia;Dasyuromorphia;Dasyuridae;Planigale;Planigale ingrami
KX523249.1	NA;Chordata;Mammalia;Dasyuromorphia;Dasyuridae;Planigale;Planigale ingrami
KX523257.1	NA;Chordata;Mammalia;Dasyuromorphia;Dasyuridae;Planigale;Planigale tenuirostris
Y08505.1	NA;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera leo
HM107679.1	NA;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera leo
OR840720.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
OR840721.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
OR840795.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
FJ374652.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
HQ586004.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
KF937875.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
EF108341.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
FJ374657.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
EF108340.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
FJ374649.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
FJ803909.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
EF108338.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
GQ871746.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
AY999076.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
EF108334.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
FJ374647.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
FJ374648.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
FJ374655.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
FJ374659.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
GQ871745.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
KF937873.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
KR020497.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
AJ512208.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
AY466499.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
EF108331.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
EF108333.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
FJ374646.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
FJ374658.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
OR840727.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
AB049357.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
OR840728.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
OR840729.1	NA;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus
KF777818.1	NA;Chordata;Mammalia;Eulipotyphla;Talpidae;Uropsilus;Uropsilus sp. 1 TW-2013
KF777819.1	NA;Chordata;Mammalia;Eulipotyphla;Talpidae;Uropsilus;Uropsilus sp. 1 TW-2013
KF777820.1	NA;Chordata;Mammalia;Eulipotyphla;Talpidae;Uropsilus;Uropsilus sp. 1 TW-2013
KF777821.1	NA;Chordata;Mammalia;Eulipotyphla;Talpidae;Uropsilus;Uropsilus sp. 1 TW-2013
KF777822.1	NA;Chordata;Mammalia;Eulipotyphla;Talpidae;Uropsilus;Uropsilus soricipes
GQ279522.1	NA;Chordata;Lepidosauria;Squamata;Phrynosomatidae;Phrynosoma;Phrynosoma cerroense
GQ279526.1	NA;Chordata;Lepidosauria;Squamata;Phrynosomatidae;Phrynosoma;Phrynosoma coronatum
AY184426.1	NA;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;Moschus chrysogaster
AY184427.1	NA;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;Moschus fuscus
KP129037.1	NA;Chordata;Mammalia;Carnivora;Canidae;Urocyon;Urocyon littoralis
KP129038.1	NA;Chordata;Mammalia;Carnivora;Canidae;Urocyon;Urocyon littoralis
KP129039.1	NA;Chordata;Mammalia;Carnivora;Canidae;Urocyon;Urocyon littoralis
KP129040.1	NA;Chordata;Mammalia;Carnivora;Canidae;Urocyon;Urocyon littoralis
KP129041.1	NA;Chordata;Mammalia;Carnivora;Canidae;Urocyon;Urocyon littoralis
KP129042.1	NA;Chordata;Mammalia;Carnivora;Canidae;Urocyon;Urocyon littoralis
KP129043.1	NA;Chordata;Mammalia;Carnivora;Canidae;Urocyon;Urocyon littoralis
KP129044.1	NA;Chordata;Mammalia;Carnivora;Canidae;Urocyon;Urocyon littoralis
KP129045.1	NA;Chordata;Mammalia;Carnivora;Canidae;Urocyon;Urocyon littoralis
KP129046.1	NA;Chordata;Mammalia;Carnivora;Canidae;Urocyon;Urocyon littoralis
