Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR12011613,2020-06-15 03:32:30,2020-06-15 03:29:14,15353617,4606085100,15353617,300,1382,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12011/SRR12011613/SRR12011613.lite.1,SRX8544280,Q19,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838921,SAMN15232913,simple,373177,Branchiostoma japonicum,Q19,,,,,male,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,DF207459D01B211F19FBE7B3A354CEF5,8F8DB5D8DEC9C8AB4B12125A0A19B8F1
SRR12011612,2020-06-15 03:30:42,2020-06-15 03:27:58,14873169,4461950700,14873169,300,1343,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12011/SRR12011612/SRR12011612.lite.1,SRX8544281,Q20,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838922,SAMN15232914,simple,373177,Branchiostoma japonicum,Q20,,,,,male,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,7EFC1900458FF02BA30A2C4A3312F7B6,CA5888F4C59E2DB187BF7DDB1FFAE734
SRR12011611,2020-06-15 03:32:30,2020-06-15 03:28:50,15265147,4579544100,15265147,300,1379,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12011/SRR12011611/SRR12011611.lite.1,SRX8544282,Q21,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838923,SAMN15232915,simple,373177,Branchiostoma japonicum,Q21,,,,,male,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,3C0547191590FC72AED0A43E3D065D56,51532642D2CB51BFA5C319B2D2D6F6EA
SRR12011598,2020-06-15 03:54:33,2020-06-15 03:52:10,21060848,6318254400,21060848,300,1928,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12011/SRR12011598/SRR12011598.lite.1,SRX8544295,Q6,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838936,SAMN15232900,simple,373177,Branchiostoma japonicum,Q6,,,,,female,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,0A71A75187E0AACA4F8DC73B229D2143,D0BC1C4A2010B55E9B18A259A13BB766
SRR12007918,2020-06-13 14:16:30,2020-06-13 14:07:46,106681598,32004479400,106681598,300,9971,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12007/SRR12007918/SRR12007918.lite.1,SRX8541054,BJ7,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP247070,PRJNA602496,,602496,SRS6835864,SAMN13978709,simple,373177,Branchiostoma japonicum,BJ7,,,,,male,,no,,,,,UNIVERSITY OF VIENNA,SRA1086748,,public,05CD94B2B9F4CBFAD5B7B69BC7E67B05,6F5859FC494BAF43A09DF6716D087E0A
SRR12011548,2020-06-15 03:34:32,2020-06-15 03:30:53,23071188,6921356400,23071188,300,2108,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12011/SRR12011548/SRR12011548.lite.1,SRX8544345,ZY64,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838986,SAMN15232905,simple,373177,Branchiostoma japonicum,ZY64,,,,,male,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,E2739DB6CCC48C3B8E912FD2427047C9,AEDBFB64DA3E9A511DEAC8B87D2C8C7D
SRR12011554,2020-06-15 03:40:41,2020-06-15 03:37:50,26930255,8079076500,26930255,300,2466,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR012/12011/SRR12011554/SRR12011554.lite.1,SRX8544339,ZY65,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838980,SAMN15232904,simple,373177,Branchiostoma japonicum,ZY65,,,,,male,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,2E102AF7DEF63D80645691F6AEB13948,869570D3BD45CE55B2E601100319E240
SRR12011606,2020-06-15 03:43:31,2020-06-15 03:39:14,37533150,11259945000,37533150,300,3383,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR012/12011/SRR12011606/SRR12011606.lite.1,SRX8544287,ZYT447,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838928,SAMN15232919,simple,373177,Branchiostoma japonicum,ZYT447,,,,,male,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,89301BFF39283AFBA082208712E3D592,2FA1A983AF9AC2F2548092C8D57A08C7
SRR12011605,2020-06-15 03:30:42,2020-06-15 03:27:38,13818559,4145567700,13818559,300,1224,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12011/SRR12011605/SRR12011605.lite.1,SRX8544288,ZYT448,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838929,SAMN15232920,simple,373177,Branchiostoma japonicum,ZYT448,,,,,female,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,9574257B70E32C576E1BEDC74E9027BD,18DEDD0AF25F625A28B417208867227C
SRR12011604,2020-06-15 03:32:31,2020-06-15 03:29:16,14738694,4421608200,14738694,300,1296,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12011/SRR12011604/SRR12011604.lite.1,SRX8544289,ZYT459,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838930,SAMN15232921,simple,373177,Branchiostoma japonicum,ZYT459,,,,,male,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,9D9363104374745AF848AEFCF89168CA,575E220458A73E94C9DD2C4505D8693A
SRR12011603,2020-06-15 03:38:31,2020-06-15 03:32:51,16110377,4833113100,16110377,300,1413,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12011/SRR12011603/SRR12011603.lite.1,SRX8544290,ZYT460,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838931,SAMN15232922,simple,373177,Branchiostoma japonicum,ZYT460,,,,,male,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,83B628A3B0886988B7FBA1843832BD06,45E2692C01DA3E3F44C5DD1B98C16F8B
SRR12011601,2020-06-15 03:32:31,2020-06-15 03:28:21,11319352,3395805600,11319352,300,989,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR012/12011/SRR12011601/SRR12011601.lite.1,SRX8544292,ZYT461,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838933,SAMN15232924,simple,373177,Branchiostoma japonicum,ZYT461,,,,,female,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,68377B63761D8B40539D703886340F5D,4045FB6FD45F40B419512268118089DF
SRR12011600,2020-06-15 03:32:31,2020-06-15 03:30:40,14449364,4334809200,14449364,300,1279,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12011/SRR12011600/SRR12011600.lite.1,SRX8544293,ZYT462,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838934,SAMN15232925,simple,373177,Branchiostoma japonicum,ZYT462,,,,,female,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,3D7A44EDF623CDFC22D97BDEE64EF71E,F9C7366E2D1F3D2B24E0451B9B4AA01B
SRR12011602,2020-06-15 03:48:18,2020-06-15 03:44:06,35305015,10591504500,35305015,300,3183,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR012/12011/SRR12011602/SRR12011602.lite.1,SRX8544291,ZYT465,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838932,SAMN15232923,simple,373177,Branchiostoma japonicum,ZYT465,,,,,male,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,3A6C96063A75ACECE6BE9B839BD91518,9D8A1A2EB28A544D885EB4F37320D954
SRR12011599,2020-06-15 03:33:16,2020-06-15 03:30:55,16873354,5062006200,16873354,300,1509,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12011/SRR12011599/SRR12011599.lite.1,SRX8544294,ZYT466,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838935,SAMN15232926,simple,373177,Branchiostoma japonicum,ZYT466,,,,,female,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,5273CEE3ADB000FEEFD79EBBCA31ABCE,7A6E1A33BDB8B8E07E1FE4EC34C71D23
SRR12011616,2020-06-15 03:38:31,2020-06-15 03:33:41,24718464,7415539200,24718464,300,2238,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12011/SRR12011616/SRR12011616.lite.1,SRX8544277,ZYT59,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838918,SAMN15232910,simple,373177,Branchiostoma japonicum,ZYT59,,,,,female,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,D57B7C752690D1D6188A21FE80A7B41E,42562A36BCE384F5711B125BDF83D48F
SRR12011615,2020-06-15 03:38:31,2020-06-15 03:34:19,24014776,7204432800,24014776,300,2177,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR012/12011/SRR12011615/SRR12011615.lite.1,SRX8544278,ZYT60,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838919,SAMN15232911,simple,373177,Branchiostoma japonicum,ZYT60,,,,,female,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,77CAF969DBF58278D9193E3D15561520,BAEBE48C9509A3200658DCB50E1F387F
SRR12011587,2020-06-15 03:35:18,2020-06-15 03:31:59,21944244,6583273200,21944244,300,1998,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12011/SRR12011587/SRR12011587.lite.1,SRX8544306,ZYT61,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838947,SAMN15232901,simple,373177,Branchiostoma japonicum,ZYT61,,,,,female,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,CC612E60B4AE080E910A0A99383FB6D4,563578B6F12ED8F2465E888BB315D414
SRR12011576,2020-06-15 03:38:31,2020-06-15 03:33:59,23346443,7003932900,23346443,300,2162,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR012/12011/SRR12011576/SRR12011576.lite.1,SRX8544317,ZYT62,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838958,SAMN15232902,simple,373177,Branchiostoma japonicum,ZYT62,,,,,female,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,AA91F5228A276A6E374B9C74341E362D,AF3B48285272883391B51DC38C214309
SRR12011565,2020-06-15 03:38:31,2020-06-15 03:33:33,25508466,7652539800,25508466,300,2357,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12011/SRR12011565/SRR12011565.lite.1,SRX8544328,ZYT63,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838969,SAMN15232903,simple,373177,Branchiostoma japonicum,ZYT63,,,,,female,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,9F0607AED44FF452664A4D2E024B11E9,409353AD79298BD68890C5416E55F757
SRR12011547,2020-06-15 03:34:32,2020-06-15 03:33:00,22349320,6704796000,22349320,300,2035,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12011/SRR12011547/SRR12011547.lite.1,SRX8544346,ZYT66,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838987,SAMN15232906,simple,373177,Branchiostoma japonicum,ZYT66,,,,,male,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,1BEE7D9200B75A1F9123B81416A4813E,D9BB43543D73FEB91AA6C3A07A85ACB1
SRR12011609,2020-06-15 03:34:32,2020-06-15 03:32:04,22271898,6681569400,22271898,300,2023,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12011/SRR12011609/SRR12011609.lite.1,SRX8544284,ZYT69,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838925,SAMN15232899,simple,373177,Branchiostoma japonicum,ZYT69,,,,,male,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,587439C2D817B0A15836877B21EA72D9,4CAAEAA99CB7EB708A948335F49185E3
SRR13849466,2021-03-03 18:37:35,2021-03-03 18:22:59,15500461,1518927804,0,97,872,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13849/SRR13849466/SRR13849466.lite.1,SRX10230932,HBR-1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308775,PRJNA705827,,705827,SRS8372186,SAMN18106353,simple,1504303,Lepeophtheirus salmonis salmonis,HBR-1,,,,,female,,no,,,,,UNIVERSITY OF BERGEN,SRA1202601,,public,ACC24DB6AD5966EF9EF65205264D10E6,B9B682D674EC65998610ACE42A5A3D2C
SRR13849467,2021-03-03 18:37:35,2021-03-03 18:25:07,17302180,1696983717,0,98,975,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13849/SRR13849467/SRR13849467.lite.1,SRX10230931,HBR-10,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308775,PRJNA705827,,705827,SRS8372184,SAMN18106352,simple,1504303,Lepeophtheirus salmonis salmonis,HBR-10,,,,,female,,no,,,,,UNIVERSITY OF BERGEN,SRA1202601,,public,7B16F3746E43D23AF330832DD863BCDB,BED6959E9E6C097951999D7DAC403B06
SRR13849465,2021-03-03 18:37:35,2021-03-03 18:22:31,16729697,1643732160,0,98,937,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13849/SRR13849465/SRR13849465.lite.1,SRX10230933,HBR-2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308775,PRJNA705827,,705827,SRS8372185,SAMN18106354,simple,1504303,Lepeophtheirus salmonis salmonis,HBR-2,,,,,male,,no,,,,,UNIVERSITY OF BERGEN,SRA1202601,,public,67DCAF8BC161D5ED3F73607082C19462,9554661F3AB82072301E1C09F84BFB87
SRR13849464,2021-03-03 18:37:35,2021-03-03 18:27:13,19206061,1891568913,0,98,1085,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13849/SRR13849464/SRR13849464.lite.1,SRX10230934,HBR-3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308775,PRJNA705827,,705827,SRS8372187,SAMN18106355,simple,1504303,Lepeophtheirus salmonis salmonis,HBR-3,,,,,pooled male and female,,no,,,,,UNIVERSITY OF BERGEN,SRA1202601,,public,C56B480F7647EBA35CBEC05A9C81A5E6,85BED9BD4B2798033972B7163BE102B1
SRR13849463,2021-03-03 18:37:35,2021-03-03 18:22:30,10371958,1035369380,0,99,576,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13849/SRR13849463/SRR13849463.lite.1,SRX10230935,HBR-4N,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308775,PRJNA705827,,705827,SRS8372188,SAMN18106356,simple,1504303,Lepeophtheirus salmonis salmonis,HBR-4N,,,,,male,,no,,,,,UNIVERSITY OF BERGEN,SRA1202601,,public,F84966AE950FDC96C5441FB3FEEA55B0,6B3E34F8AFA75D5EA1638F173977FC0B
