"","species","SumDens","sp_code","speciesOrNo"
"56","OITHONA SPINIROSTRIS",1217.46,"6120090104",1
"57","EUPHAUSIA PACIFICA",35192.9467579176,"6174020101",1
"58","EUPHAUSIA GIBBOIDES",0.0271080072938959,"6174020126",1
"59","NEMATOBRACHION FLEXIPES",0.204000110010592,"6174020301",1
"60","NEMATOSCELIS DIFFICILIS",230.693764395434,"6174020401",1
"61","NYCTIPHANES SIMPLEX",6.08099574881522,"6174020504",1
"62","TESSARABRACHION OCULATUM",0.45569531037209,"6174020801",1
"63","THYSANOESSA GREGARIA",33.4027305610754,"6174020901",1
"64","THYSANOESSA INSPINATA",33.8224460784906,"6174020903",1
"65","THYSANOESSA LONGIPES",0.473501025205211,"6174020905",1
"66","THYSANOESSA SPINIFERA",12725.4324107933,"6174020907",1
"67","EUPHAUSIA RECURVA",1.27921898256295,"6174020991",1
"68","SERGESTES SIMILIS",27.2681114183995,"6177020301",1
"69","CRANGON FRANCISCORUM",1.58,"6179220107",1
"70","NEOTRYPAEA CALIFORNIENSIS",7.28,"6183040204",1
"71","EMERITA ANALOGA",18.9224782463324,"6183140102",1
"72","CARCINUS MAENUS",0.01,"61849988xx",1
"73","PACHEGRAPSUS CRASSIPES",0.015791358704411,"6184999XXX",1
"74","OREGONIA GRACILIS",0.384677610921596,"6187010101",1
"75","PUGETTIA PRODUCTA",2.70011747287304,"6187010501",1
"76","PUGETTIA RICHII",1.57762800935317,"6187990002",1
"77","CANCER PRODUCTUS",1.93328620143603,"6188030101",1
"78","CANCER ANTENNARIUS",7.1925564000275,"6188030102",1
"79","CANCER MAGISTER",122.146937628564,"6188030104",1
"80","CANCER GRACILIS",0.00344274255564674,"6188030105",1
"81","CANCER OREGONENSIS",39.3570524322875,"6188030106",1
"82","CANCER ANTENNARIUS/GRACILIS",1.70180501023972,"6188030188",1
"83","CANCER OREGONENSIS/PRODUCTUS",7.47104079555224,"6188030199",1
"84","MECYNOCERA CLAUSI",2.64,"618809999X",1
"85","HEMIGRAPSUS NUDUS",0.604111108078547,"6189070101",1
"86","HEMIGRAPSUS OREGONENSIS",0.10043185438743,"6189070102",1
"87","CHIROTEUTHIS SPP.",0.21596891178921,"6424000XXL",1
"88","SQUID UNID.",0.00842647884449549,"6424111XXL",1
"89","ABRELIOPSIS FELIS",0.152232383216809,"6424333XXL",1
"90","ONYCHOTEUTHIS BOREALIJAPONICA",0.512885341016928,"6424444XXL",1
"91","DORYTEUTHIS OPALESCENCE",0.999694469634924,"6424777XXL",1
"92","JAPETELLA DIAPHANA",0.00836961042080761,"6424899XXL",1
"93","LEACHIA DISLOCATA",0.0139841415865751,"6424998XXL",1
"94","ENTEROCTOPUS DOFLIENI",0.033722146320417,"6424999XXL",1
"95","DOLIOLUM GEGENBAURI",53.49,"8410010104",1
"96","TRACHURUS SYMMETRICUS",0.680300658920239,"8554433221",1
"97","CLUPEA PALLASII",0.60916156641519,"8747010201",1
"98","SARDINOPS SAGAX",0.352196024226656,"8747010301",1
"99","ENGRAULIS MORDAX",1.43900413695463,"8747020101",1
"100","HYPOMESUS PRETIOSUS",8.32251998922735,"8755030101",1
"101","ARGENTINA SIALIS",0.0058519272225071,"8755039998",1
"102","MALLOTUS VILLOSUS",0.995097475500504,"8755039999",1
"103","BATHYLAGUS WESETHI",0.009275417786399,"875503999x",1
"104","BATHYLAGUS PACIFICUS",0.13792464462422,"8756020105",1
"105","LEUROGLOSSUS STILBIUS",0.0510928387680154,"8756020301",1
"106","LEUROGLOSSUS SCHMIDTI",0.0187021600335351,"8756029997",1
"107","BATHYLAGUS MILLERI",0.0130844865411551,"8756029998",1
"108","BATHYLAGUS OCHOTENSIS",4.94376770108309,"8756029999",1
"109","BATHYLAGUS BERICOIDES",0.0126407161360081,"8756029999",1
"110","BATHYLAGUS ALASCANUS",0.00679993057270885,"87560299XX",1
"111","BATHYAGONUS INFRASPINATUS",0.00624480619468788,"875602XX99",1
"112","DIAPHUS THETA",0.421449350368152,"8762140201",1
"113","NANNOBRACHIUM REGALIS",0.29520253471957,"8762140302",1
"114","NOTOSCOPELUS RESPLENDENS",0.00531954405379344,"8762140401",1
"115","STENOBRACHIUS LEUCOPSARUS",37.3142921789802,"8762140501",1
"116","TARLETONBEANIA CRENULARIS",3.22699769620362,"8762140701",1
"117","PROTOMYCTOPHUM CROCKERI",1.22647353014962,"8762141001",1
"118","PROTOMYCTOPHUM THOMPSONI",0.194655114000129,"8762141002",1
"119","LAMPADENA UROPHAOS",0.107136573359538,"8762141299",1
"120","SYMBOLOPHORUS CALIFORNIENSIS",0.0138076036790699,"876214997X",1
"121","NANNOBRACHIUM NIGRUM",0.00670545675050133,"876214998x",1
"122","ELECTRONA RISSO",0.0198095813529664,"8762149994",1
"123","CERATOSCOPELUS TOWNSENDI",0.0104691278565026,"8762149998",1
"124","PARVILUX INGENS",0.148797936096688,"8762149999",1
"125","DIOGENICHTHYS ATLANTICUS",0.00529852763030621,"8762149999",1
"126","HYGOPHUM PROXIMUM",0.00531954405379344,"876214999x",1
"127","MICROGADUS PROXIMUS",0.01,"8791030601",1
"128","GADUS CHALCOGRAMMUS",0.02,"879103999x",1
"129","GADUS MACROCEPHALUS",0.01,"879103XX99",1
"130","MERLUCCIUS PRODUCTUS",2.9014006899237,"8791040102",1
"131","BROSMOPHYCIS MARGINATA",0.0100108377811798,"8792010101",1
"132","ALBATROSSIA PECTORALIS",0.0173508148140512,"8794011801",1
"133","COLOLABIS SAIRA",0.00574069613127943,"8803030101",1
"134","TRACHIPTERUS ALTIVELIS",0.0204705814740056,"8815020101",1
"135","SYNGNATHUS LEPTORHYNCHUS",0.05,"8820020118",1
"136","SYNGNATHUS CALIFORNIENSIS",0.00720923618503081,"8820020999",1
"137","SEBASTES AURORA",0.195656325070825,"8826010104",1
"138","SEBASTES ELONGATUS",0.0060046283675457,"8826010112",1
"139","SEBASTES GOODEI",0.00681345092949915,"8826010117",1
"140","SEBASTES PAUCISPINIS",0.0140312892546791,"8826010127",1
"141","SEBASTES PINNIGER",0.00604754643904863,"8826010128",1
"142","SEBASTES DALLI",0.00700841413380711,"8826010145",1
"143","SEBASTES MELANOPS",0.0486820652702387,"8826010197",1
"144","SEBASTES SAXICOLA",0.593748268109084,"8826010199",1
"145","SEBASTES JORDANI",0.241367186867765,"8826010199",1
"146","SEBASTES ATROVIRENS",0.01,"8826010199",1
"147","SEBASTES SERRANOIDES",0.00632035806800407,"8826010199",1
"148","SEBASTES MYSTINUS",0.00578413305412475,"8826010199",1
"149","SEBASTOLOBUS ALASCANUS",0.00770146520837677,"8826010299",1
"150","SEBASTOLOBUS ALTIVELIS",0.00215944249258556,"8826010299",1
"151","HEXAGRAMMOS DECAGRAMMUS",0.0619093440186648,"8827010101",1
"152","HEXAGRAMMOS LAGOCEPHALUS",0.262648786813971,"8827010102",1
"153","OPHIODON ELONGATUS",0.0577341776107705,"8827010201",1
"154","OXYLEBIUS PICTUS",0.00268943361872706,"8827010301",1
"155","ZANIOLEPIS FRENATA",0.01,"8827019999",1
"156","HEXAGRAMMOS STELLERI",0.0351745062623817,"882701999X",1
"157","ANOPLOPOMA FIMBRIA",0.0704910806238333,"8827020101",1
"158","ARTEDIUS FENESTRALIS",0.0719143978255565,"8831020401",1
"159","ARTEDIUS HARRINGTONI",0.304744125032583,"8831020402",1
"160","ARTEDIUS LATERALIS",0.0239761641601338,"8831020403",1
"161","ARTEDIUS MEANYI",0.17,"8831020499",1
"162","CLINOCOTTUS GLOBICEPS",0.01,"8831020703",1
"163","ENOPHRYS BISON",0.02,"8831021001",1
"164","HEMILEPIDOTUS HEMILEPIDOTUS",0.121317319123497,"8831021402",1
"165","LEPTOCOTTUS ARMATUS",0.256610215252141,"8831021801",1
"166","MYOXOCEPHALUS POLYACANTHOCEPHALUS",0.0302619574985124,"8831022204",1
"167","RADULINUS ASPRELLUS",0.135190861834635,"8831022901",1
"168","SCORPAENICHTHYS MARMORATUS",0.261815031677396,"8831023101",1
"169","COTTIDAE LEPTOCOTTUS",0.02,"883102998x",1
"170","HEMILEPIDOTUS SPINOSUS",0.245189644753678,"8831029999",1
"171","COTTIDAE ARTEDIUS",0.199500192205041,"883102999X",1
"172","CHITONOTUS PUGENTENSIS",0.024270673388891,"883102999X",1
"173","RHAMPHCOTTUS RICHARDSONII",0.0124294035936841,"883102999x",1
"174","HEMILEPIDOTUS JORDANI",0.00624480619468788,"883102XX99",1
"175","ARTEDIUS CREASERI",0.0142065298113697,"883102xxx4",1
"176","RUSCARIUS MEANYI",0.0662003180636128,"8831070502",1
"177","ODONTOPYXIS TRISPINOSA",0.01,"8831081001",1
"178","STELLERINA XYOSTERNA",0.0194803880823407,"8831081501",1
"179","PALLASINA BARBATA",0.01,"8831089998",1
"180","LEPTAGONUS LEPTORHYNCHUS",0.01,"8831089999",1
"181","BATHYAGONUS NIGRIPINNIS",0.00421450427546708,"883108XX99",1
"182","BATHYAGONUS PENTACANTHUS",0.00495133854189061,"883108XXX9",1
"183","LIPARIS FUCENSIS",1.02688791419599,"8831090811",1
"184","LIPARIS GIBBUS",0.0477014652083768,"8831090812",1
"185","LIPARIS MUCOSUS",0.0153704326585002,"8831090820",1
"186","LIPARIS PULCHELLUS",0.076610215252141,"8831090822",1
"187","GENYONEMUS LINEATUS",1.04621210808198,"8835440201",1
"188","RONQUILUS JORDANI",0.0422619535203725,"8840030201",1
"189","ANOPLARCHUS PURPURESCENS",0.0145463210742513,"8842120402",1
"190","ANOPLARCHUS INSIGNIS",0.0153281030684455,"8842129999",1
"191","BRYOZOICHTHYS LYSIMUS",0.003564169948391,"884212xx88",1
"192","CHIROLOPHIS NUGATOR",0.01,"884212xx99",1
"193","POROCLINUS ROTHROCKI",0.01,"884212xxx9",1
"194","AMMODYTES HEXAPTERUS",0.238476915547404,"8845010101",1
"195","AMMODYTES PERSONATUS",0.211770927092461,"8845019999",1
"196","RHINOGOBIOPS NICHOLSI",0.02,"8847010201",1
"197","LEPIDOGOBIUS LEPIDUS",0.343204216823358,"8847010301",1
"198","ICICHTHYS LOCKINGTONI",0.263833813913278,"8851010101",1
"199","HIPPOGLOSSINA STOMATA",0.00713228098904767,"885599997F",1
"200","ATHERESTHES STOMIAS",0.0170439111370945,"8855999999",1
"201","CITHARICHTHYS SORDIDUS",6.54993539947502,"8857030101",1
"202","CITHARICHTHYS STIGMAEUS",4.98335739430493,"8857030102",1
"203","CITHARICHTHYS XANTHOSTIGMA",0.01,"8857030188",1
"204","LYOPSETTA EXILIS",2.83263866591819,"8857040403",1
"205","HIPPOGLOSSOIDES ELASSODON",0.0365714835918207,"8857040601",1
"206","MICROSTOMUS PACIFICUS",4.05621515201601,"8857041201",1
"207","PLATICHTHYS STELLATUS",0.121103042451294,"8857041401",1
"208","LEPIDOPSETTA BILINEATA",0.04,"8857041510",1
"209","ISOPSETTA ISOLEPIS",0.400508954557565,"8857041511",1
"210","PAROPHRYS VETULUS",1.45741931291687,"8857041512",1
"211","PLEURONICHTHYS DECURRENS",0.0243502844289226,"8857041602",1
"212","PSETTICHTHYS MELANOSTICTUS",2.58271879630169,"8857041701",1
"213","GLYPTOCEPHALUS ZACHIRUS",0.357745834123176,"8857043501",1
"214","LEPIDOPSETTA POLYXYSTRA",0.01,"8857049998",1
"215","LIMANDA ASPERA",0.0148231398274683,"8857049999",1
"216","PLEURONECTES QUADRITUBERCULATUS",0.00520676352125024,"8857049999",1
"217","TACTOSTOMA MACROPUS",0.00994351998607841,"8877766655",1
"218","CYCLOTHONE ACCLINIDENS",0.00531835896184038,"899888777X",1
"219","CYCLOTHONE PSEUDOPALLIDA",0.00596857693458365,"89988877XX",1
"220","SPECTRUNCULUS GRANDIS",0.0050612430399747,"8999665554",1
"221","POROMITRA CRASSICEPS",0.0140762451287439,"899988888X",1
"222","NANSENIA CANDIDA",0.0218441519575793,"8999988667",1
"223","CLEVLANDIA IOS",0.0681809729385687,"899998888X",1
"224","SCOMBRIDAE SP.",0.00403647157117311,"89999966XX",1
"225","DANOPHOS OCULATUS",0.00536281091734233,"8999997766",1
"226","MELAMPHAES PARVUS",0.0107448663714694,"8999998886",1
"227","MELAMPHAES LUGUBRIS",0.0314782303238711,"8999998887",1
"228","EOPSETTA JORDANI",0.0316589326891924,"8999999234",1
"229","CHAULIODUS MACOUNI",0.228444792310883,"8999999643",1
"230","LESTIDIOPS RINGENS",0.178531683836964,"8999999905",1
"231","BATHOPHILUS FLEMINGI",0.01,"8999999925",1
"232","LOWEINA RARA",0.0379225973847151,"8999999975",1
"233","TETRAGONURUS CUVIERI",0.122687026079914,"8999999985",1
"234","NANNOBRACHIUM RITTERI",0.0660129744967557,"8999999990",1
"235","UNIDENTIFIED FISH",6.6388902326673,"8999999998",1
"236","EMBASSICHTHYS BATHYBIUS",0.0560652993156978,"8999999998",1
"237","MELAMPHAES SPP",0.0114249104651897,"8999999998",1
"238","CRYPTACANTHODES ALEUTENSIS",0.0586919529722059,"89999999XX",1
"239","HYPSAGONUS MOZINOI",0.00818843052556827,"8999999XXX",1
"240","SCOPELOBERYX ROBUSTUS",0.00427529039482478,"8999999x9x",1
"241","SCOMBER JAPONICUS",0.03,"899999XXXX",1
"242","OPISTHOCENTRUS OCELLATUS",0.01,"89999XXX98",1
"243","XENERETMUS LEIOPS",0.00554328407962826,"89999XXX99",1
"244","THALEICTHYS PACIFICUS",0.00536745903673347,"89999XXX99",1
"245","SYMPHURUS ATRICAUDUS",0.00540172604161105,"89999xxx99",1
"246","IDIACANTHUS FASCIOLA",0.0043880573997927,"89999xxx99",1
"247","SCYRA ACUTIFRONS",1.12142240243893,"9990001Z1",1
"248","CHIONOECETES BAIRDI",3.17439838148702,"9990003Z1",1
"249","MIMULUS FOLIATUS",0.242808192615271,"9990005Z1",1
"250","RADIOLARIA",71.87,"3465C",0
"251","PHIALIDIUM",7.74,"370401048",0
"252","MUGGIAEA",120.87,"371601048",0
"253","PLEUROBRACHIA",62.44,"38020101C",0
"254","TOMOPTERIS",32.97,"500120018",0
"255","POLYCHAETA",134.09,"5001LV",0
"256","LIMACINA",991.82,"51130101C",0
"257","PTEROPODA",8.05,"5113C",0
"258","GASTROPODA",62.04,"51VL",0
"259","BIVALVIA",592.4,"55VL",0
"260","OCTOPUS",4.31972788754534,"57080102C",0
"261","CLADOCERA",466.18,"6108C",0
"262","EVADNE",386.69,"610905018",0
"263","PODON",227.59,"61090502C",0
"264","OSTRACODA",180.75,"6110C",0
"265","COPEPODA",340.07,"6117C",0
"266","TRICONIA",602.74,"6117XXX99X",0
"267","CALANOIDA",3.33,"6118!",0
"268","CALANUS",258.75,"61180102E",0
"269","EUCALANUS",766.78,"61180301#",0
"270","EUCALANUS NEW SPECIES",22.14,"6118030199",0
"271","PARACALANUS NEW SPECIES",82.58,"6118040199",0
"272","PARACALANUS",2181.48,"61180401XX",0
"273","CALOCALANUS",11.76,"61180402O",0
"274","CLAUSOCALANUS",2160.48,"61180501N",0
"275","PSEUDOCALANUS",107862.25,"61180505@",0
"276","GAIDIUS",7.41,"61180711%",0
"277","EUCHAETA",3.05,"61180801@",0
"278","RACOVITZANUS",12.44,"61181003%",0
"279","SCOLECITHRICELLA NEW SPECIES",3.14,"6118100599",0
"280","METRIDIA",9514.89,"61181602!",0
"281","LUCICUTIA",402.96,"61182101%",0
"282","HETERORHABDUS",2.71,"61182202%",0
"283","ACARTIA",909.46,"61182901%",0
"284","SCAPHOCALANUS",3.77,"6118999996",0
"285","ACROCALANUS",4.49,"611899999x",0
"286","MICROSETELLA",155.4,"61190901C",0
"287","HARPACTICOIDA",14.36,"6119CO",0
"288","ONCAEA",1600.07,"61200103C",0
"289","CORYCAEUS NEW SPECIES",36.82,"6120049999",0
"290","SAPPHIRINA",11.14,"61201001C",0
"291","CIRRIPEDIA",1872.81,"61302",0
"292","MYSIDACEA",43.2753096231754,"6151C",0
"293","CUMACEA",3.6,"6154C",0
"294","ISOPODA",24.94,"61588",0
"295","AMPHIPODA",3.94,"61688",0
"296","HYPERIIDAE",22.54,"617001C",0
"297","PARAPHRONIMA",3.93,"61702101C",0
"298","EUPHAUSIIDAE",11651.6901636106,"617402CAL",0
"299","STYLOCHEIRON",24.274123265546,"61740xxxxx",0
"300","UPOGEBIA",0.00652219619460115,"617500999X",0
"301","DECAPODA",425.994078734877,"617500Z",0
"302","SHRIMP",0.01,"6175C",0
"303","HIPPOLYTIDAE",38.8708994342757,"617916C",0
"304","PANDALIDAE",28.0108983228782,"617918C",0
"305","CRANGONIDAE",1.05,"617922Z",0
"306","CRABS",9.22,"6180Z",0
"307","PAGURIDAE",26.1254951522782,"618306Z1",0
"308","LITHODIDAE",0.00950694439060194,"618308J",0
"309","GALATHEIDAE",0.45,"618310C",0
"310","PACHYCHELES",6.103803327367,"61831202Z1",0
"311","PORCELLANIDAE",0.0761487945775177,"618312Z1",0
"312","BRACHYURA",0.01,"6184C",0
"313","MAJIDAE",1.312566472524,"618701PLVL",0
"314","CANCER",33.2815813102594,"61880301Z1",0
"315","LOPHOPANOPEUS",8.48928312607673,"61890201Z1",0
"316","FABIA",5.23,"61890603Z",0
"317","PINNOTHERIDAE",51.6256987574867,"618906Z1",0
"318","GRAPSIDAE",0.0263099484540311,"618907PLVL",0
"319","OCTOPOTEUTHIDAE",0.00403128925467912,"642411999X",0
"320","SQUID",0.275361601324973,"6424123XXL",0
"321","GONATIDAE",2.96737836285821,"6424222XXL",0
"322","BRYOZOA",149.21,"78LV",0
"323","SAGITTA",4.93,"83080107C",0
"324","CHAETOGNATHA",1540.02,"83C",0
"325","DOLIOLIDA",434.3,"8410C",0
"326","SALPIDAE",419.31,"84118",0
"327","OIKOPLEURA",15639.34,"84130101C",0
"328","FRITILLARIA",60.68,"84130201C",0
"329","22 DIVISION FISH EGG",2.57,"870022E",0
"330","CLUPEIDAE",0.01,"874701PFLX",0
"331","CLUPEIFORMES",0.0157820573410301,"8747999999",0
"332","OSMERIDAE",0.176574642819494,"875503PFLX",0
"333","BATHYLAGIDAE",0.103141810767707,"875602FLX",0
"334","LAMPADENA",0.171685659180497,"87621412YL",0
"335","NANNOBRACHIUM",0.0163759374578184,"8762149999",0
"336","MYCTOPHIDAE",0.202299666563222,"876214C",0
"337","GILLELUS",0.00727344800530234,"8777666555",0
"338","SEBASTES",29.2755667902637,"88260101PF",0
"339","SEBASTOLOBUS",0.557971203040094,"88260102PF",0
"340","ARTEDIUS",0.067513802567487,"88310204FL",0
"341","COTTIDAE",0.242612494831626,"883102PFLX",0
"342","AGONIDAE",0.00367691702273778,"883108PFLX",0
"343","LIPARIS",0.0257029252265293,"88310908PS",0
"344","BATHYMASTER",0.01,"88400301FL",0
"345","STICHAEIDAE",0.0236511124744085,"884212PFLX",0
"346","PHOLIDAE",0.01,"884213PFLX",0
"347","PARALICHTHYIDAE",0.0060489618091235,"88559999XP",0
"348","PLEURONECTIFORMES",0.0154063937526309,"8855YLK",0
"349","CITHARICHTHYS",0.54905762286275,"88570301PF",0
"350","PLEURONECTIDAE",0.137265598034607,"885704PFLX",0
"351","PETROLISTHES",1.80666759853864,"8990004Z1",0
"352","STERNOPTYCHIDAE",0.00595670310779071,"8999888666",0
"353","STOMIIDAE",0.00521482861966365,"8999888777",0
"354","ZOARCIDAE",0.00621210808198368,"89999xxxxx",0
"355","SPINY HERMIT CRAB",0.0357841330541247,"9990006Z1",0
"356","PYROSOMA",1.12530690502372,"999888666X",0
"357","BRACHIOPODA",4.29,"9999XXXXXX",0
