Project Request,Scientific name,Point of Contact for Submission,Email,Common Name,Survey Type,sp_code,speciesOrNo
Trindidad Headline,CANCER GRACILIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6188030105,1
Trindidad Headline,CANCER OREGONENSIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6188030106,1
Trindidad Headline,CANCER ANTENNARIUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6188030188,1
Trindidad Headline,CANCER GRACILIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6188030188,1
Trindidad Headline,CANCER PRODUCTUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6188030199,1
Trindidad Headline,CANCER OREGONENSIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6188030199,1
Trindidad Headline,MECYNOCERA CLAUSI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,618809999X,1
Trindidad Headline,HEMIGRAPSUS NUDUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6189070101,1
Trindidad Headline,HEMIGRAPSUS OREGONENSIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6189070102,1
Trindidad Headline,CHIROTEUTHIS SPP.,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6424000XXL,1
Trindidad Headline,SQUID,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6424111XXL,1
Trindidad Headline,ABRELIOPSIS FELIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6424333XXL,1
Trindidad Headline,ONYCHOTEUTHIS BOREALIJAPONICA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6424444XXL,1
Trindidad Headline,DORYTEUTHIS OPALESCENCE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6424777XXL,1
Trindidad Headline,JAPETELLA DIAPHANA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6424899XXL,1
Trindidad Headline,LEACHIA DISLOCATA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6424998XXL,1
Trindidad Headline,ENTEROCTOPUS DOFLIENI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6424999XXL,1
Trindidad Headline,DOLIOLUM GEGENBAURI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8410010104,1
Trindidad Headline,TRACHURUS SYMMETRICUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8554433221,1
Trindidad Headline,CLUPEA PALLASII,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8747010201,1
Trindidad Headline,SARDINOPS SAGAX,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8747010301,1
Trindidad Headline,ENGRAULIS MORDAX,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8747020101,1
Trindidad Headline,HYPOMESUS PRETIOSUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8755030101,1
Trindidad Headline,ARGENTINA SIALIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8755039998,1
Trindidad Headline,MALLOTUS VILLOSUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8755039999,1
Trindidad Headline,BATHYLAGUS WESETHI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,875503999x,1
Trindidad Headline,BATHYLAGUS PACIFICUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8756020105,1
Trindidad Headline,LEUROGLOSSUS STILBIUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8756020301,1
Trindidad Headline,LEUROGLOSSUS SCHMIDTI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8756029997,1
Trindidad Headline,BATHYLAGUS MILLERI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8756029998,1
Trindidad Headline,BATHYLAGUS OCHOTENSIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8756029999,1
Trindidad Headline,BATHYLAGUS BERICOIDES,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8756029999,1
Trindidad Headline,BATHYLAGUS ALASCANUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,87560299XX,1
Trindidad Headline,BATHYAGONUS INFRASPINATUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,875602XX99,1
Trindidad Headline,DIAPHUS THETA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8762140201,1
Trindidad Headline,NANNOBRACHIUM REGALIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8762140302,1
Trindidad Headline,NOTOSCOPELUS RESPLENDENS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8762140401,1
Trindidad Headline,STENOBRACHIUS LEUCOPSARUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8762140501,1
Trindidad Headline,TARLETONBEANIA CRENULARIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8762140701,1
Trindidad Headline,PROTOMYCTOPHUM CROCKERI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8762141001,1
Trindidad Headline,PROTOMYCTOPHUM THOMPSONI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8762141002,1
Trindidad Headline,LAMPADENA UROPHAOS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8762141299,1
Trindidad Headline,SYMBOLOPHORUS CALIFORNIENSIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,876214997X,1
Trindidad Headline,NANNOBRACHIUM NIGRUM,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,876214998x,1
Trindidad Headline,ELECTRONA RISSO,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8762149994,1
Trindidad Headline,CERATOSCOPELUS TOWNSENDI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8762149998,1
Trindidad Headline,PARVILUX INGENS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8762149999,1
Trindidad Headline,DIOGENICHTHYS ATLANTICUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8762149999,1
Trindidad Headline,HYGOPHUM PROXIMUM,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,876214999x,1
Trindidad Headline,MICROGADUS PROXIMUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8791030601,1
Trindidad Headline,GADUS CHALCOGRAMMUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,879103999x,1
Trindidad Headline,GADUS MACROCEPHALUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,879103XX99,1
Trindidad Headline,MERLUCCIUS PRODUCTUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8791040102,1
Trindidad Headline,BROSMOPHYCIS MARGINATA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8792010101,1
Trindidad Headline,ALBATROSSIA PECTORALIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8794011801,1
Trindidad Headline,COLOLABIS SAIRA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8803030101,1
Trindidad Headline,TRACHIPTERUS ALTIVELIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8815020101,1
Trindidad Headline,SYNGNATHUS LEPTORHYNCHUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8820020118,1
Trindidad Headline,SYNGNATHUS CALIFORNIENSIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8820020999,1
Trindidad Headline,SEBASTES AURORA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8826010104,1
Trindidad Headline,SEBASTES ELONGATUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8826010112,1
Trindidad Headline,SEBASTES GOODEI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8826010117,1
Trindidad Headline,SEBASTES PAUCISPINIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8826010127,1
Trindidad Headline,SEBASTES PINNIGER,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8826010128,1
Trindidad Headline,SEBASTES DALLI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8826010145,1
Trindidad Headline,SEBASTES MELANOPS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8826010197,1
Trindidad Headline,SEBASTES SAXICOLA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8826010199,1
Trindidad Headline,SEBASTES JORDANI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8826010199,1
Trindidad Headline,SEBASTES ATROVIRENS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8826010199,1
Trindidad Headline,SEBASTES SERRANOIDES,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8826010199,1
Trindidad Headline,SEBASTES MYSTINUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8826010199,1
Trindidad Headline,SEBASTOLOBUS ALASCANUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8826010299,1
Trindidad Headline,SEBASTOLOBUS ALTIVELIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8826010299,1
Trindidad Headline,HEXAGRAMMOS DECAGRAMMUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8827010101,1
Trindidad Headline,HEXAGRAMMOS LAGOCEPHALUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8827010102,1
Trindidad Headline,OPHIODON ELONGATUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8827010201,1
Trindidad Headline,OXYLEBIUS PICTUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8827010301,1
Trindidad Headline,ZANIOLEPIS FRENATA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8827019999,1
Trindidad Headline,HEXAGRAMMOS STELLERI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,882701999X,1
Trindidad Headline,ANOPLOPOMA FIMBRIA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8827020101,1
Trindidad Headline,ARTEDIUS FENESTRALIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8831020401,1
Trindidad Headline,ARTEDIUS HARRINGTONI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8831020402,1
Trindidad Headline,ARTEDIUS LATERALIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8831020403,1
Trindidad Headline,ARTEDIUS MEANYI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8831020499,1
Trindidad Headline,CLINOCOTTUS GLOBICEPS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8831020703,1
Trindidad Headline,ENOPHRYS BISON,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8831021001,1
Trindidad Headline,HEMILEPIDOTUS HEMILEPIDOTUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8831021402,1
Trindidad Headline,LEPTOCOTTUS ARMATUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8831021801,1
Trindidad Headline,MYOXOCEPHALUS POLYACANTHOCEPHALUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8831022204,1
Trindidad Headline,RADULINUS ASPRELLUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8831022901,1
Trindidad Headline,SCORPAENICHTHYS MARMORATUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8831023101,1
Trindidad Headline,COTTIDAE LEPTOCOTTUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,883102998x,1
Trindidad Headline,HEMILEPIDOTUS SPINOSUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8831029999,1
Trindidad Headline,COTTIDAE ARTEDIUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,883102999X,1
Trindidad Headline,CHITONOTUS PUGENTENSIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,883102999X,1
Trindidad Headline,RHAMPHCOTTUS RICHARDSONII,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,883102999x,1
Trindidad Headline,HEMILEPIDOTUS JORDANI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,883102XX99,1
Trindidad Headline,ARTEDIUS CREASERI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,883102xxx4,1
Trindidad Headline,RUSCARIUS MEANYI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8831070502,1
Trindidad Headline,ODONTOPYXIS TRISPINOSA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8831081001,1
Trindidad Headline,STELLERINA XYOSTERNA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8831081501,1
Trindidad Headline,PALLASINA BARBATA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8831089998,1
Trindidad Headline,LEPTAGONUS LEPTORHYNCHUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8831089999,1
Trindidad Headline,BATHYAGONUS NIGRIPINNIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,883108XX99,1
Trindidad Headline,BATHYAGONUS PENTACANTHUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,883108XXX9,1
Trindidad Headline,LIPARIS FUCENSIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8831090811,1
Trindidad Headline,LIPARIS GIBBUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8831090812,1
Trindidad Headline,LIPARIS MUCOSUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8831090820,1
Trindidad Headline,LIPARIS PULCHELLUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8831090822,1
Trindidad Headline,GENYONEMUS LINEATUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8835440201,1
Trindidad Headline,RONQUILUS JORDANI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8840030201,1
Trindidad Headline,ANOPLARCHUS PURPURESCENS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8842120402,1
Trindidad Headline,ANOPLARCHUS INSIGNIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8842129999,1
Trindidad Headline,BRYOZOICHTHYS LYSIMUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,884212xx88,1
Trindidad Headline,CHIROLOPHIS NUGATOR,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,884212xx99,1
Trindidad Headline,POROCLINUS ROTHROCKI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,884212xxx9,1
Trindidad Headline,AMMODYTES HEXAPTERUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8845010101,1
Trindidad Headline,AMMODYTES PERSONATUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8845019999,1
Trindidad Headline,RHINOGOBIOPS NICHOLSI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8847010201,1
Trindidad Headline,LEPIDOGOBIUS LEPIDUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8847010301,1
Trindidad Headline,ICICHTHYS LOCKINGTONI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8851010101,1
Trindidad Headline,HIPPOGLOSSINA STOMATA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,885599997F,1
Trindidad Headline,ATHERESTHES STOMIAS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8855999999,1
Trindidad Headline,CITHARICHTHYS SORDIDUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8857030101,1
