Project Request,Scientific name,Point of Contact for Submission,Email,Common Name,Survey Type,Group
National Park Service Channel Islands,Sebastes pinniger,Scott Gabara,scott_gabara@nps.gov,canary rockfish,Monitored,fish
National Park Service Channel Islands,Sebastes rastrelliger,Scott Gabara,scott_gabara@nps.gov,grass rockfish,Monitored,fish
National Park Service Channel Islands,Sebastes rosaceus,Scott Gabara,scott_gabara@nps.gov,rosy rockfish,Monitored,fish
National Park Service Channel Islands,Sebastes saxicola,Scott Gabara,scott_gabara@nps.gov,stripetail rockfish,Monitored,fish
National Park Service Channel Islands,Sebastes semicinctus,Scott Gabara,scott_gabara@nps.gov,halfbanded rockfish,Monitored,fish
National Park Service Channel Islands,Sebastes serranoides,Scott Gabara,scott_gabara@nps.gov,olive rockfish,Monitored,fish
National Park Service Channel Islands,Sebastes serriceps,Scott Gabara,scott_gabara@nps.gov,treefish,Monitored,fish
National Park Service Channel Islands,Semicossyphus pulcher,Scott Gabara,scott_gabara@nps.gov,California sheephead,Monitored,fish
National Park Service Channel Islands,Seriola lalandi,Scott Gabara,scott_gabara@nps.gov,yellowtail,Monitored,fish
National Park Service Channel Islands,Sphyraena argentea,Scott Gabara,scott_gabara@nps.gov,Pacific barracuda,Monitored,fish
National Park Service Channel Islands,Squatina californica,Scott Gabara,scott_gabara@nps.gov,Pacific angel shark,Monitored,fish
National Park Service Channel Islands,Stereolepis gigas,Scott Gabara,scott_gabara@nps.gov,giant black sea bass,Monitored,fish
National Park Service Channel Islands,Stichaeidae,Scott Gabara,scott_gabara@nps.gov,prickleback spp.,Monitored,fish
National Park Service Channel Islands,Syngnathus spp.,Scott Gabara,scott_gabara@nps.gov,pipefish spp.,Monitored,fish
National Park Service Channel Islands,Trachurus symmetricus,Scott Gabara,scott_gabara@nps.gov,jack mackerel,Monitored,fish
National Park Service Channel Islands,Triakis semifasciata,Scott Gabara,scott_gabara@nps.gov,leopard shark,Monitored,fish
National Park Service Channel Islands,Xystreurys liolepis,Scott Gabara,scott_gabara@nps.gov,fantail sole,Monitored,fish
National Park Service Channel Islands,Chaetopterus sp.,Scott Gabara,scott_gabara@nps.gov,Annelida/Polychaeta,Monitored,invertebrate
National Park Service Channel Islands,Diopatra ornata,Scott Gabara,scott_gabara@nps.gov,Annelida/Polychaeta,Monitored,invertebrate
National Park Service Channel Islands,Dodecaceria concharum,Scott Gabara,scott_gabara@nps.gov,Annelida/Polychaeta,Monitored,invertebrate
National Park Service Channel Islands,Dodecaceria fewkesi,Scott Gabara,scott_gabara@nps.gov,Annelida/Polychaeta,Monitored,invertebrate
National Park Service Channel Islands,Eudistylia polymorpha,Scott Gabara,scott_gabara@nps.gov,Annelida/Polychaeta,Monitored,invertebrate
National Park Service Channel Islands,Phragmatopoma californica ,Scott Gabara,scott_gabara@nps.gov,Annelida/Polychaeta,Monitored,invertebrate
National Park Service Channel Islands,Pista elongata,Scott Gabara,scott_gabara@nps.gov,Annelida/Polychaeta,Monitored,invertebrate
National Park Service Channel Islands,Salmacina tribranchiata,Scott Gabara,scott_gabara@nps.gov,Annelida/Polychaeta,Monitored,invertebrate
National Park Service Channel Islands,Spirobranchus spinosus,Scott Gabara,scott_gabara@nps.gov,Annelida/Polychaeta,Monitored,invertebrate
National Park Service Channel Islands,Anthopleura artemisia,Scott Gabara,scott_gabara@nps.gov,Anthozoa,Monitored,invertebrate
National Park Service Channel Islands,Anthopleura elegantissima,Scott Gabara,scott_gabara@nps.gov,Anthozoa,Monitored,invertebrate
National Park Service Channel Islands,Anthopleura sola,Scott Gabara,scott_gabara@nps.gov,Anthozoa,Monitored,invertebrate
National Park Service Channel Islands,Anthopleura xanthogrammica   ,Scott Gabara,scott_gabara@nps.gov,Anthozoa,Monitored,invertebrate
National Park Service Channel Islands,Astrangia haimei,Scott Gabara,scott_gabara@nps.gov,Anthozoa,Monitored,invertebrate
National Park Service Channel Islands,Balanophyllia elegans,Scott Gabara,scott_gabara@nps.gov,Anthozoa,Monitored,invertebrate
National Park Service Channel Islands,Corynactis californica,Scott Gabara,scott_gabara@nps.gov,Anthozoa,Monitored,invertebrate
National Park Service Channel Islands,Eugorgia rubens,Scott Gabara,scott_gabara@nps.gov,Anthozoa,Monitored,invertebrate
National Park Service Channel Islands,Lophogorgia chilensis ,Scott Gabara,scott_gabara@nps.gov,Anthozoa,Monitored,invertebrate
National Park Service Channel Islands,Metridium senile,Scott Gabara,scott_gabara@nps.gov,Anthozoa,Monitored,invertebrate
National Park Service Channel Islands,Metridium spp. ,Scott Gabara,scott_gabara@nps.gov,Anthozoa,Monitored,invertebrate
National Park Service Channel Islands,Muricea farcimen,Scott Gabara,scott_gabara@nps.gov,Anthozoa,Monitored,invertebrate
National Park Service Channel Islands,Muricea fruticosa,Scott Gabara,scott_gabara@nps.gov,Anthozoa,Monitored,invertebrate
National Park Service Channel Islands,Urticina columbiana,Scott Gabara,scott_gabara@nps.gov,Anthozoa,Monitored,invertebrate
National Park Service Channel Islands,Urticina coriacea,Scott Gabara,scott_gabara@nps.gov,Anthozoa,Monitored,invertebrate
National Park Service Channel Islands,Urticina crassicornis,Scott Gabara,scott_gabara@nps.gov,Anthozoa,Monitored,invertebrate
National Park Service Channel Islands,Urticina lofotensis,Scott Gabara,scott_gabara@nps.gov,Anthozoa,Monitored,invertebrate
National Park Service Channel Islands,Urticina piscivora,Scott Gabara,scott_gabara@nps.gov,Anthozoa,Monitored,invertebrate
National Park Service Channel Islands,Balanus nubilus,Scott Gabara,scott_gabara@nps.gov,Arthropoda/Crustacea,Monitored,invertebrate
National Park Service Channel Islands,Cancer sp. ,Scott Gabara,scott_gabara@nps.gov,Arthropoda/Crustacea,Monitored,invertebrate
National Park Service Channel Islands,Panulirus interruptus,Scott Gabara,scott_gabara@nps.gov,Arthropoda/Crustacea,Monitored,invertebrate
National Park Service Channel Islands,Bugula californica,Scott Gabara,scott_gabara@nps.gov,Bryozoa,Monitored,invertebrate
National Park Service Channel Islands,Bugula neritina,Scott Gabara,scott_gabara@nps.gov,Bryozoa,Monitored,invertebrate
National Park Service Channel Islands,Celleporella sp.,Scott Gabara,scott_gabara@nps.gov,Bryozoa,Monitored,invertebrate
National Park Service Channel Islands,Costazia costazii,Scott Gabara,scott_gabara@nps.gov,Bryozoa,Monitored,invertebrate
National Park Service Channel Islands,Diaperoecia californica,Scott Gabara,scott_gabara@nps.gov,Bryozoa,Monitored,invertebrate
National Park Service Channel Islands,Disporella separata,Scott Gabara,scott_gabara@nps.gov,Bryozoa,Monitored,invertebrate
National Park Service Channel Islands,Heteropora pacifica,Scott Gabara,scott_gabara@nps.gov,Bryozoa,Monitored,invertebrate
National Park Service Channel Islands,Hipporina mexicana,Scott Gabara,scott_gabara@nps.gov,Bryozoa,Monitored,invertebrate
National Park Service Channel Islands,Membranipora villosa,Scott Gabara,scott_gabara@nps.gov,Bryozoa,Monitored,invertebrate
National Park Service Channel Islands,Phidolopora labiata,Scott Gabara,scott_gabara@nps.gov,Bryozoa,Monitored,invertebrate
National Park Service Channel Islands,Thalamoporella california,Scott Gabara,scott_gabara@nps.gov,Bryozoa,Monitored,invertebrate
National Park Service Channel Islands,Watersipora subatra,Scott Gabara,scott_gabara@nps.gov,Bryozoa,Monitored,invertebrate
National Park Service Channel Islands,Watersipora subtorquata,Scott Gabara,scott_gabara@nps.gov,Bryozoa,Monitored,invertebrate
National Park Service Channel Islands,Apostichopus californicus ,Scott Gabara,scott_gabara@nps.gov,Echinoderms,Monitored,invertebrate
National Park Service Channel Islands,Apostichopus parvimensis,Scott Gabara,scott_gabara@nps.gov,Echinoderms,Monitored,invertebrate
National Park Service Channel Islands,Arbacia stellata ,Scott Gabara,scott_gabara@nps.gov,Echinoderms,Monitored,invertebrate
National Park Service Channel Islands,Centrostephanus coronatus,Scott Gabara,scott_gabara@nps.gov,Echinoderms,Monitored,invertebrate
National Park Service Channel Islands,Cucumaria miniata,Scott Gabara,scott_gabara@nps.gov,Echinoderms,Monitored,invertebrate
National Park Service Channel Islands,Cucumaria piperata,Scott Gabara,scott_gabara@nps.gov,Echinoderms,Monitored,invertebrate
National Park Service Channel Islands,Cucumaria salma,Scott Gabara,scott_gabara@nps.gov,Echinoderms,Monitored,invertebrate
National Park Service Channel Islands,Dermasterias imbricata,Scott Gabara,scott_gabara@nps.gov,Echinoderms,Monitored,invertebrate
National Park Service Channel Islands,Linckia columbiae,Scott Gabara,scott_gabara@nps.gov,Echinoderms,Monitored,invertebrate
National Park Service Channel Islands,Lytechinus pictus,Scott Gabara,scott_gabara@nps.gov,Echinoderms,Monitored,invertebrate
National Park Service Channel Islands,Mesocentrotus franciscanus,Scott Gabara,scott_gabara@nps.gov,Echinoderms,Monitored,invertebrate
National Park Service Channel Islands,Ophiothrix spiculata,Scott Gabara,scott_gabara@nps.gov,Echinoderms,Monitored,invertebrate
National Park Service Channel Islands,Pachythyone rubra,Scott Gabara,scott_gabara@nps.gov,Echinoderms,Monitored,invertebrate
National Park Service Channel Islands,Patiria miniata ,Scott Gabara,scott_gabara@nps.gov,Echinoderms,Monitored,invertebrate
National Park Service Channel Islands,Pisaster giganteus,Scott Gabara,scott_gabara@nps.gov,Echinoderms,Monitored,invertebrate
National Park Service Channel Islands,Pisaster ochraceus,Scott Gabara,scott_gabara@nps.gov,Echinoderms,Monitored,invertebrate
National Park Service Channel Islands,Pycnopodia helianthoides ,Scott Gabara,scott_gabara@nps.gov,Echinoderms,Monitored,invertebrate
National Park Service Channel Islands,Strongylocentrotus purpuratus,Scott Gabara,scott_gabara@nps.gov,Echinoderms,Monitored,invertebrate
National Park Service Channel Islands,Abietinaria spp.,Scott Gabara,scott_gabara@nps.gov,Hydroids spp.,Monitored,invertebrate
National Park Service Channel Islands,Aglaophenia spp.,Scott Gabara,scott_gabara@nps.gov,Hydroids spp.,Monitored,invertebrate
National Park Service Channel Islands,Obelia spp.,Scott Gabara,scott_gabara@nps.gov,Hydroids spp.,Monitored,invertebrate
National Park Service Channel Islands,Plumularia spp.,Scott Gabara,scott_gabara@nps.gov,Hydroids spp.,Monitored,invertebrate
National Park Service Channel Islands,Stylaster californicus,Scott Gabara,scott_gabara@nps.gov,Hydrozoa,Monitored,invertebrate
National Park Service Channel Islands,Aplysia californica ,Scott Gabara,scott_gabara@nps.gov,Molluscs ,Monitored,invertebrate
National Park Service Channel Islands,Chaceia ovoidea,Scott Gabara,scott_gabara@nps.gov,Molluscs ,Monitored,invertebrate
National Park Service Channel Islands,Crassadoma gigantea,Scott Gabara,scott_gabara@nps.gov,Molluscs ,Monitored,invertebrate
National Park Service Channel Islands,Crossata californica,Scott Gabara,scott_gabara@nps.gov,Molluscs ,Monitored,invertebrate
National Park Service Channel Islands,Cryptochiton stelleri,Scott Gabara,scott_gabara@nps.gov,Molluscs ,Monitored,invertebrate
National Park Service Channel Islands,Enteroctopus dofleini,Scott Gabara,scott_gabara@nps.gov,Molluscs ,Monitored,invertebrate
National Park Service Channel Islands,Haliotis assimilis,Scott Gabara,scott_gabara@nps.gov,Molluscs ,Monitored,invertebrate
National Park Service Channel Islands,Haliotis corrugata,Scott Gabara,scott_gabara@nps.gov,Molluscs ,Monitored,invertebrate
National Park Service Channel Islands,Haliotis fulgens,Scott Gabara,scott_gabara@nps.gov,Molluscs ,Monitored,invertebrate
National Park Service Channel Islands,Haliotis rufescens ,Scott Gabara,scott_gabara@nps.gov,Molluscs ,Monitored,invertebrate
National Park Service Channel Islands,Haliotis sorenseni,Scott Gabara,scott_gabara@nps.gov,Molluscs ,Monitored,invertebrate
National Park Service Channel Islands,Kelletia kelletii ,Scott Gabara,scott_gabara@nps.gov,Molluscs ,Monitored,invertebrate
National Park Service Channel Islands,Megastraea undosa,Scott Gabara,scott_gabara@nps.gov,Molluscs ,Monitored,invertebrate
National Park Service Channel Islands,Megathura crenulata ,Scott Gabara,scott_gabara@nps.gov,Molluscs ,Monitored,invertebrate
National Park Service Channel Islands,Neobernaya spadicea,Scott Gabara,scott_gabara@nps.gov,Molluscs ,Monitored,invertebrate
National Park Service Channel Islands,Octopus bimaculatus,Scott Gabara,scott_gabara@nps.gov,Molluscs ,Monitored,invertebrate
National Park Service Channel Islands,Octopus rubescens,Scott Gabara,scott_gabara@nps.gov,Molluscs ,Monitored,invertebrate
National Park Service Channel Islands,Pomaulax gibberosus,Scott Gabara,scott_gabara@nps.gov,Molluscs ,Monitored,invertebrate
National Park Service Channel Islands,Tegula regina ,Scott Gabara,scott_gabara@nps.gov,Molluscs ,Monitored,invertebrate
National Park Service Channel Islands,Thylacodes squamigerus,Scott Gabara,scott_gabara@nps.gov,Molluscs ,Monitored,invertebrate
National Park Service Channel Islands,Acanthancora cyanocrypta,Scott Gabara,scott_gabara@nps.gov,Porifera,Monitored,invertebrate
National Park Service Channel Islands,Clathria pennata,Scott Gabara,scott_gabara@nps.gov,Porifera,Monitored,invertebrate
National Park Service Channel Islands,Haliclona permollis,Scott Gabara,scott_gabara@nps.gov,Porifera,Monitored,invertebrate
National Park Service Channel Islands,Leucandra losangelensis,Scott Gabara,scott_gabara@nps.gov,Porifera,Monitored,invertebrate
National Park Service Channel Islands,Leucilla nuttingi,Scott Gabara,scott_gabara@nps.gov,Porifera,Monitored,invertebrate
National Park Service Channel Islands,Leucosolenia elanor,Scott Gabara,scott_gabara@nps.gov,Porifera,Monitored,invertebrate
National Park Service Channel Islands,Plocamia karykina,Scott Gabara,scott_gabara@nps.gov,Porifera,Monitored,invertebrate
National Park Service Channel Islands,Polymastia pachymastia,Scott Gabara,scott_gabara@nps.gov,Porifera,Monitored,invertebrate
National Park Service Channel Islands,Polymastia pacifica,Scott Gabara,scott_gabara@nps.gov,Porifera,Monitored,invertebrate
National Park Service Channel Islands,Spheciospongia confoederata,Scott Gabara,scott_gabara@nps.gov,Porifera,Monitored,invertebrate
National Park Service Channel Islands,Tethya californiana,Scott Gabara,scott_gabara@nps.gov,Porifera,Monitored,invertebrate
National Park Service Channel Islands,Aplidium solidum,Scott Gabara,scott_gabara@nps.gov,Tunicate,Monitored,invertebrate
National Park Service Channel Islands,Aplidium sp.,Scott Gabara,scott_gabara@nps.gov,Tunicate,Monitored,invertebrate
National Park Service Channel Islands,Archidistoma psammion,Scott Gabara,scott_gabara@nps.gov,Tunicate,Monitored,invertebrate
National Park Service Channel Islands,Clavelina huntsmani,Scott Gabara,scott_gabara@nps.gov,Tunicate,Monitored,invertebrate
National Park Service Channel Islands,Cystodes lobatus,Scott Gabara,scott_gabara@nps.gov,Tunicate,Monitored,invertebrate
National Park Service Channel Islands,Pycnoclavella stanleyi,Scott Gabara,scott_gabara@nps.gov,Tunicate,Monitored,invertebrate
National Park Service Channel Islands,Styela montereyensis ,Scott Gabara,scott_gabara@nps.gov,Tunicate,Monitored,invertebrate
