Project Request,Scientific name,Point of Contact for Submission,Email,Common Name,Survey Type,species_code
NMFS AFSC GAP Survey,Beringraja rhina egg case,Emily Markowtiz,emily.markowitz@noaa.gov,longnose skate egg case,Encountered,441
NMFS AFSC GAP Survey,Amblyraja hyperborea,Emily Markowtiz,emily.markowitz@noaa.gov,roughshoulder skate,Encountered,445
NMFS AFSC GAP Survey,Amblyraja hyperborea egg case,Emily Markowtiz,emily.markowitz@noaa.gov,roughshoulder skate egg case,Encountered,446
NMFS AFSC GAP Survey,Beringraja stellulata,Emily Markowtiz,emily.markowitz@noaa.gov,starry skate,Encountered,450
NMFS AFSC GAP Survey,Bathyraja taranetzi,Emily Markowtiz,emily.markowitz@noaa.gov,mud skate,Encountered,455
NMFS AFSC GAP Survey,Bathyraja taranetzi egg case,Emily Markowtiz,emily.markowitz@noaa.gov,mud skate egg case,Encountered,456
NMFS AFSC GAP Survey,Bathyraja trachura,Emily Markowtiz,emily.markowitz@noaa.gov,roughtail skate,Encountered,460
NMFS AFSC GAP Survey,Bathyraja trachura egg case,Emily Markowtiz,emily.markowitz@noaa.gov,roughtail skate egg case,Encountered,461
NMFS AFSC GAP Survey,Arctoraja parmifera,Emily Markowtiz,emily.markowitz@noaa.gov,Alaska skate,Encountered,471
NMFS AFSC GAP Survey,Bathyraja aleutica,Emily Markowtiz,emily.markowitz@noaa.gov,Aleutian skate,Encountered,472
NMFS AFSC GAP Survey,Bathyraja aleutica egg case,Emily Markowtiz,emily.markowitz@noaa.gov,Aleutian skate egg case,Encountered,473
NMFS AFSC GAP Survey,Arctoraja parmifera egg case,Emily Markowtiz,emily.markowitz@noaa.gov,Alaska skate egg case,Encountered,474
NMFS AFSC GAP Survey,Bathyraja lindbergi,Emily Markowtiz,emily.markowitz@noaa.gov,Commander skate,Encountered,475
NMFS AFSC GAP Survey,Bathyraja lindbergi egg case,Emily Markowtiz,emily.markowitz@noaa.gov,Commander skate egg case,Encountered,476
NMFS AFSC GAP Survey,Bathyraja panthera,Emily Markowtiz,emily.markowitz@noaa.gov,leopard skate,Encountered,477
NMFS AFSC GAP Survey,Bathyraja panthera egg case,Emily Markowtiz,emily.markowitz@noaa.gov,leopard skate egg case,Encountered,478
NMFS AFSC GAP Survey,Bathyraja maculata,Emily Markowtiz,emily.markowitz@noaa.gov,whiteblotched skate,Encountered,480
NMFS AFSC GAP Survey,Bathyraja maculata egg case,Emily Markowtiz,emily.markowitz@noaa.gov,whiteblotched skate egg case,Encountered,481
NMFS AFSC GAP Survey,Bathyraja mariposa,Emily Markowtiz,emily.markowitz@noaa.gov,butterfly skate,Encountered,483
NMFS AFSC GAP Survey,Bathyraja mariposa egg case,Emily Markowtiz,emily.markowitz@noaa.gov,butterfly skate egg case,Encountered,484
NMFS AFSC GAP Survey,Bathyraja minispinosa,Emily Markowtiz,emily.markowitz@noaa.gov,whitebrow skate,Encountered,485
NMFS AFSC GAP Survey,Bathyraja minispinosa egg case,Emily Markowtiz,emily.markowitz@noaa.gov,whitebrow skate egg case,Encountered,486
NMFS AFSC GAP Survey,Bathyraja smirnovi,Emily Markowtiz,emily.markowitz@noaa.gov,golden skate,Encountered,490
NMFS AFSC GAP Survey,Bathyraja violacea,Emily Markowtiz,emily.markowitz@noaa.gov,Okhotsk skate,Encountered,495
NMFS AFSC GAP Survey,Tetronarce californica,Emily Markowtiz,emily.markowitz@noaa.gov,Pacific electric ray,Encountered,610
NMFS AFSC GAP Survey,Hydrolagus colliei,Emily Markowtiz,emily.markowitz@noaa.gov,spotted ratfish,Encountered,710
NMFS AFSC GAP Survey,Hydrolagus colliei egg case,Emily Markowtiz,emily.markowitz@noaa.gov,spotted ratfish egg case,Encountered,711
NMFS AFSC GAP Survey,Pleuronectiformes,Emily Markowtiz,emily.markowitz@noaa.gov,flatfish unid.,Encountered,10001
NMFS AFSC GAP Survey,Pleuronectiformes larvae,Emily Markowtiz,emily.markowitz@noaa.gov,flatfish larvae,Encountered,10002
NMFS AFSC GAP Survey,Bothidae,Emily Markowtiz,emily.markowitz@noaa.gov,lefteye flounder unid.,Encountered,10003
NMFS AFSC GAP Survey,Citharichthys sp.,Emily Markowtiz,emily.markowitz@noaa.gov,sanddab unid.,Encountered,10008
NMFS AFSC GAP Survey,Citharichthys xanthostigma,Emily Markowtiz,emily.markowitz@noaa.gov,longfin sanddab,Encountered,10009
NMFS AFSC GAP Survey,Citharichthys sordidus,Emily Markowtiz,emily.markowitz@noaa.gov,Pacific sanddab,Encountered,10010
NMFS AFSC GAP Survey,Citharichthys stigmaeus,Emily Markowtiz,emily.markowitz@noaa.gov,speckled sanddab,Encountered,10020
NMFS AFSC GAP Survey,Hippoglossina stomata,Emily Markowtiz,emily.markowitz@noaa.gov,bigmouth sole,Encountered,10041
NMFS AFSC GAP Survey,Paralichthys californicus,Emily Markowtiz,emily.markowitz@noaa.gov,California halibut,Encountered,10050
NMFS AFSC GAP Survey,Xystreurys liolepis,Emily Markowtiz,emily.markowitz@noaa.gov,fantail sole,Encountered,10060
NMFS AFSC GAP Survey,Pleuronectidae,Emily Markowtiz,emily.markowitz@noaa.gov,righteye flounder unid.,Encountered,10100
NMFS AFSC GAP Survey,Atheresthes stomias,Emily Markowtiz,emily.markowitz@noaa.gov,arrowtooth flounder,Encountered,10110
NMFS AFSC GAP Survey,Atheresthes sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,10111
NMFS AFSC GAP Survey,Atheresthes evermanni,Emily Markowtiz,emily.markowitz@noaa.gov,Kamchatka flounder,Encountered,10112
NMFS AFSC GAP Survey,Reinhardtius hippoglossoides,Emily Markowtiz,emily.markowitz@noaa.gov,Greenland turbot,Encountered,10115
NMFS AFSC GAP Survey,Reinhardtius hippoglossoides (juvenile),Emily Markowtiz,emily.markowitz@noaa.gov,Greenland turbot (juvenile),Encountered,10116
NMFS AFSC GAP Survey,Hippoglossus stenolepis,Emily Markowtiz,emily.markowitz@noaa.gov,Pacific halibut,Encountered,10120
NMFS AFSC GAP Survey,Hippoglossus stenolepis (juvenile),Emily Markowtiz,emily.markowitz@noaa.gov,Pacific halibut (juvenile),Encountered,10121
NMFS AFSC GAP Survey,Parophrys vetulus X Platichthys stellatus hybrid,Emily Markowtiz,emily.markowitz@noaa.gov,hybrid sole,Encountered,10122
NMFS AFSC GAP Survey,Hippoglossoides sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,10129
NMFS AFSC GAP Survey,Hippoglossoides elassodon,Emily Markowtiz,emily.markowitz@noaa.gov,flathead sole,Encountered,10130
NMFS AFSC GAP Survey,Hippoglossoides robustus,Emily Markowtiz,emily.markowitz@noaa.gov,Bering flounder,Encountered,10140
NMFS AFSC GAP Survey,Alepocephalidae,Emily Markowtiz,emily.markowitz@noaa.gov,slickhead unid.,Encountered,20100
NMFS AFSC GAP Survey,Asquamiceps caeruleus,Emily Markowtiz,emily.markowitz@noaa.gov,caerulean slickhead,Encountered,20105
NMFS AFSC GAP Survey,Alepocephalus sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,20110
NMFS AFSC GAP Survey,Alepocephalus tenebrosus,Emily Markowtiz,emily.markowitz@noaa.gov,California slickhead,Encountered,20120
NMFS AFSC GAP Survey,Bajacalifornia burragei,Emily Markowtiz,emily.markowitz@noaa.gov,sharpchin slickhead,Encountered,20121
NMFS AFSC GAP Survey,Bajacalifornia megalops,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,20122
NMFS AFSC GAP Survey,Rouleina attrita,Emily Markowtiz,emily.markowitz@noaa.gov,softskin slickhead,Encountered,20130
NMFS AFSC GAP Survey,Talismania bifurcata,Emily Markowtiz,emily.markowitz@noaa.gov,threadfin slickhead,Encountered,20150
NMFS AFSC GAP Survey,Maulisia sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,20179
NMFS AFSC GAP Survey,Maulisia mauli,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,20180
NMFS AFSC GAP Survey,Maulisia argipalla,Emily Markowtiz,emily.markowitz@noaa.gov,pitted tubeshoulder,Encountered,20181
NMFS AFSC GAP Survey,Ammodytes sp.,Emily Markowtiz,emily.markowitz@noaa.gov,sand lance unid.,Encountered,20202
NMFS AFSC GAP Survey,Ammodytes hexapterus,Emily Markowtiz,emily.markowitz@noaa.gov,Arctic sand lance,Encountered,20203
NMFS AFSC GAP Survey,Ammodytes personatus,Emily Markowtiz,emily.markowitz@noaa.gov,Pacific sand lance,Encountered,20204
NMFS AFSC GAP Survey,Anarrhichthys ocellatus,Emily Markowtiz,emily.markowitz@noaa.gov,wolf-eel,Encountered,20320
NMFS AFSC GAP Survey,Anarhichas orientalis,Emily Markowtiz,emily.markowitz@noaa.gov,Bering wolffish,Encountered,20322
NMFS AFSC GAP Survey,Anoplogaster cornuta,Emily Markowtiz,emily.markowitz@noaa.gov,fangtooth,Encountered,20420
NMFS AFSC GAP Survey,Anoplopoma fimbria,Emily Markowtiz,emily.markowitz@noaa.gov,sablefish,Encountered,20510
NMFS AFSC GAP Survey,Aulorhynchus flavidus,Emily Markowtiz,emily.markowitz@noaa.gov,tube-snout,Encountered,20542
NMFS AFSC GAP Survey,Argentiniformes,Emily Markowtiz,emily.markowitz@noaa.gov,marine smelts,Encountered,20570
NMFS AFSC GAP Survey,Argentinidae,Emily Markowtiz,emily.markowitz@noaa.gov,argentine unid.,Encountered,20571
NMFS AFSC GAP Survey,Nansenia candida,Emily Markowtiz,emily.markowitz@noaa.gov,bluethroat argentine,Encountered,20572
NMFS AFSC GAP Survey,Argentina sialis,Emily Markowtiz,emily.markowitz@noaa.gov,Pacific argentine,Encountered,20573
NMFS AFSC GAP Survey,Atherinidae,Emily Markowtiz,emily.markowitz@noaa.gov,silverside unid.,Encountered,20575
NMFS AFSC GAP Survey,Atherinops affinis,Emily Markowtiz,emily.markowitz@noaa.gov,topsmelt,Encountered,20576
NMFS AFSC GAP Survey,Atherinopsis californiensis,Emily Markowtiz,emily.markowitz@noaa.gov,jacksmelt,Encountered,20577
NMFS AFSC GAP Survey,Engraulis mordax,Emily Markowtiz,emily.markowitz@noaa.gov,northern anchovy,Encountered,20610
NMFS AFSC GAP Survey,Bathylagidae,Emily Markowtiz,emily.markowitz@noaa.gov,deepsea smelt unid.,Encountered,20614
NMFS AFSC GAP Survey,Bathylagus pacificus,Emily Markowtiz,emily.markowitz@noaa.gov,Pacific blacksmelt,Encountered,20615
NMFS AFSC GAP Survey,Bathylagus sp.,Emily Markowtiz,emily.markowitz@noaa.gov,blacksmelt unid.,Encountered,20619
NMFS AFSC GAP Survey,Pseudobathylagus milleri,Emily Markowtiz,emily.markowitz@noaa.gov,robust blacksmelt,Encountered,20620
NMFS AFSC GAP Survey,Leuroglossus schmidti,Emily Markowtiz,emily.markowitz@noaa.gov,northern smoothtongue,Encountered,20622
NMFS AFSC GAP Survey,Lipolagus ochotensis,Emily Markowtiz,emily.markowitz@noaa.gov,popeye blacksmelt,Encountered,20624
NMFS AFSC GAP Survey,Leuroglossus sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,20660
NMFS AFSC GAP Survey,Leuroglossus stilbius,Emily Markowtiz,emily.markowitz@noaa.gov,California smoothtongue,Encountered,20662
NMFS AFSC GAP Survey,Bathymasteridae,Emily Markowtiz,emily.markowitz@noaa.gov,ronquil unid.,Encountered,20700
NMFS AFSC GAP Survey,Ronquilus jordani,Emily Markowtiz,emily.markowitz@noaa.gov,northern ronquil,Encountered,20702
NMFS AFSC GAP Survey,Bathymaster caeruleofasciatus,Emily Markowtiz,emily.markowitz@noaa.gov,Alaskan ronquil,Encountered,20712
NMFS AFSC GAP Survey,Bathymaster leurolepis,Emily Markowtiz,emily.markowitz@noaa.gov,smallmouth ronquil,Encountered,20713
NMFS AFSC GAP Survey,Bathymaster signatus,Emily Markowtiz,emily.markowitz@noaa.gov,searcher,Encountered,20720
NMFS AFSC GAP Survey,Bathymaster derjugini,Emily Markowtiz,emily.markowitz@noaa.gov,bluecheek ronquil,Encountered,20722
NMFS AFSC GAP Survey,Rathbunella hypoplecta,Emily Markowtiz,emily.markowitz@noaa.gov,smooth ronquil,Encountered,20731
NMFS AFSC GAP Survey,Porichthys notatus,Emily Markowtiz,emily.markowitz@noaa.gov,plainfin midshipman,Encountered,20801
NMFS AFSC GAP Survey,Porichthys sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,20802
NMFS AFSC GAP Survey,Batrachoididae,Emily Markowtiz,emily.markowitz@noaa.gov,toadfishes,Encountered,20803
NMFS AFSC GAP Survey,Brama japonica,Emily Markowtiz,emily.markowitz@noaa.gov,Pacific pomfret,Encountered,20842
NMFS AFSC GAP Survey,Bathylaco nigricans,Emily Markowtiz,emily.markowitz@noaa.gov,bonythroat,Encountered,20871
NMFS AFSC GAP Survey,Ophidiidae,Emily Markowtiz,emily.markowitz@noaa.gov,cusk-eel unid.,Encountered,20900
NMFS AFSC GAP Survey,Chilara taylori,Emily Markowtiz,emily.markowitz@noaa.gov,spotted cusk-eel,Encountered,20901
NMFS AFSC GAP Survey,Ophidion scrippsae,Emily Markowtiz,emily.markowitz@noaa.gov,basketweave cusk-eel,Encountered,20902
NMFS AFSC GAP Survey,Lamprogrammus niger,Emily Markowtiz,emily.markowitz@noaa.gov,paperbone cusk-eel,Encountered,20905
NMFS AFSC GAP Survey,Dicrolene sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,20908
NMFS AFSC GAP Survey,Dicrolene filamentosa,Emily Markowtiz,emily.markowitz@noaa.gov,threadfin cusk-eel,Encountered,20910
NMFS AFSC GAP Survey,Melanonus zugmayeri,Emily Markowtiz,emily.markowitz@noaa.gov,arrowtail,Encountered,20915
NMFS AFSC GAP Survey,Bassozetus zenkevitchi,Emily Markowtiz,emily.markowitz@noaa.gov,pelagic assfish,Encountered,20916
NMFS AFSC GAP Survey,Cataetyx sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,20920
NMFS AFSC GAP Survey,Cataetyx rubrirostris,Emily Markowtiz,emily.markowitz@noaa.gov,rubynose brotula,Encountered,20921
NMFS AFSC GAP Survey,Brosmophycis marginata,Emily Markowtiz,emily.markowitz@noaa.gov,red brotula,Encountered,20930
NMFS AFSC GAP Survey,Trachurus symmetricus,Emily Markowtiz,emily.markowitz@noaa.gov,jack mackerel,Encountered,20952
NMFS AFSC GAP Survey,Ceratioidei,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,20960
NMFS AFSC GAP Survey,Scorpaenichthys marmoratus,Emily Markowtiz,emily.markowitz@noaa.gov,cabezon,Encountered,21330
NMFS AFSC GAP Survey,Artediellus sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,21331
NMFS AFSC GAP Survey,Artediellus miacanthus,Emily Markowtiz,emily.markowitz@noaa.gov,bride sculpin,Encountered,21332
NMFS AFSC GAP Survey,Artediellus pacificus,Emily Markowtiz,emily.markowitz@noaa.gov,hookhorn sculpin,Encountered,21333
NMFS AFSC GAP Survey,Artediellus scaber,Emily Markowtiz,emily.markowitz@noaa.gov,hamecon,Encountered,21334
NMFS AFSC GAP Survey,Artediellus uncinatus,Emily Markowtiz,emily.markowitz@noaa.gov,Arctic hookear sculpin,Encountered,21335
NMFS AFSC GAP Survey,Artediellus gomojunovi,Emily Markowtiz,emily.markowitz@noaa.gov,spinyhook sculpin,Encountered,21336
NMFS AFSC GAP Survey,Bolinia euryptera,Emily Markowtiz,emily.markowitz@noaa.gov,broadfin sculpin,Encountered,21337
NMFS AFSC GAP Survey,Malacocottus aleuticus,Emily Markowtiz,emily.markowitz@noaa.gov,whitetail sculpin,Encountered,21338
NMFS AFSC GAP Survey,Malacocottus sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,21339
NMFS AFSC GAP Survey,Malacocottus kincaidi,Emily Markowtiz,emily.markowitz@noaa.gov,blackfin sculpin,Encountered,21340
NMFS AFSC GAP Survey,Malacocottus zonurus,Emily Markowtiz,emily.markowitz@noaa.gov,darkfin sculpin,Encountered,21341
NMFS AFSC GAP Survey,Hemilepidotus sp.,Emily Markowtiz,emily.markowitz@noaa.gov,Irish lord,Encountered,21342
NMFS AFSC GAP Survey,Hemilepidotus gilberti,Emily Markowtiz,emily.markowitz@noaa.gov,banded Irish lord,Encountered,21343
NMFS AFSC GAP Survey,Hemilepidotus spinosus,Emily Markowtiz,emily.markowitz@noaa.gov,brown Irish lord,Encountered,21344
NMFS AFSC GAP Survey,Hemilepidotus zapus,Emily Markowtiz,emily.markowitz@noaa.gov,longfin Irish lord,Encountered,21345
NMFS AFSC GAP Survey,Hemilepidotus hemilepidotus,Emily Markowtiz,emily.markowitz@noaa.gov,red Irish lord,Encountered,21346
NMFS AFSC GAP Survey,Hemilepidotus jordani,Emily Markowtiz,emily.markowitz@noaa.gov,yellow Irish lord,Encountered,21347
NMFS AFSC GAP Survey,Hemilepidotus papilio,Emily Markowtiz,emily.markowitz@noaa.gov,butterfly sculpin,Encountered,21348
NMFS AFSC GAP Survey,Archistes plumarius,Emily Markowtiz,emily.markowitz@noaa.gov,plumed sculpin,Encountered,21349
NMFS AFSC GAP Survey,Melanocetus johnsonii,Emily Markowtiz,emily.markowitz@noaa.gov,common blackdevil,Encountered,20971
NMFS AFSC GAP Survey,Ceratiidae,Emily Markowtiz,emily.markowitz@noaa.gov,seadevils unid.,Encountered,20980
NMFS AFSC GAP Survey,Cryptopsaras couesii,Emily Markowtiz,emily.markowitz@noaa.gov,triplewart seadevil,Encountered,20981
NMFS AFSC GAP Survey,Cetomimidae,Emily Markowtiz,emily.markowitz@noaa.gov,flabby whalefishes,Encountered,20990
NMFS AFSC GAP Survey,Rondeletia loricata,Emily Markowtiz,emily.markowitz@noaa.gov,armored redmouth whalefish,Encountered,20995
NMFS AFSC GAP Survey,Chauliodontinae,Emily Markowtiz,emily.markowitz@noaa.gov,viperfish unid.,Encountered,21000
NMFS AFSC GAP Survey,Chauliodus sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,21009
NMFS AFSC GAP Survey,Chauliodus macouni,Emily Markowtiz,emily.markowitz@noaa.gov,Pacific viperfish,Encountered,21010
NMFS AFSC GAP Survey,Clupea pallasii,Emily Markowtiz,emily.markowitz@noaa.gov,Pacific herring,Encountered,21110
NMFS AFSC GAP Survey,Alosa sapidissima,Emily Markowtiz,emily.markowitz@noaa.gov,American shad,Encountered,21120
NMFS AFSC GAP Survey,Sardinops sagax,Emily Markowtiz,emily.markowitz@noaa.gov,Pacific sardine,Encountered,21130
NMFS AFSC GAP Survey,Gigantactis sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,21150
NMFS AFSC GAP Survey,Macrouridae,Emily Markowtiz,emily.markowitz@noaa.gov,grenadier unid.,Encountered,21200
