Project Requested,scientific_name,Point of Contact for Submission,Email,Common Name,Survey Type,Phylum,Subphylum,Superclass,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,species,Describer,Taxon
SCAMMIT List,SILICEA,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,,,,,,,,,,,,,,,,SILICEA
SCAMMIT List,Chalinidae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Haplosclerida,,,,Chalinidae,,,,,,,Chalinidae
SCAMMIT List,Chalinula sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Haplosclerida,,,,Chalinidae,,,Chalinula,,,,Chalinula sp
SCAMMIT List,Chalinula ecbasis,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Haplosclerida,,,,Chalinidae,,,Chalinula,,ecbasis,(de Laubenfels 1930),Chalinula ecbasis
SCAMMIT List,Chalinula loosanoffi,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Haplosclerida,,,,Chalinidae,,,Chalinula,,loosanoffi,(Hartman 1958),Chalinula loosanoffi
SCAMMIT List,Haliclona sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Haplosclerida,,,,Chalinidae,,,Haliclona,,,,Haliclona sp
SCAMMIT List,Haliclona (Flagellia) edaphus,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Haplosclerida,,,,Chalinidae,,,Haliclona,(Flagellia),edaphus,(de Laubenfels 1930),Haliclona (Flagellia) edaphus
SCAMMIT List,Haliclona (Halichoclona) gellindra,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Haplosclerida,,,,Chalinidae,,,Haliclona,(Halichoclona),gellindra,(de Laubenfels 1932),Haliclona (Halichoclona) gellindra
SCAMMIT List,Haliclona (Rhizoniera) enamela,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Haplosclerida,,,,Chalinidae,,,Haliclona,(Rhizoniera),enamela,de Laubenfels 1930,Haliclona (Rhizoniera) enamela
SCAMMIT List,Niphatidae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Haplosclerida,,,,Niphatidae,,,,,,,Niphatidae
SCAMMIT List,Niphates sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Haplosclerida,,,,Niphatidae,,,Niphates,,,,Niphates sp
SCAMMIT List,Niphates lunisimilis,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Haplosclerida,,,,Niphatidae,,,Niphates,,lunisimilis,(de Laubenfels 1930),Niphates lunisimilis
SCAMMIT List,Petrosiidae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Haplosclerida,,,,Petrosiidae,,,,,,,Petrosiidae
SCAMMIT List,Neopetrosia sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Haplosclerida,,,,Petrosiidae,,,Neopetrosia,,,,Neopetrosia sp
SCAMMIT List,Neopetrosia zumi,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Haplosclerida,,,,Petrosiidae,,,Neopetrosia,,zumi,(Ristau 1978),Neopetrosia zumi
SCAMMIT List,Xestospongia sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Haplosclerida,,,,Petrosiidae,,,Xestospongia,,,,Xestospongia sp
SCAMMIT List,Xestospongia dubia,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Haplosclerida,,,,Petrosiidae,,,Xestospongia,,dubia,(Ristau 1978),Xestospongia dubia
SCAMMIT List,Axinellida,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Axinellida,,,,,,,,,,,Axinellida
SCAMMIT List,Axinellidae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Axinellida,,,,Axinellidae,,,,,,,Axinellidae
SCAMMIT List,Axinella,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Axinellida,,,,Axinellidae,,,Axinella,,,,Axinella
SCAMMIT List,Axinella sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Axinellida,,,,Axinellidae,,,Axinella,,sp,,Axinella sp
SCAMMIT List,Dragmacidon,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Axinellida,,,,Axinellidae,,,Dragmacidon,,,,Dragmacidon
SCAMMIT List,Dragmacidon sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Axinellida,,,,Axinellidae,,,Dragmacidon,,sp,,Dragmacidon sp
SCAMMIT List,Raspailiidae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Axinellida,,,,Raspailiidae,,,,,,,Raspailiidae
SCAMMIT List,Raspailiinae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Axinellida,,,,Raspailiidae,Raspailiinae,,,,,,Raspailiinae
SCAMMIT List,Raspailia sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Axinellida,,,,Raspailiidae,Raspailiinae,,Raspailia,,,,Raspailia sp
SCAMMIT List,Raspailia (Raspaxilla) hyle,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Axinellida,,,,Raspailiidae,Raspailiinae,,Raspailia,(Raspaxilla),hyle,de Laubenfels 1930,Raspailia (Raspaxilla) hyle
SCAMMIT List,Cyamoninae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Axinellida,,,,Raspailiidae,Cyamoninae,,,,,,Cyamoninae
SCAMMIT List,Cyamon sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Axinellida,,,,Raspailiidae,Cyamoninae,,Cyamon,,,,Cyamon sp
SCAMMIT List,Cyamon neon,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Axinellida,,,,Raspailiidae,Cyamoninae,,Cyamon,,neon,de Laubenfels 1930,Cyamon neon
SCAMMIT List,Trikentrion sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Axinellida,,,,Raspailiidae,Cyamoninae,,Trikentrion,,,,Trikentrion sp
SCAMMIT List,Trikentrion catalina,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Axinellida,,,,Raspailiidae,Cyamoninae,,Trikentrion,,catalina,(Sim & Bakus 1986),Trikentrion catalina
SCAMMIT List,Stelligeridae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Axinellida,,,,Stelligeridae,,,,,,,Stelligeridae
SCAMMIT List,Higginsia,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Axinellida,,,,Stelligeridae,,,Higginsia,,,,Higginsia
SCAMMIT List,Higginsia sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Axinellida,,,,Stelligeridae,,,Higginsia,,sp,,Higginsia sp
SCAMMIT List,Tetractinellida,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,,,,,,,,,,,Tetractinellida
SCAMMIT List,Spirophorina,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Spirophorina,,,,,,,,,,Spirophorina
SCAMMIT List,Tetillidae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Spirophorina,,,Tetillidae,,,,,,,Tetillidae
SCAMMIT List,Craniella sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Spirophorina,,,Tetillidae,,,Craniella,,,,Craniella sp
SCAMMIT List,Craniella arb,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Spirophorina,,,Tetillidae,,,Craniella,,arb,(de Laubenfels 1930),Craniella arb
SCAMMIT List,Astrophorina,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Astrophorina,,,,,,,,,,Astrophorina
SCAMMIT List,Ancorinidae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Astrophorina,,,Ancorinidae,,,,,,,Ancorinidae
SCAMMIT List,Stelletta sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Astrophorina,,,Ancorinidae,,,Stelletta,,,,Stelletta sp
SCAMMIT List,Stelletta clarella,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Astrophorina,,,Ancorinidae,,,Stelletta,,clarella,de Laubenfels 1930,Stelletta clarella
SCAMMIT List,Geodiidae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Astrophorina,,,Geodiidae,,,,,,,Geodiidae
SCAMMIT List,Geodiinae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Astrophorina,,,Geodiidae,Geodiinae,,,,,,Geodiinae
SCAMMIT List,Geodia sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Astrophorina,,,Geodiidae,Geodiinae,,Geodia,,,,Geodia sp
SCAMMIT List,Geodia gibberosa,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Astrophorina,,,Geodiidae,Geodiinae,,Geodia,,gibberosa,Lamarck 1815,Geodia gibberosa
SCAMMIT List,Geodia mesotriaena,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Astrophorina,,,Geodiidae,Geodiinae,,Geodia,,mesotriaena,von Ledenfeld 1910,Geodia mesotriaena
SCAMMIT List,Erylinae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Astrophorina,,,Geodiidae,Erylinae,,,,,,Erylinae
SCAMMIT List,Penares sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Astrophorina,,,Geodiidae,Erylinae,,Penares,,,,Penares sp
SCAMMIT List,Penares cortius,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Astrophorina,,,Geodiidae,Erylinae,,Penares,,cortius,de Laubenfels 1930,Penares cortius
SCAMMIT List,Penares saccharis,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Astrophorina,,,Geodiidae,Erylinae,,Penares,,saccharis,(de Laubenfels 1930),Penares saccharis
SCAMMIT List,Vulcanellidae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Astrophorina,,,Vulcanellidae,,,,,,,Vulcanellidae
SCAMMIT List,Poecillastra sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Astrophorina,,,Vulcanellidae,,,Poecillastra,,,,Poecillastra sp
SCAMMIT List,Poecillastra tenuilaminaris,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Astrophorina,,,Vulcanellidae,,,Poecillastra,,tenuilaminaris,(Sollas 1886),Poecillastra tenuilaminaris
SCAMMIT List,Vulcanella sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Astrophorina,,,Vulcanellidae,,,Vulcanella,,,,Vulcanella sp
SCAMMIT List,Vulcanella sp A,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Astrophorina,,,Vulcanellidae,,,Vulcanella,,sp A,(Green & Bakus 1994),Vulcanella sp A
SCAMMIT List,Poecilosclerida,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Poecilosclerida,,,,,,,,,,,Poecilosclerida
SCAMMIT List,Acarnidae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Poecilosclerida,,,,Acarnidae,,,,,,,Acarnidae
SCAMMIT List,Acarnus sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Poecilosclerida,,,,Acarnidae,,,Acarnus,,,,Acarnus sp
SCAMMIT List,Acarnus erithacus,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Poecilosclerida,,,,Acarnidae,,,Acarnus,,erithacus,de Laubenfels 1927,Acarnus erithacus
SCAMMIT List,Iophon sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Poecilosclerida,,,,Acarnidae,,,Iophon,,,,Iophon sp
SCAMMIT List,Iophon rayae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Poecilosclerida,,,,Acarnidae,,,Iophon,,rayae,(Bakus 1966),Iophon rayae
