Project Requested,scientific_name,Point of Contact for Submission,Email,Common Name,Survey Type,Family,ScientificNameAuthorship,Notes,TaxonId
InvertEBase Marine Invertebrates of California,Anthopleura artemisia,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINIIDAE,"(Pickering in Dana, 1846)",,34916
InvertEBase Marine Invertebrates of California,Anthopleura elegantissima,Dean Pentcheff,pentcheff@gmail.com ,clonal anemone,Inventory,ACTINIIDAE,"(Brandt, 1835)",,34914
InvertEBase Marine Invertebrates of California,Anthopleura sola,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINIIDAE,"Pearse and Francis, 2000",,35505
InvertEBase Marine Invertebrates of California,Anthopleura xanthogrammica,Dean Pentcheff,pentcheff@gmail.com ,giant green anemone,Inventory,ACTINIIDAE,"(Brandt, 1835)",,34915
InvertEBase Marine Invertebrates of California,Aulactinia incubans,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINIIDAE,"Dunn, Chia & Levine, 1980",,116430
InvertEBase Marine Invertebrates of California,Bolocera kensmithi,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINIIDAE,"Eash-Loucks & Fautin, 2012",,116684
InvertEBase Marine Invertebrates of California,Bolocera pannosa,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINIIDAE,"McMurrich, 1893",,239834
InvertEBase Marine Invertebrates of California,Cribrinopsis albopunctata,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINIIDAE,"Sanamyan & Sanamyan, 2006",,149852
InvertEBase Marine Invertebrates of California,Epiactis lisbethae,Dean Pentcheff,pentcheff@gmail.com ,giant brooding anemone,Inventory,ACTINIIDAE,"Fautin and Chia, 1986",,34928
InvertEBase Marine Invertebrates of California,Epiactis prolifera,Dean Pentcheff,pentcheff@gmail.com ,brooding anemone,Inventory,ACTINIIDAE,"Verrill, 1869",,34924
InvertEBase Marine Invertebrates of California,Epiactis ritteri,Dean Pentcheff,pentcheff@gmail.com ,sandy anemone,Inventory,ACTINIIDAE,"Torrey, 1902",,34925
InvertEBase Marine Invertebrates of California,Myonanthus ambiguus,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINIIDAE,"McMurrich, 1893",,35558
InvertEBase Marine Invertebrates of California,Urticina columbiana,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINIIDAE,"Verrill, 1922",,35524
InvertEBase Marine Invertebrates of California,Urticina coriacea,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINIIDAE,"(Cuvier, 1798)",,150043
InvertEBase Marine Invertebrates of California,Urticina eques,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINIIDAE,"(Gosse, 1858)",,150044
InvertEBase Marine Invertebrates of California,Urticina felina,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINIIDAE,"(Linnaeus, 1761)",,35143
InvertEBase Marine Invertebrates of California,Urticina grebelnyi,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINIIDAE,"Sanamyan & Sanamyan, 2006",,150045
InvertEBase Marine Invertebrates of California,Urticina mcpeaki,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINIIDAE,"Hauswaldt and Pearson, 1999",,35522
InvertEBase Marine Invertebrates of California,Urticina piscivora,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINIIDAE,"(Sebens and Laakso, 1978)",,35523
InvertEBase Marine Invertebrates of California,Hallaxa chani,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINOCYCLIDAE,"Gosliner and Williams, 1975",,14967
InvertEBase Marine Invertebrates of California,Actinoscyphia aurelia,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINOSCYPHIIDAE,"(Stephenson, 1918)",,35664
InvertEBase Marine Invertebrates of California,Actinostola faeculenta,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINOSTOLIDAE,"(McMurrich, 1893)",,234586
InvertEBase Marine Invertebrates of California,Anthosactis nomados,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINOSTOLIDAE,"White, Wakefield Pagels, and Fautin, 1999",,35678
InvertEBase Marine Invertebrates of California,Anthosactis pearseae,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINOSTOLIDAE,"Daly & Gusmão, 2007",,116059
InvertEBase Marine Invertebrates of California,Paractinostola faeculenta,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINOSTOLIDAE,"(McMurrich, 1893)",,35691
InvertEBase Marine Invertebrates of California,Pycnanthus maliformis,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINOSTOLIDAE,"McMurrich, 1893",,35706
InvertEBase Marine Invertebrates of California,Stomphia coccinea,Dean Pentcheff,pentcheff@gmail.com ,swimming anemone,Inventory,ACTINOSTOLIDAE,"(Müller, 1776)",,34970
InvertEBase Marine Invertebrates of California,Cosmocephalus obvelatus,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACUARIIDAE,"(Creplin, 1825)",,245367
InvertEBase Marine Invertebrates of California,Addisonia brophyi,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ADDISONIIDAE,"J. H. McLean, 1985",,11321
InvertEBase Marine Invertebrates of California,Aega lecontii,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AEGIDAE,"(Dana, 1853)",,47192
InvertEBase Marine Invertebrates of California,Aega symmetrica,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AEGIDAE,"H. Richardson, 1905",,47230
InvertEBase Marine Invertebrates of California,Aega ventrosa,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AEGIDAE,"M. Sars, 1859",,47245
InvertEBase Marine Invertebrates of California,Rocinela angustata,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AEGIDAE,"H. Richardson, 1904",,49528
InvertEBase Marine Invertebrates of California,Rocinela aries,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AEGIDAE,"Schioedte & Meinert, 1879B",,49529
InvertEBase Marine Invertebrates of California,Rocinela belliceps,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AEGIDAE,"(Stimpson, 1864)",,58394
InvertEBase Marine Invertebrates of California,Rocinela propodialis,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AEGIDAE,"H. Richardson, 1905",,58397
InvertEBase Marine Invertebrates of California,Aegina citrea,Dean Pentcheff,pentcheff@gmail.com ,golf tee medusa,Inventory,AEGINIDAE,"Eschscholtz, 1829",,34560
InvertEBase Marine Invertebrates of California,Aegina rosea,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AEGINIDAE,,,34558
InvertEBase Marine Invertebrates of California,Aeginura grimaldii,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AEGINIDAE,"Maas, 1904",,34567
InvertEBase Marine Invertebrates of California,Aegires albopunctatus,Dean Pentcheff,pentcheff@gmail.com ,salt-and-pepper doris,Inventory,AEGIRIDAE,"MacFarland, 1905",,14983
InvertEBase Marine Invertebrates of California,Aeolidia herculea,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AEOLIDIIDAE,"Bergh, 1894",,115655
InvertEBase Marine Invertebrates of California,Aeolidia loui,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AEOLIDIIDAE,"Kienberger, Carmona, Pola, Padula, Gosliner & Cervera, 2016",,147944
InvertEBase Marine Invertebrates of California,Aeolidia papillosa,Dean Pentcheff,pentcheff@gmail.com ,shag-rug aeolis,Inventory,AEOLIDIIDAE,"(Linnaeus, 1761)",,15277
InvertEBase Marine Invertebrates of California,Anteaeolidiella chromosoma,Dean Pentcheff,pentcheff@gmail.com ,frosted spurilla,Inventory,AEOLIDIIDAE,"(Cockerell & Eliot, 1905)",,116022
InvertEBase Marine Invertebrates of California,Anteaeolidiella oliviae,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AEOLIDIIDAE,"(MacFarland, 1966)",,115661
InvertEBase Marine Invertebrates of California,Berghia stephanieae,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AEOLIDIIDAE,"(Valdés, 2005)",,116624
InvertEBase Marine Invertebrates of California,Cerberilla mosslandica,Dean Pentcheff,pentcheff@gmail.com ,brown burrowing aeolis,Inventory,AEOLIDIIDAE,"McDonald and Nybakken, 1975",,15283
InvertEBase Marine Invertebrates of California,Cerberilla pungoarena,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AEOLIDIIDAE,"Collier & Farmer, 1964",,117176
InvertEBase Marine Invertebrates of California,Spurilla oliviae,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AEOLIDIIDAE,"(Mcfarland, 1966)",,15290
InvertEBase Marine Invertebrates of California,Aequorea forskalea,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AEQUOREIDAE,"Péron and Lesueur, 1810",,30921
InvertEBase Marine Invertebrates of California,Aequorea victoria,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AEQUOREIDAE,"(Murbach and Shearer, 1902)",,30930
InvertEBase Marine Invertebrates of California,Aeropsis fulva,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AEROPSIDAE,"(A. Agassiz, 1898)",,27207
InvertEBase Marine Invertebrates of California,Aetea anguina,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AETEIDAE,"(Linnaeus, 1758)",,113486
InvertEBase Marine Invertebrates of California,Aetea ligulata,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AETEIDAE,"Busk, 1852",,122937
InvertEBase Marine Invertebrates of California,Aetea recta,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AETEIDAE,,,113489
InvertEBase Marine Invertebrates of California,Aetea sica,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AETEIDAE,,,113488
InvertEBase Marine Invertebrates of California,Euchirella amoena,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AETIDEIDAE,"Giesbrecht, 1888",,54680
InvertEBase Marine Invertebrates of California,Euchirella curticauda,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AETIDEIDAE,"Giesbrecht, 1888",,54682
InvertEBase Marine Invertebrates of California,Euchirella galeata,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AETIDEIDAE,"Giesbrecht, 1888",,54683
InvertEBase Marine Invertebrates of California,Euchirella pulchra,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AETIDEIDAE,"(Lubbock, 1856)",,54686
InvertEBase Marine Invertebrates of California,Gaetanus miles,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AETIDEIDAE,"Giesbrecht, 1888",,54699
InvertEBase Marine Invertebrates of California,Gaetanus pileatus,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AETIDEIDAE,"Farran, 1903",,54707
InvertEBase Marine Invertebrates of California,Gaetanus pungens,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AETIDEIDAE,"(Giesbrecht, 1895)",,51567
InvertEBase Marine Invertebrates of California,Undeuchaeta major,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AETIDEIDAE,"Giesbrecht, 1888",,54731
InvertEBase Marine Invertebrates of California,Undeuchaeta plumosa,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AETIDEIDAE,"(Lubbock, 1856)",,54732
InvertEBase Marine Invertebrates of California,Agalma elegans,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGALMATIDAE,"(M. Sars, 1846)",,34730
InvertEBase Marine Invertebrates of California,Cordagalma abyssorum,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGALMATIDAE,"Pugh, 2016",,245200
InvertEBase Marine Invertebrates of California,Cordagalma bimaculatum,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGALMATIDAE,"Pugh, 2016",,166569
InvertEBase Marine Invertebrates of California,Cordagalma isocarrei,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGALMATIDAE,"Pugh, 2016",,245201
InvertEBase Marine Invertebrates of California,Cordagalma rugosum,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGALMATIDAE,"Pugh, 2016",,245202
InvertEBase Marine Invertebrates of California,Erenna richardi,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGALMATIDAE,"Bedot, 1904",,34738
InvertEBase Marine Invertebrates of California,Frillagalma vityazi,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGALMATIDAE,"Daniel, 1966",,35844
InvertEBase Marine Invertebrates of California,Lychnagalma utricularia,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGALMATIDAE,"(Claus, 1879)",,35848
InvertEBase Marine Invertebrates of California,Marrus claudanielis,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGALMATIDAE,"Dunn, Pugh & Haddock, 2005",,166930
InvertEBase Marine Invertebrates of California,Nanomia bijuga,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGALMATIDAE,"(delle Chiaje, 1841)",,34734
InvertEBase Marine Invertebrates of California,Pavona gigantea,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGARICIIDAE,"Verrill, 1869",,32018
InvertEBase Marine Invertebrates of California,Paranarthrura insignis,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGATHOTANAIDAE,"Hansen, 1913",,66724
InvertEBase Marine Invertebrates of California,Aglaja ocelligera,Dean Pentcheff,pentcheff@gmail.com ,eyespot aglaja,Inventory,AGLAJIDAE,"(Bergh, 1893)",,14594
InvertEBase Marine Invertebrates of California,Melanochlamys diomedea,Dean Pentcheff,pentcheff@gmail.com ,albatross aglaja,Inventory,AGLAJIDAE,"(Bergh, 1894)",,14599
InvertEBase Marine Invertebrates of California,Navanax aenigmaticus,Dean Pentcheff,pentcheff@gmail.com ,mysterious aglaja,Inventory,AGLAJIDAE,"(Bergh, 1893)",,14596
InvertEBase Marine Invertebrates of California,Navanax inermis,Dean Pentcheff,pentcheff@gmail.com ,California aglaja,Inventory,AGLAJIDAE,"(J. G. Cooper, 1863)",,14595
InvertEBase Marine Invertebrates of California,Navanax polyalphos,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGLAJIDAE,"(Gosliner and Williams, 1972)",,11620
InvertEBase Marine Invertebrates of California,Philinopsis depicta,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGLAJIDAE,"(Renier, 1807)",,125912
InvertEBase Marine Invertebrates of California,Aglaophenia acacia,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGLAOPHENIIDAE,"Allman, 1883",,30715
InvertEBase Marine Invertebrates of California,Aglaophenia diegensis,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGLAOPHENIIDAE,"Torrey, 1904",,30694
InvertEBase Marine Invertebrates of California,Aglaophenia epizoica,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGLAOPHENIIDAE,"Fraser, 1948",,30698
InvertEBase Marine Invertebrates of California,Aglaophenia fluxa,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGLAOPHENIIDAE,"Fraser, 1948",,30695
InvertEBase Marine Invertebrates of California,Aglaophenia inconspicua,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGLAOPHENIIDAE,"Torrey, 1904",,30699
InvertEBase Marine Invertebrates of California,Aglaophenia lateseptata,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGLAOPHENIIDAE,"Fraser, 1948",,30701
InvertEBase Marine Invertebrates of California,Aglaophenia latirostris,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGLAOPHENIIDAE,"Nutting, 1900",,30702
InvertEBase Marine Invertebrates of California,Aglaophenia lophocarpa,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGLAOPHENIIDAE,"Allman, 1877",,172342
InvertEBase Marine Invertebrates of California,Aglaophenia octocarpa,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGLAOPHENIIDAE,"Nutting, 1900",,30704
InvertEBase Marine Invertebrates of California,Aglaophenia pluma,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGLAOPHENIIDAE,"(Linnaeus, 1758)",,30691
InvertEBase Marine Invertebrates of California,Aglaophenia struthionides,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGLAOPHENIIDAE,"(Murray, 1860)",,30685
InvertEBase Marine Invertebrates of California,Aglaophenia transitionis,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGLAOPHENIIDAE,"Fraser, 1941",,234895
InvertEBase Marine Invertebrates of California,Cladocarpus pinguis,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AGLAOPHENIIDAE,"Fraser, 1948",,30657
InvertEBase Marine Invertebrates of California,Aiptasia californica,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AIPTASIIDAE,"Carlgren, 1952",,35270
InvertEBase Marine Invertebrates of California,Aiptasia pulchella,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,AIPTASIIDAE,"Carlgren, 1943",,35277
