Project Request,Scientific Name,Point of Contact for Submission,Email,ITIS TSN,ITIS accepted Taxon
CalCOFI Ichthyoplankton,Bolinichthys longipes,Ed Weber,ed.weber@noaa.gov,623750,Bolinichthys longipes
CalCOFI Ichthyoplankton,Bothragonus swanii,Ed Weber,ed.weber@noaa.gov,643659,Bothragonus swanii
CalCOFI Ichthyoplankton,Brama,Ed Weber,ed.weber@noaa.gov,170288,Brama
CalCOFI Ichthyoplankton,Brama japonica,Ed Weber,ed.weber@noaa.gov,170289,Brama japonica
CalCOFI Ichthyoplankton,Bramidae,Ed Weber,ed.weber@noaa.gov,170287,Bramidae
CalCOFI Ichthyoplankton,Brosmophycis marginata,Ed Weber,ed.weber@noaa.gov,164809,Brosmophycis marginata
CalCOFI Ichthyoplankton,Bythitidae,Ed Weber,ed.weber@noaa.gov,165140,Bythitidae
CalCOFI Ichthyoplankton,Carangidae,Ed Weber,ed.weber@noaa.gov,168584,Carangidae
CalCOFI Ichthyoplankton,Caranx caballus,Ed Weber,ed.weber@noaa.gov,168611,Caranx caballus
CalCOFI Ichthyoplankton,Caristiidae,Ed Weber,ed.weber@noaa.gov,168820,Caristiidae
CalCOFI Ichthyoplankton,Caristius maderensis,Ed Weber,ed.weber@noaa.gov,645450,Caristius maderensis
CalCOFI Ichthyoplankton,Cataetyx rubrirostris,Ed Weber,ed.weber@noaa.gov,164905,Cataetyx rubrirostris
CalCOFI Ichthyoplankton,Caulolatilus princeps,Ed Weber,ed.weber@noaa.gov,168540,Caulolatilus princeps
CalCOFI Ichthyoplankton,Caulophryne,Ed Weber,ed.weber@noaa.gov,164660,Caulophryne
CalCOFI Ichthyoplankton,Caulophryne pelagica,Ed Weber,ed.weber@noaa.gov,649743,Caulophryne pelagica
CalCOFI Ichthyoplankton,Cebidichthys violaceus,Ed Weber,ed.weber@noaa.gov,171618,Cebidichthys violaceus
CalCOFI Ichthyoplankton,Centrobranchus nigroocellatus,Ed Weber,ed.weber@noaa.gov,162732,Centrobranchus nigroocellatus
CalCOFI Ichthyoplankton,Ceratoscopelus,Ed Weber,ed.weber@noaa.gov,162576,Ceratoscopelus
CalCOFI Ichthyoplankton,Ceratoscopelus townsendi,Ed Weber,ed.weber@noaa.gov,162577,Ceratoscopelus townsendi
CalCOFI Ichthyoplankton,Chaenopsis alepidota,Ed Weber,ed.weber@noaa.gov,171467,Chaenopsis alepidota
CalCOFI Ichthyoplankton,Chauliodus,Ed Weber,ed.weber@noaa.gov,162278,Chauliodus
CalCOFI Ichthyoplankton,Chauliodus macouni,Ed Weber,ed.weber@noaa.gov,162279,Chauliodus macouni
CalCOFI Ichthyoplankton,Cheilopogon,Ed Weber,ed.weber@noaa.gov,165433,Cheilopogon
CalCOFI Ichthyoplankton,Cheilopogon heterurus,Ed Weber,ed.weber@noaa.gov,616688,Cheilopogon heterurus
CalCOFI Ichthyoplankton,Cheilopogon pinnatibarbatus,Ed Weber,ed.weber@noaa.gov,616685,Cheilopogon pinnatibarbatus
CalCOFI Ichthyoplankton,Cheilotrema saturnum,Ed Weber,ed.weber@noaa.gov,169358,Cheilotrema saturnum
CalCOFI Ichthyoplankton,Chiasmodon,Ed Weber,ed.weber@noaa.gov,171085,Chiasmodon
CalCOFI Ichthyoplankton,Chiasmodon subniger,Ed Weber,ed.weber@noaa.gov,630466,Chiasmodon subniger
CalCOFI Ichthyoplankton,Chilara taylori,Ed Weber,ed.weber@noaa.gov,165006,Chilara taylori
CalCOFI Ichthyoplankton,Chiroteuthidae,Ed Weber,ed.weber@noaa.gov,82547,Chiroteuthidae
CalCOFI Ichthyoplankton,Chiroteuthis,Ed Weber,ed.weber@noaa.gov,82548,Chiroteuthis
CalCOFI Ichthyoplankton,Chiroteuthis calyx,Ed Weber,ed.weber@noaa.gov,82551,Chiroteuthis calyx
CalCOFI Ichthyoplankton,Chitonotus pugetensis,Ed Weber,ed.weber@noaa.gov,167380,Chitonotus pugetensis
CalCOFI Ichthyoplankton,Chromis punctipinnis,Ed Weber,ed.weber@noaa.gov,170085,Chromis punctipinnis
CalCOFI Ichthyoplankton,Chtenopteryx sicula,Ed Weber,ed.weber@noaa.gov,82469,Chtenopteryx sicula
CalCOFI Ichthyoplankton,Citharichthys,Ed Weber,ed.weber@noaa.gov,172715,Citharichthys
CalCOFI Ichthyoplankton,Citharichthys fragilis,Ed Weber,ed.weber@noaa.gov,172727,Citharichthys fragilis
CalCOFI Ichthyoplankton,Citharichthys sordidus,Ed Weber,ed.weber@noaa.gov,172716,Citharichthys sordidus
CalCOFI Ichthyoplankton,Citharichthys stigmaeus,Ed Weber,ed.weber@noaa.gov,172717,Citharichthys stigmaeus
CalCOFI Ichthyoplankton,Citharichthys xanthostigma,Ed Weber,ed.weber@noaa.gov,172726,Citharichthys xanthostigma
CalCOFI Ichthyoplankton,Clevelandia ios,Ed Weber,ed.weber@noaa.gov,171748,Clevelandia ios
CalCOFI Ichthyoplankton,Clinidae,Ed Weber,ed.weber@noaa.gov,171396,Clinidae
CalCOFI Ichthyoplankton,Clinocottus analis,Ed Weber,ed.weber@noaa.gov,167227,Clinocottus analis
CalCOFI Ichthyoplankton,Clupeidae,Ed Weber,ed.weber@noaa.gov,161700,Clupeidae
CalCOFI Ichthyoplankton,Clupeiformes,Ed Weber,ed.weber@noaa.gov,161694,Clupeiformes
CalCOFI Ichthyoplankton,Cololabis saira,Ed Weber,ed.weber@noaa.gov,165609,Cololabis saira
CalCOFI Ichthyoplankton,Congridae,Ed Weber,ed.weber@noaa.gov,161324,Congridae
CalCOFI Ichthyoplankton,Coryphaena equiselis,Ed Weber,ed.weber@noaa.gov,168792,Coryphaena equiselis
CalCOFI Ichthyoplankton,Coryphaena hippurus,Ed Weber,ed.weber@noaa.gov,168791,Coryphaena hippurus
CalCOFI Ichthyoplankton,Coryphaenoides,Ed Weber,ed.weber@noaa.gov,165333,Coryphaenoides
CalCOFI Ichthyoplankton,Coryphaenoides acrolepis,Ed Weber,ed.weber@noaa.gov,165334,Coryphaenoides acrolepis
CalCOFI Ichthyoplankton,Coryphaenoides leptolepis,Ed Weber,ed.weber@noaa.gov,622867,Coryphaenoides leptolepis
CalCOFI Ichthyoplankton,Cottidae,Ed Weber,ed.weber@noaa.gov,167196,Cottidae
CalCOFI Ichthyoplankton,Cranchia scabra,Ed Weber,ed.weber@noaa.gov,82578,Cranchia scabra
CalCOFI Ichthyoplankton,Cranchiidae,Ed Weber,ed.weber@noaa.gov,82575,Cranchiidae
CalCOFI Ichthyoplankton,Crustacea,Ed Weber,ed.weber@noaa.gov,83677,Crustacea
CalCOFI Ichthyoplankton,Cryptacanthodes aleutensis,Ed Weber,ed.weber@noaa.gov,171610,Cryptacanthodes aleutensis
CalCOFI Ichthyoplankton,Cryptopsaras couesii,Ed Weber,ed.weber@noaa.gov,623188,Cryptopsaras couesii
CalCOFI Ichthyoplankton,Cryptotrema corallinum,Ed Weber,ed.weber@noaa.gov,171472,Cryptotrema corallinum
CalCOFI Ichthyoplankton,Cubiceps baxteri,Ed Weber,ed.weber@noaa.gov,642573,Cubiceps baxteri
CalCOFI Ichthyoplankton,Cyclopteridae,Ed Weber,ed.weber@noaa.gov,167483,Cyclopteridae
CalCOFI Ichthyoplankton,Cyclothone,Ed Weber,ed.weber@noaa.gov,162164,Cyclothone
CalCOFI Ichthyoplankton,Cyclothone acclinidens,Ed Weber,ed.weber@noaa.gov,162172,Cyclothone acclinidens
CalCOFI Ichthyoplankton,Cyclothone pseudopallida,Ed Weber,ed.weber@noaa.gov,162175,Cyclothone pseudopallida
CalCOFI Ichthyoplankton,Cyclothone signata,Ed Weber,ed.weber@noaa.gov,162168,Cyclothone signata
CalCOFI Ichthyoplankton,Cyema atrum,Ed Weber,ed.weber@noaa.gov,161632,Cyema atrum
CalCOFI Ichthyoplankton,Cyematidae,Ed Weber,ed.weber@noaa.gov,161630,Cyematidae
CalCOFI Ichthyoplankton,Danaphos oculatus,Ed Weber,ed.weber@noaa.gov,162232,Danaphos oculatus
CalCOFI Ichthyoplankton,Desmodema lorum,Ed Weber,ed.weber@noaa.gov,166351,Desmodema lorum
CalCOFI Ichthyoplankton,Diaphus,Ed Weber,ed.weber@noaa.gov,162583,Diaphus
CalCOFI Ichthyoplankton,Diaphus anderseni,Ed Weber,ed.weber@noaa.gov,162586,Diaphus anderseni
CalCOFI Ichthyoplankton,Diaphus pacificus,Ed Weber,ed.weber@noaa.gov,623790,Diaphus pacificus
CalCOFI Ichthyoplankton,Diaphus theta,Ed Weber,ed.weber@noaa.gov,162584,Diaphus theta
CalCOFI Ichthyoplankton,Diogenichthys,Ed Weber,ed.weber@noaa.gov,162675,Diogenichthys
CalCOFI Ichthyoplankton,Diogenichthys atlanticus,Ed Weber,ed.weber@noaa.gov,162676,Diogenichthys atlanticus
CalCOFI Ichthyoplankton,Diogenichthys laternatus,Ed Weber,ed.weber@noaa.gov,162677,Diogenichthys laternatus
CalCOFI Ichthyoplankton,Diplophos taenia,Ed Weber,ed.weber@noaa.gov,162181,Diplophos taenia
CalCOFI Ichthyoplankton,Diplospinus multistriatus,Ed Weber,ed.weber@noaa.gov,172376,Diplospinus multistriatus
CalCOFI Ichthyoplankton,Dolichopteryx longipes,Ed Weber,ed.weber@noaa.gov,162103,Dolichopteryx longipes
CalCOFI Ichthyoplankton,Dolopichthys,Ed Weber,ed.weber@noaa.gov,164635,Dolopichthys
CalCOFI Ichthyoplankton,Doryteuthis opalescens,Ed Weber,ed.weber@noaa.gov,82371,Loligo opalescens
CalCOFI Ichthyoplankton,Electrona risso,Ed Weber,ed.weber@noaa.gov,623732,Electrona risso
CalCOFI Ichthyoplankton,Embassichthys bathybius,Ed Weber,ed.weber@noaa.gov,172866,Embassichthys bathybius
CalCOFI Ichthyoplankton,Engraulis mordax,Ed Weber,ed.weber@noaa.gov,161828,Engraulis mordax
CalCOFI Ichthyoplankton,Engyophrys sanctilaurentii,Ed Weber,ed.weber@noaa.gov,616354,Engyophrys sanctilaurentii
CalCOFI Ichthyoplankton,Enophrys bison,Ed Weber,ed.weber@noaa.gov,167267,Enophrys bison
CalCOFI Ichthyoplankton,Enoploteuthidae,Ed Weber,ed.weber@noaa.gov,82397,Enoploteuthidae
CalCOFI Ichthyoplankton,Eopsetta jordani,Ed Weber,ed.weber@noaa.gov,172868,Eopsetta jordani
CalCOFI Ichthyoplankton,Etrumeus teres,Ed Weber,ed.weber@noaa.gov,161743,Etrumeus teres
CalCOFI Ichthyoplankton,Eucinostomus,Ed Weber,ed.weber@noaa.gov,169014,Eucinostomus
CalCOFI Ichthyoplankton,Eucleoteuthis luminosa,Ed Weber,ed.weber@noaa.gov,556451,Eucleoteuthis luminosa
CalCOFI Ichthyoplankton,Eurypharynx pelecanoides,Ed Weber,ed.weber@noaa.gov,161653,Eurypharynx pelecanoides
CalCOFI Ichthyoplankton,Eustomias,Ed Weber,ed.weber@noaa.gov,162248,Eustomias
CalCOFI Ichthyoplankton,Eutaeniophorus,Ed Weber,ed.weber@noaa.gov,162814,Eutaeniophorus
CalCOFI Ichthyoplankton,Eutaeniophorus festivus,Ed Weber,ed.weber@noaa.gov,162815,Eutaeniophorus festivus
CalCOFI Ichthyoplankton,Exocoetidae,Ed Weber,ed.weber@noaa.gov,165431,Exocoetidae
CalCOFI Ichthyoplankton,Fodiator acutus,Ed Weber,ed.weber@noaa.gov,165511,Fodiator acutus
CalCOFI Ichthyoplankton,Gadidae,Ed Weber,ed.weber@noaa.gov,164701,Gadidae
CalCOFI Ichthyoplankton,Galiteuthis,Ed Weber,ed.weber@noaa.gov,205734,Galiteuthis
CalCOFI Ichthyoplankton,Galiteuthis pacifica,Ed Weber,ed.weber@noaa.gov,556426,Galiteuthis pacifica
CalCOFI Ichthyoplankton,Galiteuthis phyllura,Ed Weber,ed.weber@noaa.gov,556714,Galiteuthis phyllura
CalCOFI Ichthyoplankton,Gempylidae,Ed Weber,ed.weber@noaa.gov,172354,Gempylidae
CalCOFI Ichthyoplankton,Gempylus serpens,Ed Weber,ed.weber@noaa.gov,172360,Gempylus serpens
CalCOFI Ichthyoplankton,Genyonemus lineatus,Ed Weber,ed.weber@noaa.gov,169257,Genyonemus lineatus
CalCOFI Ichthyoplankton,Gibbonsia,Ed Weber,ed.weber@noaa.gov,171397,Gibbonsia
CalCOFI Ichthyoplankton,Gigantactinidae,Ed Weber,ed.weber@noaa.gov,164642,Gigantactinidae
CalCOFI Ichthyoplankton,Gigantactis,Ed Weber,ed.weber@noaa.gov,164643,Gigantactis
CalCOFI Ichthyoplankton,Gillichthys mirabilis,Ed Weber,ed.weber@noaa.gov,171967,Gillichthys mirabilis
CalCOFI Ichthyoplankton,Girella nigricans,Ed Weber,ed.weber@noaa.gov,169515,Girella nigricans
CalCOFI Ichthyoplankton,Glyptocephalus zachirus,Ed Weber,ed.weber@noaa.gov,172978,Glyptocephalus zachirus
CalCOFI Ichthyoplankton,Gnathophis cinctus,Ed Weber,ed.weber@noaa.gov,635714,Gnathophis cinctus
CalCOFI Ichthyoplankton,Gobiesox maeandricus,Ed Weber,ed.weber@noaa.gov,164459,Gobiesox maeandricus
CalCOFI Ichthyoplankton,Gobiesox rhessodon,Ed Weber,ed.weber@noaa.gov,164464,Gobiesox rhessodon
CalCOFI Ichthyoplankton,Gobiidae,Ed Weber,ed.weber@noaa.gov,171746,Gobiidae
CalCOFI Ichthyoplankton,Gonatidae,Ed Weber,ed.weber@noaa.gov,82414,Gonatidae
CalCOFI Ichthyoplankton,Gonatopsis borealis,Ed Weber,ed.weber@noaa.gov,82417,Gonatopsis borealis
CalCOFI Ichthyoplankton,Gonatus,Ed Weber,ed.weber@noaa.gov,82418,Gonatus
CalCOFI Ichthyoplankton,Gonatus onyx,Ed Weber,ed.weber@noaa.gov,82425,Gonatus onyx
CalCOFI Ichthyoplankton,Gonatus pyros,Ed Weber,ed.weber@noaa.gov,82423,Gonatus pyros
CalCOFI Ichthyoplankton,Gonichthys tenuiculus,Ed Weber,ed.weber@noaa.gov,623813,Gonichthys tenuiculus
CalCOFI Ichthyoplankton,Gonostoma,Ed Weber,ed.weber@noaa.gov,162182,Gonostoma
CalCOFI Ichthyoplankton,Gonostoma atlanticum,Ed Weber,ed.weber@noaa.gov,162183,Gonostoma atlanticum
CalCOFI Ichthyoplankton,Gonostoma elongatum,Ed Weber,ed.weber@noaa.gov,162185,Gonostoma elongatum
CalCOFI Ichthyoplankton,Gonostomatidae,Ed Weber,ed.weber@noaa.gov,162163,Gonostomatidae
CalCOFI Ichthyoplankton,Grimothea planipes,Ed Weber,ed.weber@noaa.gov,1202386,Grimothea planipes
CalCOFI Ichthyoplankton,Haemulidae,Ed Weber,ed.weber@noaa.gov,169055,Haemulidae
CalCOFI Ichthyoplankton,Halichoeres semicinctus,Ed Weber,ed.weber@noaa.gov,170511,Halichoeres semicinctus
CalCOFI Ichthyoplankton,Haliphron atlanticus,Ed Weber,ed.weber@noaa.gov,205738,Haliphron atlanticus
CalCOFI Ichthyoplankton,Halobates,Ed Weber,ed.weber@noaa.gov,103825,Halobates
CalCOFI Ichthyoplankton,Harengula thrissina,Ed Weber,ed.weber@noaa.gov,161757,Harengula thrissina
CalCOFI Ichthyoplankton,Hemilepidotus spinosus,Ed Weber,ed.weber@noaa.gov,167283,Hemilepidotus spinosus
CalCOFI Ichthyoplankton,Heterostichus rostratus,Ed Weber,ed.weber@noaa.gov,171476,Heterostichus rostratus
CalCOFI Ichthyoplankton,Hexagrammidae,Ed Weber,ed.weber@noaa.gov,167108,Hexagrammidae
CalCOFI Ichthyoplankton,Hexagrammos,Ed Weber,ed.weber@noaa.gov,167109,Hexagrammos
CalCOFI Ichthyoplankton,Hexagrammos decagrammus,Ed Weber,ed.weber@noaa.gov,167110,Hexagrammos decagrammus
CalCOFI Ichthyoplankton,Hexagrammos lagocephalus,Ed Weber,ed.weber@noaa.gov,167111,Hexagrammos lagocephalus
CalCOFI Ichthyoplankton,Hippoglossina stomata,Ed Weber,ed.weber@noaa.gov,172784,Hippoglossina stomata
CalCOFI Ichthyoplankton,Hippoglossus stenolepis,Ed Weber,ed.weber@noaa.gov,172932,Hippoglossus stenolepis
CalCOFI Ichthyoplankton,Hirundichthys,Ed Weber,ed.weber@noaa.gov,165515,Hirundichthys
CalCOFI Ichthyoplankton,Hirundichthys marginatus,Ed Weber,ed.weber@noaa.gov,645257,Hirundichthys marginatus
CalCOFI Ichthyoplankton,Histioteuthis,Ed Weber,ed.weber@noaa.gov,82485,Histioteuthis
CalCOFI Ichthyoplankton,Histioteuthis heteropsis,Ed Weber,ed.weber@noaa.gov,82499,Histioteuthis heteropsis
CalCOFI Ichthyoplankton,Howella,Ed Weber,ed.weber@noaa.gov,168331,Howella
CalCOFI Ichthyoplankton,Howella pammelas,Ed Weber,ed.weber@noaa.gov,641889,Howella pammelas
CalCOFI Ichthyoplankton,Hygophum,Ed Weber,ed.weber@noaa.gov,162692,Hygophum
CalCOFI Ichthyoplankton,Hygophum atratum,Ed Weber,ed.weber@noaa.gov,162695,Hygophum atratum
CalCOFI Ichthyoplankton,Hygophum reinhardtii,Ed Weber,ed.weber@noaa.gov,623875,Hygophum reinhardtii
CalCOFI Ichthyoplankton,Hypsoblennius,Ed Weber,ed.weber@noaa.gov,171155,Hypsoblennius
CalCOFI Ichthyoplankton,Hypsoblennius gentilis,Ed Weber,ed.weber@noaa.gov,171158,Hypsoblennius gentilis
CalCOFI Ichthyoplankton,Hypsoblennius gilberti,Ed Weber,ed.weber@noaa.gov,171159,Hypsoblennius gilberti
CalCOFI Ichthyoplankton,Hypsoblennius jenkinsi,Ed Weber,ed.weber@noaa.gov,171160,Hypsoblennius jenkinsi
CalCOFI Ichthyoplankton,Hypsopsetta guttulata,Ed Weber,ed.weber@noaa.gov,172945,Hypsopsetta guttulata
CalCOFI Ichthyoplankton,Hypsypops rubicundus,Ed Weber,ed.weber@noaa.gov,170120,Hypsypops rubicundus
CalCOFI Ichthyoplankton,Icelinus,Ed Weber,ed.weber@noaa.gov,167290,Icelinus
CalCOFI Ichthyoplankton,Icelinus quadriseriatus,Ed Weber,ed.weber@noaa.gov,167298,Icelinus quadriseriatus
CalCOFI Ichthyoplankton,Ichthyococcus irregularis,Ed Weber,ed.weber@noaa.gov,622698,Ichthyococcus irregularis
CalCOFI Ichthyoplankton,Icichthys lockingtoni,Ed Weber,ed.weber@noaa.gov,172510,Icichthys lockingtoni
CalCOFI Ichthyoplankton,Icosteus aenigmaticus,Ed Weber,ed.weber@noaa.gov,171663,Icosteus aenigmaticus
CalCOFI Ichthyoplankton,Idiacanthus antrostomus,Ed Weber,ed.weber@noaa.gov,162301,Idiacanthus antrostomus
CalCOFI Ichthyoplankton,Ilypnus gilberti,Ed Weber,ed.weber@noaa.gov,171892,Ilypnus gilberti
CalCOFI Ichthyoplankton,Isopsetta isolepis,Ed Weber,ed.weber@noaa.gov,172919,Isopsetta isolepis
CalCOFI Ichthyoplankton,Japetella diaphana,Ed Weber,ed.weber@noaa.gov,82655,Japetella diaphana
CalCOFI Ichthyoplankton,Kali,Ed Weber,ed.weber@noaa.gov,171087,Kali
CalCOFI Ichthyoplankton,Kyphosidae,Ed Weber,ed.weber@noaa.gov,169503,Kyphosidae
CalCOFI Ichthyoplankton,Kyphosus azureus,Ed Weber,ed.weber@noaa.gov,169520,Hermosilla azurea
CalCOFI Ichthyoplankton,Labridae,Ed Weber,ed.weber@noaa.gov,170477,Labridae
CalCOFI Ichthyoplankton,Labrisomidae,Ed Weber,ed.weber@noaa.gov,553227,Labrisomidae
CalCOFI Ichthyoplankton,Labrisomus xanti,Ed Weber,ed.weber@noaa.gov,171418,Labrisomus xanti
CalCOFI Ichthyoplankton,Lampadena urophaos,Ed Weber,ed.weber@noaa.gov,162703,Lampadena urophaos
CalCOFI Ichthyoplankton,Lampanyctus,Ed Weber,ed.weber@noaa.gov,162632,Lampanyctus
CalCOFI Ichthyoplankton,Lampanyctus acanthurus,Ed Weber,ed.weber@noaa.gov,623827,Lampanyctus acanthurus
CalCOFI Ichthyoplankton,Lampanyctus omostigma,Ed Weber,ed.weber@noaa.gov,182885,Lampanyctus omostigma
CalCOFI Ichthyoplankton,Lampanyctus steinbecki,Ed Weber,ed.weber@noaa.gov,623836,Lampanyctus steinbecki
CalCOFI Ichthyoplankton,Lampanyctus tenuiformis,Ed Weber,ed.weber@noaa.gov,623716,Lampanyctus tenuiformis
CalCOFI Ichthyoplankton,Leachia pacifica,Ed Weber,ed.weber@noaa.gov,556231,Leachia pacifica
CalCOFI Ichthyoplankton,Lepidocybium flavobrunneum,Ed Weber,ed.weber@noaa.gov,172362,Lepidocybium flavobrunneum
CalCOFI Ichthyoplankton,Lepidogobius lepidus,Ed Weber,ed.weber@noaa.gov,171762,Lepidogobius lepidus
CalCOFI Ichthyoplankton,Lepidopsetta bilineata,Ed Weber,ed.weber@noaa.gov,172917,Lepidopsetta bilineata
CalCOFI Ichthyoplankton,Lepidopus fitchi,Ed Weber,ed.weber@noaa.gov,172393,Lepidopus fitchi
CalCOFI Ichthyoplankton,Leptocephalus giganteus,Ed Weber,ed.weber@noaa.gov,635825,Leptocephalus giganteus
CalCOFI Ichthyoplankton,Leptocephalus holti,Ed Weber,ed.weber@noaa.gov,635826,Leptocephalus holti
