Project Request,Scientific Name,Point of Contact for Submission,Email,Common Name,Survey Type
NAS Species List,Menidia audens,Ann Holmes,aholmes@ucdavis.edu ,Mississippi Silverside,Monitored
NAS Species List,Menidia beryllina,Ann Holmes,aholmes@ucdavis.edu ,Inland Silverside,Monitored
NAS Species List,Colpichthys regis,Ann Holmes,aholmes@ucdavis.edu ,False Grunion,Monitored
NAS Species List,Leuresthes sardina,Ann Holmes,aholmes@ucdavis.edu ,Gulf Grunion,Monitored
NAS Species List,Membras martinica,Ann Holmes,aholmes@ucdavis.edu ,Rough Silverside,Monitored
NAS Species List,Trachelyopterus galeatus,Ann Holmes,aholmes@ucdavis.edu ,driftwood catfish,Monitored
NAS Species List,Horabagrus brachysoma,Ann Holmes,aholmes@ucdavis.edu ,Günther's catfish,Monitored
NAS Species List,Balistoides conspicillum,Ann Holmes,aholmes@ucdavis.edu ,clown triggerfish,Monitored
NAS Species List,Odonus niger,Ann Holmes,aholmes@ucdavis.edu ,Red-toothed Triggerfish,Monitored
NAS Species List,Rhinecanthus aculeatus,Ann Holmes,aholmes@ucdavis.edu ,Lagoon Triggerfish,Monitored
NAS Species List,Rhinecanthus verrucosus,Ann Holmes,aholmes@ucdavis.edu ,bursa triggerfish,Monitored
NAS Species List,Strongylura marina,Ann Holmes,aholmes@ucdavis.edu ,Atlantic Needlefish,Monitored
NAS Species List,Xenentodon cancila,Ann Holmes,aholmes@ucdavis.edu ,Asian needlefish,Monitored
NAS Species List,Omobranchus obliquus,Ann Holmes,aholmes@ucdavis.edu ,zebra blenny,Monitored
NAS Species List,Hypsoblennius invemar,Ann Holmes,aholmes@ucdavis.edu ,Tessellated Blenny,Monitored
NAS Species List,Hypsoblennius ionthas,Ann Holmes,aholmes@ucdavis.edu ,Freckled Blenny,Monitored
NAS Species List,Omobranchus ferox,Ann Holmes,aholmes@ucdavis.edu ,fang-toothed blenny,Monitored
NAS Species List,Omobranchus punctatus,Ann Holmes,aholmes@ucdavis.edu ,Muzzled blenny,Monitored
NAS Species List,Parablennius thysanius,Ann Holmes,aholmes@ucdavis.edu ,blenny,Monitored
NAS Species List,Callichthys callichthys,Ann Holmes,aholmes@ucdavis.edu ,cascarudo,Monitored
NAS Species List,Corydoras aeneus,Ann Holmes,aholmes@ucdavis.edu ,green corydoras,Monitored
NAS Species List,Corydoras sp.,Ann Holmes,aholmes@ucdavis.edu ,corydoras,Monitored
NAS Species List,Hoplosternum littorale,Ann Holmes,aholmes@ucdavis.edu ,Brown Hoplo,Monitored
NAS Species List,Caranx caballus,Ann Holmes,aholmes@ucdavis.edu ,Green Jack,Monitored
NAS Species List,Gnathanodon speciosus,Ann Holmes,aholmes@ucdavis.edu ,golden trevally,Monitored
NAS Species List,Seriola lalandi,Ann Holmes,aholmes@ucdavis.edu ,great amberjack,Monitored
NAS Species List,Trachinotus paitensis,Ann Holmes,aholmes@ucdavis.edu ,Paloma Pompano,Monitored
NAS Species List,Rhizoprionodon longurio,Ann Holmes,aholmes@ucdavis.edu ,Pacific Sharpnose Shark,Monitored
NAS Species List,Rhizoprionodon terraenovae,Ann Holmes,aholmes@ucdavis.edu ,Atlantic sharpnose shark,Monitored
NAS Species List,Triaenodon obesus,Ann Holmes,aholmes@ucdavis.edu ,whitetip reef shark,Monitored
NAS Species List,Carpiodes carpio,Ann Holmes,aholmes@ucdavis.edu ,River Carpsucker,Monitored
NAS Species List,Carpiodes cyprinus,Ann Holmes,aholmes@ucdavis.edu ,Quillback,Monitored
NAS Species List,Carpiodes velifer,Ann Holmes,aholmes@ucdavis.edu ,Highfin Carpsucker,Monitored
NAS Species List,Catostomus ardens,Ann Holmes,aholmes@ucdavis.edu ,Utah Sucker,Monitored
NAS Species List,Catostomus catostomus,Ann Holmes,aholmes@ucdavis.edu ,Longnose Sucker,Monitored
NAS Species List,Catostomus commersonii,Ann Holmes,aholmes@ucdavis.edu ,White Sucker,Monitored
NAS Species List,Catostomus fumeiventris,Ann Holmes,aholmes@ucdavis.edu ,Owens Sucker,Monitored
NAS Species List,Catostomus occidentalis,Ann Holmes,aholmes@ucdavis.edu ,Sacramento Sucker,Monitored
NAS Species List,Catostomus sp.,Ann Holmes,aholmes@ucdavis.edu ,Little Colorado sucker,Monitored
NAS Species List,Catostomus tahoensis,Ann Holmes,aholmes@ucdavis.edu ,Tahoe Sucker,Monitored
NAS Species List,Chasmistes brevirostris,Ann Holmes,aholmes@ucdavis.edu ,Shortnose Sucker,Monitored
NAS Species List,Erimyzon sucetta,Ann Holmes,aholmes@ucdavis.edu ,Lake Chubsucker,Monitored
NAS Species List,Hypentelium etowanum,Ann Holmes,aholmes@ucdavis.edu ,Alabama Hog Sucker,Monitored
NAS Species List,Hypentelium nigricans,Ann Holmes,aholmes@ucdavis.edu ,Northern Hog Sucker,Monitored
NAS Species List,Hypentelium roanokense,Ann Holmes,aholmes@ucdavis.edu ,Roanoke Hog Sucker,Monitored
NAS Species List,Ictiobus bubalus,Ann Holmes,aholmes@ucdavis.edu ,Smallmouth Buffalo,Monitored
NAS Species List,Ictiobus cyprinellus,Ann Holmes,aholmes@ucdavis.edu ,Bigmouth Buffalo,Monitored
NAS Species List,Ictiobus niger,Ann Holmes,aholmes@ucdavis.edu ,Black Buffalo,Monitored
NAS Species List,Minytrema melanops,Ann Holmes,aholmes@ucdavis.edu ,Spotted Sucker,Monitored
NAS Species List,Moxostoma anisurum,Ann Holmes,aholmes@ucdavis.edu ,Silver Redhorse,Monitored
NAS Species List,Moxostoma cervinum,Ann Holmes,aholmes@ucdavis.edu ,Blacktip Jumprock,Monitored
NAS Species List,Moxostoma collapsum,Ann Holmes,aholmes@ucdavis.edu ,Notchlip Redhorse,Monitored
NAS Species List,Moxostoma congestum,Ann Holmes,aholmes@ucdavis.edu ,Gray Redhorse,Monitored
NAS Species List,Moxostoma erythrurum,Ann Holmes,aholmes@ucdavis.edu ,Golden Redhorse,Monitored
NAS Species List,Moxostoma lachneri,Ann Holmes,aholmes@ucdavis.edu ,Greater Jumprock,Monitored
NAS Species List,Moxostoma macrolepidotum,Ann Holmes,aholmes@ucdavis.edu ,Shorthead Redhorse,Monitored
NAS Species List,Moxostoma pisolabrum,Ann Holmes,aholmes@ucdavis.edu ,Pealip Redhorse,Monitored
NAS Species List,Moxostoma rupiscartes,Ann Holmes,aholmes@ucdavis.edu ,Striped Jumprock,Monitored
NAS Species List,Pantosteus platyrhynchus,Ann Holmes,aholmes@ucdavis.edu ,Mountain Sucker,Monitored
NAS Species List,Pantosteus plebeius,Ann Holmes,aholmes@ucdavis.edu ,Rio Grande Sucker,Monitored
NAS Species List,Pantosteus santaanae,Ann Holmes,aholmes@ucdavis.edu ,Santa Ana Sucker,Monitored
NAS Species List,Thoburnia rhothoeca,Ann Holmes,aholmes@ucdavis.edu ,Torrent Sucker,Monitored
NAS Species List,Ambloplites cavifrons,Ann Holmes,aholmes@ucdavis.edu ,Roanoke Bass,Monitored
NAS Species List,Ambloplites constellatus,Ann Holmes,aholmes@ucdavis.edu ,Ozark Bass,Monitored
NAS Species List,Ambloplites rupestris,Ann Holmes,aholmes@ucdavis.edu ,Rock Bass,Monitored
NAS Species List,Archoplites interruptus,Ann Holmes,aholmes@ucdavis.edu ,Sacramento Perch,Monitored
NAS Species List,Centrarchus macropterus,Ann Holmes,aholmes@ucdavis.edu ,Flier,Monitored
NAS Species List,Enneacanthus gloriosus,Ann Holmes,aholmes@ucdavis.edu ,Bluespotted Sunfish,Monitored
NAS Species List,Lepomis,Ann Holmes,aholmes@ucdavis.edu ,hybrid sunfish,Monitored
NAS Species List,Lepomis auritus,Ann Holmes,aholmes@ucdavis.edu ,Redbreast Sunfish,Monitored
NAS Species List,Lepomis cyanellus,Ann Holmes,aholmes@ucdavis.edu ,Green Sunfish,Monitored
NAS Species List,Lepomis gibbosus,Ann Holmes,aholmes@ucdavis.edu ,Pumpkinseed,Monitored
NAS Species List,Lepomis gibbosus x cyanellus,Ann Holmes,aholmes@ucdavis.edu ,Pumpkinseed x Green Sunfish,Monitored
NAS Species List,Lepomis gibbosus x macrochirus,Ann Holmes,aholmes@ucdavis.edu ,Pumpkinseed x Bluegill,Monitored
NAS Species List,Lepomis gulosus,Ann Holmes,aholmes@ucdavis.edu ,Warmouth,Monitored
NAS Species List,Lepomis humilis,Ann Holmes,aholmes@ucdavis.edu ,Orangespotted Sunfish,Monitored
NAS Species List,Lepomis macrochirus,Ann Holmes,aholmes@ucdavis.edu ,Bluegill,Monitored
NAS Species List,Lepomis macrochirus x cyanellus,Ann Holmes,aholmes@ucdavis.edu ,Greengill Sunfish,Monitored
NAS Species List,Lepomis megalotis,Ann Holmes,aholmes@ucdavis.edu ,Longear Sunfish,Monitored
NAS Species List,Lepomis microlophus,Ann Holmes,aholmes@ucdavis.edu ,Redear Sunfish,Monitored
NAS Species List,Lepomis miniatus,Ann Holmes,aholmes@ucdavis.edu ,Redspotted Sunfish,Monitored
NAS Species List,Lepomis sp.,Ann Holmes,aholmes@ucdavis.edu ,sunfish,Monitored
NAS Species List,Micropterus cataractae,Ann Holmes,aholmes@ucdavis.edu ,Shoal Bass,Monitored
NAS Species List,Micropterus coosae,Ann Holmes,aholmes@ucdavis.edu ,Redeye Bass (sensu lato),Monitored
NAS Species List,Micropterus dolomieu,Ann Holmes,aholmes@ucdavis.edu ,Smallmouth Bass,Monitored
NAS Species List,Micropterus dolomieu x treculii,Ann Holmes,aholmes@ucdavis.edu ,a black bass hybrid,Monitored
NAS Species List,Micropterus henshalli,Ann Holmes,aholmes@ucdavis.edu ,Alabama Bass,Monitored
NAS Species List,Micropterus punctulatus,Ann Holmes,aholmes@ucdavis.edu ,Spotted Bass,Monitored
NAS Species List,Micropterus salmoides,Ann Holmes,aholmes@ucdavis.edu ,Largemouth Bass,Monitored
NAS Species List,Micropterus salmoides floridanus,Ann Holmes,aholmes@ucdavis.edu ,Florida largemouth bass,Monitored
NAS Species List,Micropterus salmoides salmoides,Ann Holmes,aholmes@ucdavis.edu ,northern largemouth bass,Monitored
NAS Species List,Micropterus sp.,Ann Holmes,aholmes@ucdavis.edu ,black bass,Monitored
NAS Species List,Micropterus sp. cf. cataractae,Ann Holmes,aholmes@ucdavis.edu ,Bartram's Bass,Monitored
NAS Species List,Micropterus treculii,Ann Holmes,aholmes@ucdavis.edu ,Guadalupe Bass,Monitored
NAS Species List,Pomoxis annularis,Ann Holmes,aholmes@ucdavis.edu ,White Crappie,Monitored
NAS Species List,Pomoxis nigromaculatus,Ann Holmes,aholmes@ucdavis.edu ,Black Crappie,Monitored
NAS Species List,Pomoxis sp.,Ann Holmes,aholmes@ucdavis.edu ,crappie,Monitored
NAS Species List,Lates angustifrons,Ann Holmes,aholmes@ucdavis.edu ,Tanganyika lates,Monitored
NAS Species List,Lates mariae,Ann Holmes,aholmes@ucdavis.edu ,bigeye lates,Monitored
NAS Species List,Lates niloticus,Ann Holmes,aholmes@ucdavis.edu ,Nile perch,Monitored
NAS Species List,Protemblemaria punctata,Ann Holmes,aholmes@ucdavis.edu ,Warthead Blenny,Monitored
NAS Species List,Chaetodon lunula,Ann Holmes,aholmes@ucdavis.edu ,raccoon butterflyfish,Monitored
NAS Species List,Heniochus acuminatus,Ann Holmes,aholmes@ucdavis.edu ,pennant coralfish,Monitored
NAS Species List,Heniochus diphreutes,Ann Holmes,aholmes@ucdavis.edu ,pennant coralfish,Monitored
NAS Species List,Heniochus intermedius,Ann Holmes,aholmes@ucdavis.edu ,Red Sea bannerfish,Monitored
NAS Species List,Heniochus sp.,Ann Holmes,aholmes@ucdavis.edu ,bannerfish,Monitored
NAS Species List,Chanos chanos,Ann Holmes,aholmes@ucdavis.edu ,Milkfish,Monitored
NAS Species List,Channa argus,Ann Holmes,aholmes@ucdavis.edu ,Northern Snakehead,Monitored
NAS Species List,Channa aurolineata,Ann Holmes,aholmes@ucdavis.edu ,Goldline Snakehead,Monitored
NAS Species List,Channa maculata,Ann Holmes,aholmes@ucdavis.edu ,Blotched Snakehead,Monitored
NAS Species List,Channa micropeltes,Ann Holmes,aholmes@ucdavis.edu ,Giant Snakehead,Monitored
NAS Species List,Channa striata,Ann Holmes,aholmes@ucdavis.edu ,Chevron snakehead,Monitored
NAS Species List,Aphyocharax anisitsi,Ann Holmes,aholmes@ucdavis.edu ,bloodfin tetra,Monitored
NAS Species List,Astyanax mexicanus,Ann Holmes,aholmes@ucdavis.edu ,Mexican Tetra,Monitored
NAS Species List,Colossoma macropomum,Ann Holmes,aholmes@ucdavis.edu ,Tambaqui,Monitored
NAS Species List,Colossoma or Piaractus sp.,Ann Holmes,aholmes@ucdavis.edu ,unidentified pacu,Monitored
NAS Species List,Gymnocorymbus ternetzi,Ann Holmes,aholmes@ucdavis.edu ,black tetra,Monitored
NAS Species List,Hemigrammus ocellifer,Ann Holmes,aholmes@ucdavis.edu ,head-and-taillight tetra,Monitored
NAS Species List,Hyphessobrycon eques,Ann Holmes,aholmes@ucdavis.edu ,serpae tetra,Monitored
NAS Species List,Metynnis sp.,Ann Holmes,aholmes@ucdavis.edu ,metynnis,Monitored
NAS Species List,Moenkhausia sanctaefilomenae,Ann Holmes,aholmes@ucdavis.edu ,redeye tetra,Monitored
NAS Species List,Myloplus rubripinnis,Ann Holmes,aholmes@ucdavis.edu ,redhook pacu,Monitored
NAS Species List,Paracheirodon innesi,Ann Holmes,aholmes@ucdavis.edu ,neon tetra,Monitored
NAS Species List,Piaractus brachypomus,Ann Holmes,aholmes@ucdavis.edu ,pirapitinga,Monitored
NAS Species List,Piaractus mesopotamicus,Ann Holmes,aholmes@ucdavis.edu ,small-scaled pacu,Monitored
NAS Species List,Piaractus orinoquensis,Ann Holmes,aholmes@ucdavis.edu ,pirapatinga,Monitored
NAS Species List,Piaractus sp.,Ann Holmes,aholmes@ucdavis.edu ,pacu,Monitored
NAS Species List,Pygocentrus nattereri,Ann Holmes,aholmes@ucdavis.edu ,red piranha,Monitored
NAS Species List,Pygocentrus or Serrasalmus sp.,Ann Holmes,aholmes@ucdavis.edu ,unidentified piranha,Monitored
NAS Species List,Serrasalmus rhombeus,Ann Holmes,aholmes@ucdavis.edu ,white piranha,Monitored
NAS Species List,Aequidens pulcher,Ann Holmes,aholmes@ucdavis.edu ,blue acara,Monitored
NAS Species List,Amphilophus citrinellus,Ann Holmes,aholmes@ucdavis.edu ,Midas Cichlid,Monitored
NAS Species List,Amphilophus citrinellus x Cichlasoma urophthalmus,Ann Holmes,aholmes@ucdavis.edu ,Midas Cichlid x Mayan Cichlid,Monitored
NAS Species List,Amphilophus labiatus,Ann Holmes,aholmes@ucdavis.edu ,red devil,Monitored
NAS Species List,Amphilophus trimaculatus,Ann Holmes,aholmes@ucdavis.edu ,Threespot Cichlid,Monitored
NAS Species List,Amphilophus trimaculatus x Amphilophus sp.,Ann Holmes,aholmes@ucdavis.edu ,Threespot Cichlid hybrid,Monitored
NAS Species List,Archocentrus nigrofasciatus,Ann Holmes,aholmes@ucdavis.edu ,Convict Cichlid,Monitored
NAS Species List,Archocentrus spilurus,Ann Holmes,aholmes@ucdavis.edu ,blue-eye cichlid,Monitored
NAS Species List,Astatotilapia calliptera,Ann Holmes,aholmes@ucdavis.edu ,eastern happy,Monitored
NAS Species List,Astronotus ocellatus,Ann Holmes,aholmes@ucdavis.edu ,Oscar,Monitored
NAS Species List,Cichla ocellaris,Ann Holmes,aholmes@ucdavis.edu ,Butterfly Peacock Bass,Monitored
NAS Species List,Cichla sp.,Ann Holmes,aholmes@ucdavis.edu ,eyetail cichlids,Monitored
NAS Species List,Cichla temensis,Ann Holmes,aholmes@ucdavis.edu ,speckled pavon,Monitored
NAS Species List,Cichlasoma beani,Ann Holmes,aholmes@ucdavis.edu ,Green Guapote,Monitored
NAS Species List,Cichlasoma bimaculatum,Ann Holmes,aholmes@ucdavis.edu ,Black Acara,Monitored
NAS Species List,Cichlasoma dimerus,Ann Holmes,aholmes@ucdavis.edu ,Chanchita,Monitored
NAS Species List,Cichlasoma salvini,Ann Holmes,aholmes@ucdavis.edu ,Yellowbelly Cichlid,Monitored
NAS Species List,Cichlasoma sp.,Ann Holmes,aholmes@ucdavis.edu ,cichlid,Monitored
NAS Species List,Cichlasoma urophthalma,Ann Holmes,aholmes@ucdavis.edu ,Mayan Cichlid,Monitored
NAS Species List,Geophagus sp.,Ann Holmes,aholmes@ucdavis.edu ,eartheater,Monitored
NAS Species List,Geophagus steindachneri,Ann Holmes,aholmes@ucdavis.edu ,Redhump Eartheater,Monitored
NAS Species List,Hemichromis elongatus,Ann Holmes,aholmes@ucdavis.edu ,banded jewelfish,Monitored
NAS Species List,Hemichromis fasciatus,Ann Holmes,aholmes@ucdavis.edu ,banded jewelfish,Monitored
NAS Species List,Hemichromis letourneuxi,Ann Holmes,aholmes@ucdavis.edu ,African Jewelfish,Monitored
NAS Species List,Herichthys carpintis,Ann Holmes,aholmes@ucdavis.edu ,Lowland Cichlid,Monitored
NAS Species List,Herichthys cyanoguttatus,Ann Holmes,aholmes@ucdavis.edu ,Rio Grande Cichlid,Monitored
NAS Species List,Heros severus,Ann Holmes,aholmes@ucdavis.edu ,Banded Cichlid,Monitored
NAS Species List,Hypsophrys nicaraguensis,Ann Holmes,aholmes@ucdavis.edu ,Moga,Monitored
NAS Species List,Labeotropheus fuelleborni,Ann Holmes,aholmes@ucdavis.edu ,blue mbuna,Monitored
NAS Species List,Labidochromis caeruleus,Ann Holmes,aholmes@ucdavis.edu ,blue streak hap,Monitored
NAS Species List,Maylandia estherae,Ann Holmes,aholmes@ucdavis.edu ,Red Zebra Cichlid,Monitored
NAS Species List,Maylandia lombardoi,Ann Holmes,aholmes@ucdavis.edu ,kenyi cichlid,Monitored
NAS Species List,Melanochromis auratus,Ann Holmes,aholmes@ucdavis.edu ,golden mbuna,Monitored
NAS Species List,Melanochromis johannii,Ann Holmes,aholmes@ucdavis.edu ,blue mbuna,Monitored
NAS Species List,Metriaclima zebra,Ann Holmes,aholmes@ucdavis.edu ,Nyassa blue cichlid,Monitored
NAS Species List,Oreochromis,Ann Holmes,aholmes@ucdavis.edu , Sarotherodon,Monitored
NAS Species List,Oreochromis,Ann Holmes,aholmes@ucdavis.edu , Sarotherodon,Monitored
NAS Species List,Oreochromis aureus,Ann Holmes,aholmes@ucdavis.edu ,Blue Tilapia,Monitored
NAS Species List,Oreochromis aureus x mossambicus,Ann Holmes,aholmes@ucdavis.edu ,Blue Tilapia x Mozambique Tilapia,Monitored
NAS Species List,Oreochromis macrochir,Ann Holmes,aholmes@ucdavis.edu ,longfin tilapia,Monitored
NAS Species List,Oreochromis mossambicus,Ann Holmes,aholmes@ucdavis.edu ,Mozambique Tilapia,Monitored
NAS Species List,Oreochromis mossambicus x hornorum,Ann Holmes,aholmes@ucdavis.edu ,hybrid tilapia,Monitored
NAS Species List,Oreochromis niloticus,Ann Holmes,aholmes@ucdavis.edu ,Nile Tilapia,Monitored
NAS Species List,Oreochromis sp.,Ann Holmes,aholmes@ucdavis.edu ,tilapia,Monitored
NAS Species List,Oreochromis urolepis,Ann Holmes,aholmes@ucdavis.edu ,Wami Tilapia,Monitored
NAS Species List,Oreochromis urolepis hornorum,Ann Holmes,aholmes@ucdavis.edu ,Wami Tilapia,Monitored
NAS Species List,Oreochromis urolepis hornorum x mossambicus,Ann Holmes,aholmes@ucdavis.edu ,hybrid tilapia,Monitored
NAS Species List,Parachromis dovii,Ann Holmes,aholmes@ucdavis.edu ,wolf cichlid,Monitored
NAS Species List,Parachromis managuensis,Ann Holmes,aholmes@ucdavis.edu ,Jaguar Guapote,Monitored
NAS Species List,Pelvicachromis pulcher,Ann Holmes,aholmes@ucdavis.edu ,rainbow krib,Monitored
NAS Species List,Petenia splendida,Ann Holmes,aholmes@ucdavis.edu ,Giant Cichlid,Monitored
NAS Species List,Pseudotropheus demasoni,Ann Holmes,aholmes@ucdavis.edu ,DeMason's Cichlid,Monitored
NAS Species List,Pseudotropheus socolofi,Ann Holmes,aholmes@ucdavis.edu ,Pindani,Monitored
NAS Species List,Pseudotropheus sp.,Ann Holmes,aholmes@ucdavis.edu ,African Lake cichlid,Monitored
NAS Species List,Pterophyllum scalare,Ann Holmes,aholmes@ucdavis.edu ,freshwater angelfish,Monitored
NAS Species List,Pterophyllum sp.,Ann Holmes,aholmes@ucdavis.edu ,freshwater angelfish,Monitored
NAS Species List,Rocio octofasciata,Ann Holmes,aholmes@ucdavis.edu ,Jack Dempsey,Monitored
NAS Species List,Sarotherodon melanotheron,Ann Holmes,aholmes@ucdavis.edu ,Blackchin Tilapia,Monitored
NAS Species List,Symphysodon discus,Ann Holmes,aholmes@ucdavis.edu ,red discus,Monitored
NAS Species List,Telmatochromis bifrenatus,Ann Holmes,aholmes@ucdavis.edu ,Lake Tanganyika dwarf cichlid,Monitored
NAS Species List,Thorichthys meeki,Ann Holmes,aholmes@ucdavis.edu ,Firemouth Cichlid,Monitored
NAS Species List,Tilapia buttikoferi,Ann Holmes,aholmes@ucdavis.edu ,zebra tilapia,Monitored
NAS Species List,Tilapia mariae,Ann Holmes,aholmes@ucdavis.edu ,Spotted Tilapia,Monitored
NAS Species List,Tilapia rendalli,Ann Holmes,aholmes@ucdavis.edu ,redbreast tilapia,Monitored
NAS Species List,Tilapia sp.,Ann Holmes,aholmes@ucdavis.edu ,unidentified tilapia,Monitored
NAS Species List,Tilapia sparrmanii,Ann Holmes,aholmes@ucdavis.edu ,banded tilapia,Monitored
NAS Species List,Tilapia zillii,Ann Holmes,aholmes@ucdavis.edu ,Redbelly Tilapia,Monitored
NAS Species List,Vieja bifasciata,Ann Holmes,aholmes@ucdavis.edu ,,Monitored
NAS Species List,Vieja maculicauda,Ann Holmes,aholmes@ucdavis.edu ,Blackbelt Cichlid,Monitored
NAS Species List,Vieja melanura,Ann Holmes,aholmes@ucdavis.edu ,Redhead Cichlid,Monitored
NAS Species List,Vieja zonata,Ann Holmes,aholmes@ucdavis.edu ,,Monitored
NAS Species List,Cirrhitichthys falco,Ann Holmes,aholmes@ucdavis.edu ,dwarf hawkfish,Monitored
NAS Species List,Cirrhitichthys oxycephalus,Ann Holmes,aholmes@ucdavis.edu ,Coral Hawkfish,Monitored
NAS Species List,Clarias batrachus,Ann Holmes,aholmes@ucdavis.edu ,Walking Catfish,Monitored
NAS Species List,Clarias fuscus,Ann Holmes,aholmes@ucdavis.edu ,whitespotted clarias,Monitored
NAS Species List,Clarias gariepinus,Ann Holmes,aholmes@ucdavis.edu ,Sharptooth catfish,Monitored
NAS Species List,Alosa aestivalis,Ann Holmes,aholmes@ucdavis.edu ,Blueback Herring,Monitored
NAS Species List,Alosa chrysochloris,Ann Holmes,aholmes@ucdavis.edu ,Skipjack Herring,Monitored
NAS Species List,Alosa pseudoharengus,Ann Holmes,aholmes@ucdavis.edu ,Alewife,Monitored
NAS Species List,Alosa sapidissima,Ann Holmes,aholmes@ucdavis.edu ,American Shad,Monitored
NAS Species List,Dorosoma cepedianum,Ann Holmes,aholmes@ucdavis.edu ,Gizzard Shad,Monitored
NAS Species List,Dorosoma petenense,Ann Holmes,aholmes@ucdavis.edu ,Threadfin Shad,Monitored
NAS Species List,Dorosoma petenense atchafalayae,Ann Holmes,aholmes@ucdavis.edu ,Mississippi threadfin shad,Monitored
NAS Species List,Herklotsichthys quadrimaculatus,Ann Holmes,aholmes@ucdavis.edu ,goldspot herring,Monitored
NAS Species List,Opisthonema libertate,Ann Holmes,aholmes@ucdavis.edu ,Deepbody Thread Herring,Monitored
NAS Species List,Sardinella marquesensis,Ann Holmes,aholmes@ucdavis.edu ,Marquesan sardine,Monitored
NAS Species List,Misgurnus anguillicaudatus,Ann Holmes,aholmes@ucdavis.edu ,Pond Loach,Monitored
NAS Species List,Misgurnus mizolepis,Ann Holmes,aholmes@ucdavis.edu ,Chinese fine-scaled loach,Monitored
